param,scale,r_exp,p_fdr_exp,r_conf,p_conf,same_sign,replicates_strict,replicates_loose
omega_z,DASS21_Stress,-0.06745967855400063,0.6413089325479985,-0.06980167665345008,0.2434945138023898,True,False,False
omega_z,DASS21_Anxiety,-0.05968572084052608,0.6413089325479985,-0.029406688435233846,0.6235291647132704,True,False,False
omega_z,DASS21_Depression,-0.027855129723097727,0.7523953291784321,-0.02691993167197152,0.6531934583271849,True,False,False
omega_z,AMI_Behavioural,-0.005630047351049714,0.9239471362784066,0.06832945409589627,0.2536039243918461,False,False,False
omega_z,AMI_Social,0.08280018964632929,0.6413089325479985,0.15524326703711575,0.009145338846685822,True,False,False
omega_z,AMI_Emotional,0.10007451430121676,0.6413089325479985,0.09005749402328814,0.13207459711797748,True,False,False
omega_z,MFIS_Physical,-0.05527245108566239,0.6413089325479985,-0.025877401904913166,0.6657973509817042,True,False,False
omega_z,MFIS_Cognitive,-0.05025744890324794,0.6413089325479985,-0.02045878718616251,0.7327582211669726,True,False,False
omega_z,MFIS_Psychosocial,-0.020969176723332688,0.7828296479096463,0.021933428780365295,0.7143080641328433,False,False,False
omega_z,OASIS_Total,-0.0818729077743445,0.6413089325479985,-0.06620445186202822,0.26870236611697407,True,False,False
omega_z,PHQ9_Total,-0.039505216484149605,0.6779939091174625,-0.0627475801016102,0.29455304162911133,True,False,False
omega_z,STICSA_Total,-0.037789576263395026,0.6779939091174625,-0.028978752701683656,0.6285926372625619,True,False,False
omega_z,STAI_Trait,-0.05692509642890243,0.6413089325479985,0.04812499615786622,0.42246753798038755,False,False,False
kappa_z,DASS21_Stress,-0.05473796168001164,0.7242520306341659,0.0703612026918728,0.2397272513435975,False,False,False
kappa_z,DASS21_Anxiety,-0.04663297944553834,0.7242520306341659,0.011333338526121377,0.8499826217946546,False,False,False
kappa_z,DASS21_Depression,-0.08953910976007666,0.6779557618524179,0.07880337138740395,0.18778966713485387,False,False,False
kappa_z,AMI_Behavioural,-0.0028085062446790354,0.9620185582653716,0.12846246279059778,0.031338204060366685,False,False,False
kappa_z,AMI_Social,-0.04495375086222641,0.7242520306341659,0.026330875166674886,0.6603031789255933,False,False,False
kappa_z,AMI_Emotional,-0.02000771280736069,0.8679245276752565,0.046078614943107325,0.4416653667379408,False,False,False
kappa_z,MFIS_Physical,-0.06636849424264987,0.6779557618524179,0.03903677488263353,0.5145901083340553,False,False,False
kappa_z,MFIS_Cognitive,-0.07159669429732261,0.6779557618524179,0.06726398741398268,0.26109915311951315,False,False,False
kappa_z,MFIS_Psychosocial,-0.07372054857497279,0.6779557618524179,0.09007664205233808,0.13199207933667417,False,False,False
kappa_z,OASIS_Total,-0.03078882050898073,0.8679245276752565,0.03820417450619551,0.5236059175722017,False,False,False
kappa_z,PHQ9_Total,-0.0810116054556246,0.6779557618524179,0.06249270171768833,0.29652255126668114,False,False,False
kappa_z,STICSA_Total,-0.02254932958515666,0.8679245276752565,0.07891237942945911,0.1871778827134993,False,False,False
kappa_z,STAI_Trait,-0.011914594824747674,0.9101829675769897,-0.16933928127994322,0.004490725655412038,True,False,False
angle_z,DASS21_Stress,-0.06325521427254828,0.7357810990096034,0.06363087439161462,0.2877952112447863,False,False,False
angle_z,DASS21_Anxiety,-0.06567899889115203,0.7357810990096034,0.049098155231272304,0.4122953853676497,False,False,False
angle_z,DASS21_Depression,-0.10128421003760321,0.7357810990096034,0.09174462104271806,0.12495530620333481,False,False,False
angle_z,AMI_Behavioural,0.010645184545953567,0.8570443976169172,0.1531941979381344,0.010118485929224992,True,False,False
angle_z,AMI_Social,-0.03883188130875799,0.8570443976169172,0.05414750394457642,0.36583890972457545,False,False,False
angle_z,AMI_Emotional,-0.012332585135173263,0.8570443976169172,0.00058994759465755,0.9921447598310601,False,False,False
angle_z,MFIS_Physical,-0.034497789036829866,0.8570443976169172,0.10079909721069427,0.09170593608635501,False,False,False
angle_z,MFIS_Cognitive,-0.020053076420834984,0.8570443976169172,0.08124777572747219,0.17442045493231478,False,False,False
angle_z,MFIS_Psychosocial,-0.0699660175127618,0.7357810990096034,0.1247179956099391,0.03666270698797514,False,False,False
angle_z,OASIS_Total,-0.07347145208011235,0.7357810990096034,0.03529753763330385,0.5556998116410564,False,False,False
angle_z,PHQ9_Total,-0.041397179631001806,0.8570443976169172,0.07437642115819264,0.21388968620608484,False,False,False
angle_z,STICSA_Total,-0.010623639222135033,0.8570443976169172,0.10109968655741963,0.09073719103648387,False,False,False
angle_z,STAI_Trait,-0.02857209293769422,0.8570443976169172,-0.17586329777690107,0.0031507171911154645,True,False,False
