phenotype,N,p_heavy_mean,p_heavy_sd,mean_vigor_mean,mean_vigor_sd,omega_mean,omega_sd,kappa_mean,kappa_sd,earnings_mean,earnings_sd,escape_rate_mean,escape_rate_sd,pct_opt_mean,pct_opt_sd,confidence_mean_mean,confidence_mean_sd,confidence_intercept_mean,confidence_intercept_sd,confidence_slope_T_mean,confidence_slope_T_sd,confidence_slope_D_mean,confidence_slope_D_sd,confidence_cal_T_mean,confidence_cal_T_sd,confidence_cal_D_mean,confidence_cal_D_sd,anxiety_mean_mean,anxiety_mean_sd,anxiety_intercept_mean,anxiety_intercept_sd,anxiety_slope_T_mean,anxiety_slope_T_sd,anxiety_slope_D_mean,anxiety_slope_D_sd,anxiety_cal_T_mean,anxiety_cal_T_sd,anxiety_cal_D_mean,anxiety_cal_D_sd
HH,147,0.5995464852607709,0.11287696900584836,1.1230531518078035,0.30523334491012183,0.9524186340762213,0.6227819895896782,0.07243469819828068,0.050350047730469576,21.333333333333332,90.94672031510021,0.3547953622617635,0.2310112809760071,0.7189720332577476,0.09699711608212475,3.5627362055933482,1.3529798137168183,3.5627362055933465,1.352979813716818,-0.680400398239381,0.7123039541771312,-0.31214745082347617,0.4746735681247202,-0.35490027324976187,0.35234603933901204,-0.1590168823908338,0.2666456614179039,4.26681783824641,1.3764840162182692,4.266817838246409,1.3764840162182692,0.5633085821933348,0.6711598165099272,0.264759662296292,0.5307113805910715,0.3165230655351845,0.34892363294554846,0.15736158105476516,0.2985989311659989
HL,118,0.5990583804143125,0.11910092186849779,0.8486271684648085,0.12641312187657985,0.6987729369415988,0.4333293448699521,0.32694718319013616,0.2864252200440319,-5.762711864406779,88.29463864298758,0.3090257928745868,0.23426637590224123,0.7112994350282486,0.0887698995947878,3.5786252354048953,1.1380014440461748,3.578625235404895,1.138001444046174,-0.6481229922053419,0.7849542676560175,-0.20470076711111782,0.45920087649700153,-0.3353478944475797,0.34825583185125114,-0.10863630923450136,0.260546287391887,4.422787193973634,1.019645424198638,4.422787193973634,1.019645424198638,0.6025698637496285,0.7274778869161235,0.2860044520763784,0.4771246547985908,0.3094714509980203,0.3661642606083287,0.14006973419922739,0.26305987870367004
LH,138,0.2887278582930757,0.11903599987403524,1.0949532642629551,0.30369856810619156,3.705254500710597,5.112362935457144,0.21872787756794732,0.20130873358419418,1.608695652173913,87.789349301843,0.40237785990455605,0.24708104107699064,0.5227053140096618,0.12080106869602973,3.1073695178554517,1.3593258246482898,3.107369517855451,1.3593258246482895,-0.5997781489410718,0.7282074832577694,-0.2805484356520268,0.4883442811415873,-0.31081552118001127,0.3647263433407186,-0.14836538547282593,0.26739060627041256,4.485909822866344,1.332624534401658,4.485909822866343,1.3326245344016578,0.5167200584615079,0.7256285173176389,0.23962399657661512,0.4761276927878061,0.29136046662895915,0.36399579485794914,0.14794973909405904,0.2478775853768464
LL,168,0.2515873015873016,0.12237808796317322,0.823060458051097,0.10246014087669923,3.023330195646073,3.175886676718502,1.1035569067948288,1.2128011035897268,-9.214285714285714,83.11107515042983,0.411189469242909,0.24615989500248003,0.4932539682539682,0.1238417810917316,2.9571930304688925,1.297349384808045,2.957193030468892,1.2973493848080446,-0.5854351154185502,0.7189479873666265,-0.2985882443479325,0.474229523342153,-0.3025620594625498,0.3576197428108236,-0.16289608145186987,0.2561839931857955,4.438184996220711,1.3420139546883765,4.43818499622071,1.3420139546883765,0.5530581559920488,0.6692004744880816,0.2293271794368339,0.4014191326007196,0.3122891741272573,0.341104871720557,0.14144762722604745,0.22590828510624217
