phenotype,N,p_heavy_mean,p_heavy_sd,mean_vigor_mean,mean_vigor_sd,omega_mean,omega_sd,kappa_mean,kappa_sd,omega_z_mean,omega_z_sd,kappa_z_mean,kappa_z_sd,mean_confidence_mean,mean_confidence_sd,mean_anxiety_mean,mean_anxiety_sd,anx_calibration_mean,anx_calibration_sd,anx_slope_mean,anx_slope_sd,earnings_mean,earnings_sd,escape_rate_mean,escape_rate_sd,pct_opt_mean,pct_opt_sd
HH,147,0.5995464852607709,0.11287696900584836,1.1230531518078035,0.30523334491012183,0.9524186340762213,0.6227819895896782,0.07243469819828068,0.050350047730469576,-0.5830210169597115,0.6535470332042745,-1.0369446430522706,0.6922886534998625,3.5627362055933482,1.3529798137168183,4.26681783824641,1.3764840162182692,0.3165230655351845,0.34892363294554846,1.7247732426303857,2.054998857886633,21.333333333333332,90.94672031510021,0.3547953622617635,0.2310112809760071,0.7189720332577476,0.09699711608212475
HL,118,0.5990583804143125,0.11910092186849779,0.8486271684648085,0.12641312187657985,0.6987729369415988,0.4333293448699521,0.32694718319013616,0.2864252200440319,-0.946441379992677,0.7170711656702332,0.1343908684290411,0.5619453501839454,3.5786252354048953,1.1380014440461748,4.422787193973634,1.019645424198638,0.3094714509980203,0.3661642606083287,1.844985875706215,2.227437027628281,-5.762711864406779,88.29463864298758,0.3090257928745868,0.23426637590224123,0.7112994350282486,0.0887698995947878
LH,138,0.2887278582930757,0.11903599987403524,1.0949532642629551,0.30369856810619156,3.705254500710597,5.112362935457144,0.21872787756794732,0.20130873358419418,0.7527186276332798,0.7115722542959386,-0.22578823149459296,0.7202798179557587,3.1073695178554517,1.3593258246482898,4.485909822866344,1.332624534401658,0.29136046662895915,0.36399579485794914,1.5821256038647347,2.221774512800652,1.608695652173913,87.789349301843,0.40237785990455605,0.24708104107699064,0.5227053140096618,0.12080106869602973
LL,168,0.2515873015873016,0.12237808796317322,0.823060458051097,0.10246014087669923,3.023330195646073,3.175886676718502,1.1035569067948288,1.2128011035897268,0.556601200707267,0.74708912939048,0.9984018809542304,0.5909124351645336,2.9571930304688925,1.297349384808045,4.438184996220711,1.3420139546883765,0.3122891741272573,0.341104871720557,1.694055469909787,2.04802201528487,-9.214285714285714,83.11107515042983,0.411189469242909,0.24615989500248003,0.4932539682539682,0.1238417810917316
