n,beta,se,t,p,group,predictor,scale
571,-0.07603276442161266,0.04130738606115528,-1.8406578501250774,0.06619313912927398,reactivity_slope,confidence_slope_T,AMI_Total
571,-0.0730001188726228,0.041722237107585006,-1.7496693354286015,0.08071540971746753,reactivity_slope,confidence_slope_T,AMI_Behavioural
571,-0.10729660537384803,0.04143507051802838,-2.589511832184847,0.009857663742323323,reactivity_slope,confidence_slope_T,AMI_Social
571,0.048396316337503166,0.04156658401656452,1.164308241404128,0.2447879174096009,reactivity_slope,confidence_slope_T,AMI_Emotional
571,-0.021153044982803976,0.041981884109659195,-0.5038612590028345,0.6145542426520523,reactivity_slope,confidence_slope_T,DASS21_Depression
571,-0.02816002860061947,0.04201528811803281,-0.670232904782421,0.5029817288371259,reactivity_slope,confidence_slope_T,PHQ9_Total
570,-0.022976091955065045,0.042072815784320074,-0.5461030246430024,0.5852099232853579,reactivity_slope,confidence_slope_T,MFIS_Total
569,0.06892596441741164,0.04191641087658975,1.6443670384934288,0.10065567395241914,reactivity_slope,confidence_slope_D,STAI_Trait
571,0.08736694016413549,0.04178951703392232,2.0906424951792584,0.03700402537481757,reactivity_slope,confidence_slope_D,DASS21_Anxiety
571,0.01512946064318953,0.04196098760190432,0.36056016571218424,0.7185623177952838,reactivity_slope,confidence_slope_D,OASIS_Total
571,0.03467388811453021,0.041956757095386155,0.8264196404812989,0.4089130929784351,reactivity_slope,confidence_slope_D,STICSA_Total
571,-0.16405397457585666,0.04080203135052086,-4.020730565262958,6.5850430994275e-05,reactivity_slope,confidence_slope_D,AMI_Total
571,-0.15382688439517786,0.04128067931277718,-3.7263651411755094,0.0002136867865674681,reactivity_slope,confidence_slope_D,AMI_Behavioural
571,-0.13000679195904538,0.04126786331790235,-3.150315560501707,0.0017167558891097727,reactivity_slope,confidence_slope_D,AMI_Social
571,-0.04357487137806257,0.04152389885720408,-1.0493925805934443,0.2944437616986902,reactivity_slope,confidence_slope_D,AMI_Emotional
571,-0.01888734520923002,0.041931283361167096,-0.4504356579441531,0.6525682164904422,reactivity_slope,confidence_slope_D,DASS21_Depression
571,-0.01784923233289785,0.04197267343961053,-0.4252584091070344,0.6708093722318123,reactivity_slope,confidence_slope_D,PHQ9_Total
570,-0.004196868810966744,0.04202096259643036,-0.09987559902597909,0.9204783910408623,reactivity_slope,confidence_slope_D,MFIS_Total
569,0.14868432806120446,0.041673748473772705,3.5678174751853353,0.00039048209504830147,reactivity_slope,confidence_intercept,STAI_Trait
571,-0.007657282710721511,0.04207805171336197,-0.1819780716769718,0.8556648596411407,reactivity_slope,confidence_intercept,DASS21_Anxiety
571,-0.09182050174031534,0.04191844367859326,-2.19045588725437,0.028896923929477968,reactivity_slope,confidence_intercept,OASIS_Total
571,-0.10649305520393473,0.04187362127715158,-2.5432014704217347,0.011248233138302699,reactivity_slope,confidence_intercept,STICSA_Total
571,-0.20407655031289476,0.04061325034560399,-5.0248760829600565,6.759130101608053e-07,reactivity_slope,confidence_intercept,AMI_Total
571,-0.1798775846814244,0.04122579720006857,-4.363228776595379,1.5224278093023197e-05,reactivity_slope,confidence_intercept,AMI_Behavioural
571,-0.22043998497009912,0.04071777968040357,-5.413850821443274,9.114162048964445e-08,reactivity_slope,confidence_intercept,AMI_Social
571,0.011081871396365843,0.04168963324601309,0.2658183949705443,0.7904755303489679,reactivity_slope,confidence_intercept,AMI_Emotional
571,-0.1289146510941693,0.041718815451293044,-3.090084167051145,0.0020989492190004377,reactivity_slope,confidence_intercept,DASS21_Depression
571,-0.1008486631886095,0.04189557600905189,-2.407143493308704,0.016395854909276305,reactivity_slope,confidence_intercept,PHQ9_Total
570,-0.15693200654312411,0.04163478596438232,-3.7692521507706593,0.0001808916536366926,reactivity_slope,confidence_intercept,MFIS_Total
562,0.007315152660814489,0.042342278020660075,0.1727623784730053,0.8629007429786462,reactivity_slope,confidence_cal_T,STAI_Trait
564,0.04308587137948879,0.042206886295975674,1.0208256320390288,0.30777706604917954,reactivity_slope,confidence_cal_T,DASS21_Anxiety
564,-0.01466652813510144,0.042284893637969494,-0.3468503021592494,0.7288338509178011,reactivity_slope,confidence_cal_T,OASIS_Total
564,0.008415427349639997,0.042296241746514474,0.19896395051065008,0.8423630310046686,reactivity_slope,confidence_cal_T,STICSA_Total
564,-0.09073847109918318,0.04153880730757017,-2.1844264912884657,0.02934413283700437,reactivity_slope,confidence_cal_T,AMI_Total
564,-0.07993868193994208,0.041999158703898136,-1.9033400764887847,0.057507718907574806,reactivity_slope,confidence_cal_T,AMI_Behavioural
564,-0.1272789292704487,0.041603250002494305,-3.059350633972532,0.0023241066670533143,reactivity_slope,confidence_cal_T,AMI_Social
564,0.044719823174133734,0.04177978746120449,1.07036981017817,0.2849131742652826,reactivity_slope,confidence_cal_T,AMI_Emotional
564,-0.04675389903803926,0.042217934143830814,-1.1074416592426106,0.26857762156122517,reactivity_slope,confidence_cal_T,DASS21_Depression
564,-0.05546255774826304,0.04223127216053662,-1.313305399312373,0.18961694538033821,reactivity_slope,confidence_cal_T,PHQ9_Total
