var,F,p,HH,HL,LH,LL
confidence_mean,8.704296415294241,1.1836818115607523e-05,3.5627362055933482,3.5786252354048953,3.1073695178554517,2.9571930304688925
confidence_intercept,8.704296415294241,1.1836818115607523e-05,3.5627362055933465,3.578625235404895,3.107369517855451,2.957193030468892
confidence_slope_T,0.5351975693775483,0.658316400077086,-0.680400398239381,-0.6481229922053419,-0.5997781489410718,-0.5854351154185502
confidence_slope_D,1.297670753453056,0.27436419861087424,-0.31214745082347617,-0.20470076711111782,-0.2805484356520268,-0.2985882443479325
confidence_cal_T,0.6624145251701371,0.5754226767523705,-0.35490027324976187,-0.3353478944475797,-0.31081552118001127,-0.3025620594625498
confidence_cal_D,1.1433637786148303,0.3309297853070868,-0.1590168823908338,-0.10863630923450136,-0.14836538547282593,-0.1628960814518699
anxiety_mean,0.7879850076079281,0.5009133849316942,4.26681783824641,4.422787193973634,4.485909822866344,4.438184996220711
anxiety_intercept,0.7879850076079283,0.5009133849316945,4.266817838246409,4.422787193973634,4.485909822866343,4.43818499622071
anxiety_slope_T,0.3285646648957144,0.8047106504949109,0.5633085821933348,0.6025698637496285,0.5167200584615079,0.5530581559920488
anxiety_slope_D,0.40233211242772143,0.7513796731381476,0.264759662296292,0.2860044520763784,0.23962399657661512,0.2293271794368339
anxiety_cal_T,0.13673896502010063,0.9380789603407526,0.31652306553518444,0.3094714509980203,0.29136046662895915,0.3122891741272573
anxiety_cal_D,0.13099145280709723,0.941646198312712,0.15736158105476516,0.14006973419922739,0.14794973909405904,0.14144762722604742
