factor,observed_eig,random_95pct_eig,retain
1,8.520390552272207,1.3305803678298027,True
2,1.4192077946609274,1.248007732768932,True
3,0.836980216223155,1.1943820417975726,False
4,0.6670332847971197,1.1473931440497396,False
5,0.5174741837185576,1.1104608150441628,False
6,0.47445140581440837,1.0718863424282483,False
7,0.343569066355134,1.0357550515241036,False
8,0.2478703053794137,0.9997587669466957,False
9,0.2329207891196498,0.970459825092517,False
10,0.18455810715697654,0.939510476079396,False
11,0.18252420957049378,0.9064143203775686,False
12,0.13906075282504565,0.8735394314487042,False
13,0.11937131646618802,0.8396408868976379,False
14,0.11458801564073043,0.7960025978342078,False
