vigor_dim,vigor_label,predictor,beta,se,pvalue,ci_lower,ci_upper,r_squared,adj_r_squared
tonic_vigor,Tonic Vigor,kappa_z,-0.18800259095532876,0.04656511808858103,6.934215582945158e-05,-0.2796536942408,-0.09635148766985753,0.05912461595359253,0.049323830703109084
tonic_vigor,Tonic Vigor,z_z,0.08873867385900619,0.04619711492817877,0.05573514798644461,-0.002188112662159916,0.17966546038017228,0.05912461595359253,0.049323830703109084
tonic_vigor,Tonic Vigor,beta_z,0.0454775115455682,0.04585314381280775,0.32212377537030856,-0.04477225892761716,0.13572728201875356,0.05912461595359253,0.049323830703109084
anticipatory_mobilization,Antic. Mobil.,kappa_z,-0.10796727875484255,0.04321249468040103,0.013028662069225426,-0.19301963072444964,-0.022914926785235462,0.04826665931343499,0.038352770347949816
anticipatory_mobilization,Antic. Mobil.,z_z,0.08686625136081018,0.04287098723310965,0.043663292691517475,0.002486066361013395,0.17124643636060696,0.04826665931343499,0.038352770347949816
anticipatory_mobilization,Antic. Mobil.,beta_z,0.11117806552411041,0.042551781557202066,0.009452639187527256,0.02742615236325241,0.19492997868496842,0.04826665931343499,0.038352770347949816
reactive_spike,Reactive Spike,kappa_z,-0.018492254283987493,0.06054169953985142,0.7602467071432236,-0.13765255678874108,0.10066804822076608,0.0034674526824295393,-0.0069130946854618625
reactive_spike,Reactive Spike,z_z,0.018358654830740267,0.06006323974674176,0.76008782847066,-0.09985992628005444,0.13657723594153498,0.0034674526824295393,-0.0069130946854618625
reactive_spike,Reactive Spike,beta_z,0.055717809229876125,0.05961602524859392,0.35077161846860044,-0.06162054857551352,0.17305616703526577,0.0034674526824295393,-0.0069130946854618625
terminal_persistence,Term. Persist.,kappa_z,0.007858839752438411,0.05333955527766952,0.8829698639097201,-0.09712594909004087,0.11284362859491769,0.0015840044224333383,-0.008816162198166388
terminal_persistence,Term. Persist.,z_z,-0.01845857307175887,0.052918013880967965,0.7274834112293512,-0.12261366931011544,0.0856965231665977,0.0015840044224333383,-0.008816162198166388
terminal_persistence,Term. Persist.,beta_z,-0.029814572104132405,0.05252400078542825,0.5707236261485913,-0.13319415790898287,0.07356501370071805,0.0015840044224333383,-0.008816162198166388
