dataset,elapsed_s,c_effort_r,c_effort_p,c_effort_r_log,c_effort_p_log,c_effort_log_mae,c_effort_log_bias,c_effort_coverage_1sd,c_death_r,c_death_p,c_death_r_log,c_death_p_log,c_death_log_mae,c_death_log_bias,c_death_coverage_1sd,epsilon_r,epsilon_p,epsilon_r_log,epsilon_p_log,epsilon_log_mae,epsilon_log_bias,epsilon_coverage_1sd,gamma_true,gamma_recovered,gamma_sd,gamma_abs_error
0,74.77750587463379,0.16967811040060454,0.23878688556594527,0.06129497265622623,0.6723999958475733,1.4841719975357386,1.3981657947716402,0.08,0.9602906594924873,2.9176968046590616e-28,0.9093085655695309,6.624644928936899e-20,0.20854182495287815,-0.09524549105687928,0.58,0.9268967926284317,4.588707632107187e-22,0.9279113442973054,3.3193683233551015e-22,0.6389186946164799,0.628415342517329,0.08,0.283,0.2600551871955407,0.00637386186100799,0.022944812804459258
1,68.87882328033447,0.1041165637303782,0.4717999910717903,0.05565298271745944,0.7010745339417663,1.8335414096851104,1.8335414096851104,0.0,0.9431571687742212,1.3176756015317948e-24,0.9383274241793544,8.83065585179242e-24,0.16962954285754211,-0.02806401968703182,0.66,0.8869159210364095,1.019870776269875e-17,0.9374789962023021,1.2139964128505816e-23,1.1468065607932139,1.1468065607932139,0.02,0.283,0.27739943831748537,0.006143246738137114,0.005600561682514604
2,67.20264315605164,0.12712936585047035,0.3789780443573485,0.07998772759883489,0.5808256822279847,1.5846891372828005,1.504004637842892,0.04,0.9702223781966857,3.2611651767500823e-31,0.9639154404761379,3.0550565304845275e-29,0.1580415512032082,-0.014047718757239874,0.62,0.9361855791424939,1.9555047060247442e-23,0.899164569370728,7.505887058904911e-19,0.8988645491124464,0.8988645491124464,0.06,0.283,0.2678887122109072,0.006027747102939337,0.015111287789092764
3,69.67836546897888,-0.2666350126178948,0.06124114658955602,-0.33759232849068177,0.01650213787845503,1.9582885252711133,1.9121143829118576,0.0,0.8436340535690432,1.4623674250385237e-14,0.957216344105795,1.6875576386488994e-27,0.19743507175814543,-0.0276131063306484,0.62,0.9551315184487984,5.163919112706334e-27,0.9386933469419158,7.687253464716009e-24,1.009417921593178,1.009417921593178,0.02,0.283,0.2708844641346753,0.00606048886559589,0.012115535865324656
4,69.36155676841736,0.44525082724831533,0.0011950130786743355,0.3464523352188627,0.013713316132497657,1.3019649702492877,1.2521485093085962,0.1,0.9297232820991256,1.839532383289395e-22,0.9602335278176729,3.0181893454878265e-28,0.23402457803297214,-0.15908631749770044,0.3,0.9030174912552248,3.080952967026156e-19,0.9282068357877484,3.0179284976630754e-22,1.0951622392641953,1.0951622392641953,0.0,0.283,0.23363255065506672,0.005471509485951607,0.049367449344933256
