factor,r_ce,p_ce,r_cd,p_cd,R2_joint,R2_adj,b_ce,bp_ce,b_cd,bp_cd,b_int,bp_int
F1,-0.04000843963943296,0.49661361487188044,-0.027973735637118993,0.6346192508535203,0.0028503232092285113,-0.007572844143985069,-0.10666849834936594,0.6147394194804566,-0.017847963784360245,0.7206265966605147,0.010987455586753738,0.8509130336735562
F2,0.052942974164047564,0.3681821940494615,-0.05097417234575169,0.38628454086888364,0.004809330802189815,-0.00559335911973835,0.05831126367611681,0.7947354491056906,-0.02929827410662547,0.5789503816382452,0.006550736572402775,0.915627388213497
F3,-0.05612426493351794,0.3400635448853644,-0.05881946785398274,0.317343254673083,0.007767271104789586,-0.0026044995805261095,-0.07596722713356036,0.759821367110142,-0.0613921502599076,0.2945928046050448,-0.014264229139103133,0.8351698700811067
