outcome,predictor,beta,SE,t,p,re_var_intercept,re_var_slope,n_obs,n_subj,converged
anxiety,S_z,-0.7860050408401975,0.060046487450473175,-13.089942046793341,3.7589452490380965e-39,1.5394538834746954,0.7046247631567454,5274,293,True
confidence,S_z,0.8478183152201374,0.06326351374560577,13.401378852103772,5.935016012156898e-41,1.574616754798421,0.8187360048538667,5272,293,True
