subj,F1,F2,F3
1,0.07167779111193975,-1.4345752889488528,-1.0260948291607748
2,-0.7836796584384115,1.3004607651539462,-0.01594259615696966
3,0.33445834558316007,-0.08648303917896072,1.947556665212254
4,-1.11287062304371,0.3398660302879654,-0.5827434762071073
5,-0.870912874837421,1.5430040156810612,-0.33004992028805336
6,-0.13354258193828042,-0.5836881200611723,-0.323360597295155
7,-0.5580934837825112,0.8144422841227047,-1.2955387208807725
8,-2.1353736536716528,-1.6652196406450275,-0.22680650835590138
9,-0.08313360315005593,-0.1662564730896632,-1.2498725702837834
10,-0.3909302633372368,1.6814357589477624,-0.414172697910069
11,-0.16364663277066221,0.1270742070782855,-0.10444248433894106
12,-0.5262794862056307,1.1962682429283014,-2.7313616430002394
13,1.2879708595893242,0.26423713807867366,-1.471046706199407
14,0.15162849114586488,-0.336495487261851,-1.0528016378734295
15,-0.6262357431029817,1.1638462303391033,0.06518377272695422
16,-0.4837328835463446,0.9183384295564824,1.0996449962788692
17,-1.2404246920278,-1.540766451295894,-1.227772726827128
18,-0.6636079248909115,0.05702987980999456,-2.4134899184253187
19,0.6231463370468515,-0.6407896714093869,-0.06929356815889556
20,1.0817788690390382,-0.2800740231528992,-2.4380875145290757
21,-0.9429720317358501,0.9352783722719775,-3.2368108001998532
22,0.9072776905544834,-0.07374367619791285,-1.2850430751688446
23,1.0682093943461701,-0.7319780833985307,-1.45691480005981
24,0.8295216992162968,-1.1746114991560446,-0.478446550260137
25,0.1443182248129505,-2.9646942933656755,0.7224060670699822
26,-1.1656874967761985,1.2757575834938015,-1.4986515137840974
27,1.0819785670328388,-1.4043736478600068,-1.6529455889506133
28,-0.5394087329914984,-1.2625062764450397,-1.4403838954350758
29,-0.7753099850823679,-1.7931996158679206,-0.5052313575897909
30,0.6970714327629972,-0.5563475166970778,1.5758698855773576
31,-0.6997358326797779,0.22903129663477834,0.4662980300734564
32,-0.869441738635716,1.8154056398232337,-1.6013292752669817
33,-0.38828296185498024,1.1612612971609941,-0.04409691892646764
34,1.9118387217493935,-0.07574452462821583,-0.05004897250930851
35,-1.189336041857633,-0.43556470213859044,0.1633045674878776
36,0.9421637841383863,-0.2913509668258677,-3.147938651818346
37,-0.7305584680989893,0.7012951015140564,-0.4051062962794464
38,-0.3065906985879492,0.43656011761306845,-0.9401115478979535
39,-0.9349736641271751,1.7926095847965835,-1.8077050694753771
40,1.0974719033040388,-0.29420055367822423,0.7849833683167463
41,0.03742986031603152,-1.7041680019678465,-0.35346148792400367
42,1.0968709361586202,-0.9149931973400519,-1.527571343985128
43,-0.729508643565589,1.365160137719533,-1.0315693460587945
44,-1.550687130609156,-2.2396961398877684,1.2931084534916513
45,-1.2709840306018954,-0.7230649253530868,-0.07650053814734725
46,-1.790241850636415,-2.016700692440848,-0.36446304286896025
47,-0.05062773847009784,-1.2420520295016142,-2.3535821162853483
48,-0.5832894033449433,-0.5002071664455371,1.3550435201295774
49,1.4277282679951167,-1.7391065723313666,0.2632883967383799
50,1.0797335463285807,-0.2084652370310541,0.2349465761567957
51,0.23313433130349703,-0.08158791868676445,-0.3760751432929073
52,1.1904877228545154,1.4557280835771167,-0.10579221059473284
53,3.307716323614453,-1.663152869449735,2.6394995543266586
54,-0.8680789879297823,-0.7475537875422144,0.29607974122635256
55,-0.713751887621342,1.2836721287665338,-0.9518410848935586
56,1.300884110302388,-0.09948721960513403,0.390263193131385
57,0.41889878026892774,-0.730904924559883,-1.1109271312266784
58,-0.23662184881831932,0.6142699208179858,1.4099889046986478
59,0.9157484343322788,0.7551898196757811,-1.134637457962057
60,1.4316332126960893,-1.282558013045805,0.7544173222992954
62,-0.18457309670298636,-0.37380178890042653,-2.0785662310985047
63,-0.5637230924759927,0.9920129864611881,1.3246202117992698
64,-0.7988582178045188,-1.011401976080974,0.3138497661216862
65,-1.6167918781420745,-1.8309397755375885,-0.9971838475720065
