subj,c_effort,c_death,c_dist,epsilon
1,0.0032144219516872783,0.3877427209166992,0.5479698262057909,1.2985109565971944
2,0.20948665635277106,0.4823033136229292,0.5614807811118199,0.9140946621597549
3,0.005546020316313136,0.20033036620411748,0.5661866723546605,0.664210707238685
4,0.0029100262083982635,0.1999042126028952,0.5332611503333554,0.8771898509147407
5,0.003054448254600463,0.06303061705661235,0.5298523289780499,0.7523268968737127
6,0.003190914169416014,0.38697365512960225,0.5382701588033305,1.3325006004086888
7,0.0035690491144592905,0.24429595356990094,0.5469408464083119,0.6678382668550599
8,0.0036284277420694762,0.506082090018169,0.5740994497461496,0.6467220086713202
9,0.0029388543361607857,0.26945518702540117,0.440157728766223,0.9880415131292184
10,0.0036292417494564336,0.5442073753503732,0.3661206594693118,1.757224378613517
11,0.003039333701625402,0.26180206031182307,0.637148221160418,1.1437361491455837
12,0.005520113290273067,0.3486454877226096,0.5869219201206214,0.7937319133333813
13,0.0028592276873662986,0.15857513296180314,0.4699592096192512,0.7798807108594215
14,0.004658161064733826,1.0175527369612736,0.40523429412859485,3.837353623875755
15,0.004326419313813395,0.5634357239540417,0.5777132849187993,1.643618399833915
16,0.008201985273465667,0.6344968520068073,0.5226710083008785,0.30790855948937107
17,0.005682374438415106,0.22257128828082937,0.5211569291914419,0.517989544481891
18,0.003362187395364121,0.20090815315071112,0.5143928014474339,0.9532420376856011
19,0.006374582403790662,0.24110816899354834,0.5338021625081714,0.44341227992927046
20,0.003892190122824468,0.23301609603093487,0.5641822684196522,0.6895719033470253
21,0.0031011127269642332,0.16826269396295973,0.5381961735713471,0.8655632484310102
22,0.003521700400753171,0.15154647211739095,0.5602463396803367,0.881379641910961
23,0.004759350367419209,0.5354558209155348,0.4423439243391104,2.6366967289778698
24,0.0025433189405631063,0.06791443763299977,0.49980159388313394,0.993109126662788
25,0.0028979244250997445,0.4075895109585619,0.3995498562372476,1.2326059162473557
26,0.004865823156338831,0.972872182207175,0.48758921419382745,3.08452872046302
27,0.004068712907329589,0.34343212733491146,0.472144439827097,0.7680526623585553
28,0.002571259258755791,0.3146080814770442,0.5182573720692288,1.0028780523875247
29,0.004029560271730513,0.20955150595345026,0.6163212473892823,1.9119197409288464
30,0.0034927266710851118,0.18961573953535732,0.5381341979024549,0.7139424566300643
31,0.0032222891891821597,0.11585553171489114,0.4832782444348629,1.0572559644270119
32,0.10507518977500262,0.5099484773347746,0.5177053936431066,0.5125969432089846
33,0.003630054620374026,0.10800464472974285,0.5051670276658412,0.8102804292423784
34,0.09234758895716605,0.3121134523347282,0.5106399987214689,1.1883416065095658
35,0.0036013637631362038,0.9256746085865729,0.5532958290312578,1.0739104320824095
36,0.0035298289815897882,0.19444552537130796,0.5839141223499694,0.901917065830336
37,0.005600737427370874,0.5516417118749772,0.5191101165891467,0.4692436402914554
38,0.0035515201385769015,0.24694897040306102,0.43872366077751557,0.9074271615856098
39,0.0032675597177146227,0.04174632197552798,0.5074944972886729,0.8832822943215086
40,0.0035073978423618177,0.10654618723128059,0.49992334910204234,0.7196344985877441
41,0.13289995614339492,0.434499199818238,0.5869436933199069,1.099800450849631
42,0.0038106643177056587,0.2737566642200872,0.6250712929500436,2.171678589702538
43,0.005342556400159353,0.5221197149159652,0.5237116629229589,0.5431757054550403
44,0.007903576649068222,0.24803765060658123,0.5872735754244826,0.6768712388928491
45,0.004732595033431451,0.354699116513052,0.557174946569102,0.5466110512937807
46,0.0036694175866632535,0.3334161959230949,0.5060632275668815,0.6070894435567129
47,0.005336399881037976,0.10804722331210706,0.5080130863900316,0.4671353865817387
48,0.0038989229832997953,0.36016093277887407,0.5284569140800549,0.8246366118314126
49,0.0029213698578145113,0.28049849989682873,0.5541599386134248,1.00996919431621
50,0.005610795733533406,0.2770761192746822,0.5247307539573816,0.7717237839971157
51,0.0033462554871703967,0.17126917730364294,0.5155699792453782,1.9011097497994809
52,0.004636400480299549,0.4719795854216869,0.6662834014799007,1.6124452356701604
53,0.0037624229468239297,0.42101776219114506,0.5322503636706811,0.6095415871743559
54,0.004450272973022618,0.1588389915584703,0.4998822091975549,0.48850959028523294
55,0.05329827134009074,0.5412443061425297,0.5216492263241291,0.30754060714210507
56,0.0036549587467768732,0.27928580552703025,0.4882174468814626,0.8131948056228373
57,0.0653529955288814,0.20961923953413236,0.5208343642430309,0.693069697722263
58,0.003789721598063093,0.2366043701446149,0.5051088388279104,0.6317479407383328
59,0.006918436576136317,0.22753567261212623,0.5080937247982051,0.5415266203426318
60,0.03047406773862737,0.0952425094464855,0.5258417591554418,0.29489477108961415
61,0.003485662026908594,0.2950358087195195,0.48069813233456776,0.7747253563641677
62,0.005414389633455576,0.03815029049824185,0.5389899730475525,0.32261219666147184
63,0.0029383172237900474,0.2828001025032314,0.47055143119893195,1.3012501648240369
64,0.002888862164653634,0.4741339115896248,0.5542800626885117,0.6924502125163617
65,0.004333665167045988,0.3684163957454529,0.5628277707634528,0.8665151699966273
66,0.0031610515844770542,0.04080962848378276,0.504882754962747,0.6892126253656282
67,0.010858935180531997,0.06185948977167603,0.532059926319904,0.4124949236144209
68,0.1137369201692185,0.09784013683332339,0.5265809451305644,0.5727977453783122
69,0.003545661309764751,0.3184541152435942,0.4213412398120509,2.2078938986626473
70,0.00873876557685848,0.46532462950692416,0.5262286468731184,0.32356201219590486
71,0.0051226177864451,0.1947098239593783,0.5468709619113065,0.4597040263313288
72,0.004032048237785985,0.9465542583664528,0.5546720564426326,1.153344701366077
73,0.0034174885857201497,0.3479630817635233,0.5310520282909191,0.7318541667731421
74,0.18361244067645383,0.5190878458632386,0.568850592098485,0.9965526034006271
75,0.0052834021746309264,0.25381542899260734,0.5381440612858186,0.5186946580488785
76,0.00811818743128728,0.14383594690746215,0.5307662949109955,0.6577764673159106
77,0.005996949121691575,1.809631298320364,0.47277617011132694,2.9933136779208627
78,0.0028221024350243568,0.3533509981667957,0.4315874095020949,1.3306582764030126
79,0.004932300225094112,0.5534490981563884,0.46862892300156683,3.5708107251161905
80,0.008234597273452835,0.39713187574284936,0.5280603258738424,0.31486511410469104
81,0.0026802698894400232,0.21907463941692248,0.48714729569319654,1.059661734030751
82,0.06840413748135056,0.4074206643758928,0.5337588142982438,0.5250173100543712
83,0.0033041749830381405,0.0264715633378427,0.4857515742506492,0.6588344980757089
84,0.0827506538051966,0.26356901364891605,0.5290179711981919,0.4463606094793559
85,0.027283365760480058,0.21645466763467877,0.5282165369848115,0.5853359121252263
86,0.0029691061062481015,0.07355448679968413,0.5037956006211542,0.9298884072543707
87,0.0033231163843583634,0.12689331823780575,0.546507139177269,0.9712835160738257
88,0.003191120178827549,0.39305734062677083,0.5204350507816271,0.8942508127835911
89,0.004937893615327643,0.38072908475941797,0.616774258425199,0.8107665163182112
90,0.002896424163283831,0.09120172120738898,0.4777207355848091,0.9831635204848844
91,0.003716096735662737,0.05735699324733111,0.40403675807099926,1.9180945599573058
92,0.0030394350996997867,0.10449542157110982,0.5491846515588309,0.672736834226624
93,0.0030134195733285923,0.0887977285282882,0.5314432642224168,0.9233184691673698
94,0.004591039025890651,0.3265879281386471,0.5214467939352897,0.33788716819754167
95,0.004685807626070247,0.29596398541921853,0.5265275015054617,0.38183279086790306
96,0.0027393398367065547,0.04988442598164863,0.5212239904353155,0.7547994934849793
97,0.012219222858960394,0.04631204442812681,0.5236160371078941,0.2797772025273819
98,0.019401861682681664,0.9503716984511235,0.5301014594615411,0.24215238524032603
99,0.11644830011042986,0.3073474747721233,0.5834576387993303,1.3146095148071955
100,0.0026328863708288824,0.18120882823159246,0.5526944305543369,0.6574283302745846
101,0.004936127678223027,0.4062426081811656,0.5139755623240384,3.7010291720789565
102,0.0026516840274728353,0.3117785936066822,0.5388444183719998,0.7117391325544082
103,0.0040931623306248,0.08242079653671394,0.4735712019978428,1.0839239980702975
104,0.0038433748806594144,0.5449496935752896,0.4801606999849855,1.2307335040024083
105,0.0034391336806610853,0.24375064754104417,0.5533852914491901,0.6292831932834221
106,0.003421652770530769,0.09905333319677354,0.5333034699922675,0.9149958174795594
107,0.003037234263688747,0.2260484574934639,0.42382120744740237,1.5050935512418102
108,0.003010902468474331,0.34701659272919666,0.5388057057860514,0.8496258957199105
109,0.003780612435186712,0.27131981918268633,0.5753150350249107,1.0543460084593523
110,0.0041990861320481436,0.8324059173928013,0.503796895982283,0.6288130229792538
111,0.1046219757581582,0.2696154722357859,0.5159370266705696,0.6596144415562082
112,0.0030350001505494483,0.3042551197232893,0.516397482690267,0.8630939464851396
113,0.028111143476779572,0.1274248614084419,0.5249535405383725,0.49917946887134035
114,0.004799687896278151,0.25000572367644186,0.5378019957764689,0.6417191979560687
