subj,c_effort,c_death,theta
1,0.7496803179502907,55.573483393923,0.23081502912389193
2,1.0714750630936594,0.5839701520284908,0.09638431444715181
3,0.44271051727772537,10.841923973233172,0.09599324617974946
4,0.7403429293622702,35.44697145885679,0.38065163460705653
5,0.28618002740498355,27.993504364842376,0.2655177460542047
6,0.7179366646746955,65.95489912737006,0.21185100793300024
7,0.47475257513687297,19.30642318577881,0.14080370606792628
8,0.764349236312944,21.624781013624037,0.0834253516100254
9,0.2642975572683872,34.07887195769131,0.062059709703693476
10,0.6343753066130658,80.1790097703738,0.2167826477573387
11,0.4935005957791629,40.31391349711007,0.14940401192752992
12,1.0307734652082505,23.43261553714696,0.19774070346956615
13,0.3351387964478079,28.52719841530196,0.18367600535519768
14,0.5730588755899235,645.710158207999,0.35146563840143685
15,0.6498901825934438,56.684920816125974,0.07496053735303226
16,1.0574265542695924,2.8151038215658777,0.058814685899376884
17,1.5075571736433664,12.398853580177018,0.7651263657758712
18,0.44253897374377565,37.54273026269398,0.21949588766831996
19,0.8930626723087883,9.137126902423866,0.3603593339743805
20,0.9581836751701263,31.394301159427215,0.46523619332768223
21,0.4555673468710432,29.20372933882281,0.18271132290783024
22,0.5706188033996017,33.448133748440924,0.35858146012015757
23,0.4247353340080151,142.0558782366408,0.22042514851390402
24,0.24239652331223183,38.337109428221964,0.3074932672805622
25,0.6767962438519057,54.58640104583621,0.23135504885449482
26,0.5864570245416997,159.83155053485325,0.10903986850488119
27,0.548090500966506,24.4185308173032,0.12163030361563609
28,0.7365489958092202,48.547409296848585,0.29157200131762057
29,0.32536936217416623,61.572908338958676,0.14026756305003527
30,0.6008832480255569,23.7199908970589,0.27293509502571
31,0.2611945296996045,29.413082390240685,0.15246920676019501
32,0.9493065376055868,0.8560340119795071,0.09313684146771015
33,0.678535865250149,22.78901891914253,0.5404556055277343
34,0.7418154075080602,1.5184531512083317,0.15934613234629924
35,1.6933052018781163,54.72016304054793,0.06710126662805113
36,0.5508496375578117,28.425063251536663,0.19905529598836458
37,1.07698968614714,12.031997238840475,0.07283575224206472
38,0.6518896724155292,32.90030920049084,0.2355652436017911
39,0.13414697825243008,21.68440176573907,0.1330631062411184
40,0.3876236986782311,15.500764399636424,0.23405486634472933
41,0.7072963428974967,2.078731645791713,0.07227214732860675
42,0.31733002313972264,68.85604743918786,0.11136909703131988
43,0.9798855356569223,10.44661193201394,0.060585789536111045
44,0.6722382944711589,5.77476472438027,0.17185861100288777
45,0.8121575058013502,11.489406216266046,0.1473612904909561
46,0.8084374141527177,25.83240172595792,0.24116160174582885
47,0.2515533475248984,6.929279997005754,0.09208510901894677
48,0.9353542521429296,30.738354639718903,0.24480059968319276
49,0.617917687945735,41.79427702904007,0.2290309716247489
50,0.7321413984338703,20.982933169777237,0.18449246249514395
51,0.3189082392967457,80.61576326472161,0.29473708342920035
52,0.6107353635230738,43.11530038491422,0.07219199393733035
53,0.7844074889848679,21.166712703823,0.14625428298227983
54,0.45121495189805566,9.227768720104935,0.19929661963994938
55,0.6772694707731493,1.5002023294612004,0.05818819810790361
56,0.7350668185275276,30.97484779944882,0.2591375708162236
57,0.37576124654797644,0.8711954335853234,0.08386085096958075
58,0.5052565726805454,16.152835303131223,0.14461158128616433
59,0.5708095667655896,6.938169625397064,0.13732300010637444
60,0.33347899509196044,1.2468151217601073,0.21402623757755912
61,0.5263729296390588,20.55084750408228,0.11228079883822692
62,0.3145310598922081,3.34075471689677,0.6917207706720722
63,1.0660784486201205,113.01220726646046,0.7766545980994264
64,0.5453397332765383,27.993506511646594,0.06382371585316934
65,0.6042097528134008,27.158556252426845,0.08996562499618703
66,0.18022513826023928,18.436466040029142,0.27524305900724305
67,0.26917616658254895,1.7698171500446889,0.20062336935120953
68,0.4086721724452112,0.6570870872498205,0.20643942824191688
69,0.3257433950847607,82.56884577851065,0.23056250364335368
70,0.680572587530512,2.530197008402347,0.06632079092365606
71,0.4077293416003109,8.96184864416061,0.1163994272259452
72,1.6625942037176729,58.72261300636517,0.06870324337134534
73,0.7359184169720016,29.319954522885546,0.18845715583381226
74,1.1539649807136185,0.8076635498235254,0.0959889488617758
75,0.6453454132139992,9.769595336766862,0.18600694845384486
76,0.2775929311900065,7.331130121237435,0.0776945747063019
77,1.1474800943641412,453.6412415252539,0.059145289912508024
78,0.6631955868924739,59.04235750296338,0.25706104229064325
79,0.19942724429440156,542.4432031571839,0.2680008851633025
80,0.7127941922324417,2.7788857562575675,0.1252182700191844
81,0.5656790604772116,43.72401374300956,0.2994486194499559
82,0.8538911280932474,1.0093629964191673,0.09774588110231346
83,0.15311218869990673,17.89005093513485,0.95810269652335
84,0.9109113621427108,1.1056606128591933,0.31205092723184336
85,0.8505169390651254,2.4979145414386115,0.2495809022724598
86,0.3352826100354538,31.638489381208835,0.37096028301360784
87,0.5610152676611163,33.22782952345796,0.3474529291860434
88,0.9121781796765251,37.36223133670901,0.2313013410069184
89,0.9011923574782694,24.61663549849577,0.1606271519062518
90,0.24628144550053402,28.10659826339541,0.17883664059645202
91,0.15182902771833046,79.01160936948622,0.3466557372685588
92,0.3341177948810739,22.216350455357762,0.24962759637984358
93,0.21655517437692223,29.902872229536307,0.11676101799083215
94,0.8416046510930644,4.480931093910248,0.25425679502506954
95,0.7558056995636183,8.995509899554072,0.24591909334238057
96,0.22553482503946515,25.959573922192313,0.3125289279756908
97,0.26142868959603804,1.6327240109649028,0.3509227970951547
98,2.299388377207916,2.811718852134276,0.07920212955746005
99,1.0077699173395578,2.0787189989195123,0.27371749474544493
100,0.4136950341450041,28.355201423852815,0.2186991766052648
101,0.23226398631174258,228.64160978320902,0.4425951275548976
102,0.69369629988843,35.868539886226664,0.23877548395138298
103,0.35824153052197416,29.447286798902628,0.28748846419802304
104,0.5942839006989739,45.70954382456447,0.06743969974255636
105,0.8617289255912368,22.288463471722643,0.33416198307353634
106,0.3468851840450188,26.89374779090954,0.23412916204613857
107,0.3713394895478214,65.91697756831326,0.2510530838224814
108,0.8669907418080742,33.18729204096274,0.2572088207093775
109,0.5338914086046967,33.05799847077148,0.11966487936384235
110,1.3662249783343705,29.011162694916717,0.06754576785074552
111,0.6249767434479178,0.7350065806005083,0.14425507814647007
112,0.6936740748730568,39.60872954776557,0.2291727622880118
113,0.30235630821032694,1.6636884141694506,0.09067995071482886
114,0.4598477253733916,11.55329109895764,0.10865232888954643
115,0.7141003016542489,14.898462925925504,0.29747064137501955
116,0.4066559234652874,10.943874598785218,0.09762696219440771
117,0.6492592785301731,44.65410024952107,0.06285363635496465
118,0.9475628131213383,2.7251761650052693,0.22752745763443685
119,0.8333907941563761,10.524158267593085,0.08758496095032146
120,0.7176039220739739,33.83658335577397,0.30932872642134945
121,0.7344181785199396,6.022246551074718,0.16296593353240962
122,0.4682914961455213,357.8854738930037,0.31606969840480076
123,0.3256376422361773,58.41914975183759,0.06846083858810585
124,2.186437038418056,45.046217014758234,0.07507290853070636
125,0.6368333671564731,17.05507911364033,0.22687911932761912
