model,n_subject_params,n_pop_params,n_total_params,elbo,bic,choice_accuracy,vigor_r2,gamma_value
EVC_gamma,3,11,890,7279.6385900354535,22987.653564975004,0.7679315131883387,0.5043375938714971,0.28334486724433977
EVC_linear_effort,3,11,890,7329.148189062961,23086.67276303002,0.7683942619157798,0.503250234353963,0.28058776878583624
EVC_eps,3,10,889,7770.6983770070365,23960.303053092437,0.7493444393027919,0.45201522449725207,
EVC_gamma_ind,4,12,1184,6996.778693455498,25206.139004581164,0.7771864877371587,0.5055039051525549,0.29969125751266706
EVC_base,2,8,594,10095.963527334887,25817.158035156328,0.8116612679315132,0.13680895430587167,
EVC_no_sigmoid,3,10,889,9876.756543209302,28172.419385496964,0.7861329631343513,0.14025854342780367,0.10010649352927842
