subj,k,c_death,epsilon
1,0.15375084479935458,0.5752034401135981,0.9782676509360935
2,0.15392546844454225,0.7345394401000459,0.033334898908536484
3,0.1532833122882405,0.27437389297674275,0.4138882996304173
4,0.15415418480885432,0.2980250878189202,0.6413932478942849
5,0.15274800642682204,0.09236376964740876,0.589752788398105
6,0.15441563152665022,0.5623862218088442,1.0093521592048358
7,0.153842376223001,0.3602471712265644,0.4250886840777699
8,0.15403298334622065,0.8075132218284532,0.39525823279338956
9,0.15416257041319129,0.3748004122747178,0.7796611837820371
10,0.1531808625345825,0.6730504543138933,1.31364276924989
11,0.15380056874538647,0.39722329336895085,0.883525021366596
12,0.1552397114224545,0.5154622250793086,0.4858379849759758
13,0.15331403972133326,0.2307543870297019,0.615617534449047
14,0.15200880863104657,0.9662602443587661,3.4218480323391356
15,0.15528595179850432,0.7642039325848087,1.1670200702037077
16,0.15288976292372133,1.0817637972554186,0.10346305849025701
17,0.15308413140724178,0.3286830497053907,0.25322804435054574
18,0.15412582037329475,0.2980872262969576,0.7512483771853403
19,0.15411512035158975,0.3717885536283429,0.21012486507128988
20,0.15411967087347253,0.35754219181413005,0.4979716509755863
21,0.15406361955007306,0.23142230885595327,0.6266738898662819
22,0.15437961808892411,0.2240550443408524,0.6523869556676678
23,0.1546595754761296,0.5784446208799026,2.316556276444199
24,0.15302766794350234,0.104281004325599,0.8531486009031886
25,0.1520311508986784,0.5738953008283935,0.9162860540460048
26,0.1539503665519815,1.125791453486184,2.6608182919484973
27,0.15369152315864867,0.5073490081802361,0.5343379652402959
28,0.15325349165869592,0.48764458633467916,0.8021013282439944
29,0.15488633164232707,0.273789500692798,1.5241721734056388
30,0.15391794488954824,0.2827381374576758,0.4754604114488322
31,0.15404048084981586,0.154823347156036,0.8115740704669133
32,0.15320031419066096,0.8443542350020677,0.03840408120874572
33,0.15327141624983626,0.15103989116095035,0.5681171894063862
34,0.1535771448448118,0.3759142593549688,0.12002223672926114
35,0.1540780222584732,1.4116504816559876,0.6425155832997088
36,0.15359977487962945,0.2812647040341599,0.6558135495666394
37,0.15354405555681558,0.898728650166558,0.21316098493214947
38,0.15323080476270134,0.34561506740221726,0.6200005198695261
39,0.15228538905591568,0.06156636725773325,0.6871917846257172
40,0.15409329943832023,0.14596759693509365,0.4855854642386442
41,0.15376408244935014,0.6177318777780889,0.07102701716171887
42,0.1545022920181047,0.3455093091487399,1.7302890605386958
43,0.1540733758562962,0.804579001007035,0.28117553223485686
44,0.15375412513732178,0.3572770723696432,0.37028584321949876
45,0.1527303767397647,0.5450742120510756,0.31672986722501106
46,0.1543954036834902,0.526437155489566,0.3870070587714986
47,0.15356278515172586,0.14490982604800517,0.24811849151326612
48,0.1546158367988248,0.5550180714145919,0.5415927141975749
49,0.15423823275193682,0.4302873756900396,0.7813934725609436
50,0.1538520806916665,0.3971976593418123,0.48464238064769766
51,0.15324129848129936,0.22664182039840008,1.6669082952065026
52,0.15545017474561823,0.6416699598898206,1.1396109404729162
53,0.15393527191105424,0.6701264591434076,0.3691662373604528
54,0.15389247454996827,0.22771985633788133,0.27436220354859586
55,0.153796586354298,0.8984775754566818,0.047476390127709794
56,0.1540356585017665,0.4175512893103014,0.5460476493070876
