subj,k,beta,c_death
1,1.3217492176470624,7.334590947688513,1444.2158917271383
2,4.359841305455578,3.60907834660321,7.800929827989615
3,2.2216398843177694,2.628199733582746,286.8169906753273
4,0.939003113282284,6.291282804990348,2037.2586617673162
5,0.9604827180113105,3.0844896510683317,187.5769080813279
6,1.4515642345346629,6.6994756954079175,1296.362073031899
7,1.3354761838579,5.694429076336261,2623.3441168902223
8,2.6648267674521287,6.476293480867,753.1744823749478
9,1.5238728859542074,3.696726826401986,3253.5400445851587
10,0.7331454444410693,11.336907895531075,968.8325974086655
11,1.6208152411738457,4.23805774000417,933.0362904891144
12,2.861496488458809,3.932038129340183,2161.26035638531
13,0.887249980954266,4.859643031034879,313.7053489413389
14,0.7585751000824884,5.959068364868936,3999.237318532467
15,2.825835953386581,4.113929498017844,2856.213796344842
16,4.349972681496765,5.254562615833742,116.3684181544213
17,1.7246600365140827,4.945226475098693,111.98025550134228
18,0.9578463342593075,5.406427163367838,1602.692801562073
19,1.0457977273477268,7.656748446860597,140.37511956152784
20,0.9290373385100689,7.410511989451772,174.78287495352876
21,1.500277831160414,3.790174500505513,2698.698316500985
22,0.9860037183312079,4.858485812393484,576.7643480151812
23,1.0775606212335649,4.664667902807566,2255.1654455101484
24,0.6264236289092509,3.8299022674757293,2794.96475095519
25,0.7136625711579577,11.430869671541194,3005.0670200744576
26,1.9548396025876813,5.553731320616478,1893.778418263644
27,1.6982496451973161,5.928685936113289,1722.251701010634
28,0.8512969866885122,8.806980937890831,3937.637274972296
29,1.691014521994868,2.28381007072256,3747.894336273907
30,1.1266854339262233,5.535131989107769,2430.000106097444
31,1.2235811734315438,3.0540379484011804,1344.0658842928337
32,3.0914867765335194,6.990110105151139,111.66917839640536
33,1.038644998643897,4.101238220289284,137.05848185119038
34,2.4394713300586885,3.6210543434773665,134.26484196776678
35,6.968714220813564,4.489978752037337,2959.86918410626
36,1.599422537881213,3.911600522889007,490.6585401931928
37,4.228108263265752,4.992362511872105,1044.123158686666
38,1.3658618418839101,5.629652691745066,2478.4940160601936
39,0.8939137005610989,1.9676638904091495,1665.2819981826558
40,1.1876546597998736,3.6173580337744533,193.322004003478
41,3.1879898654711645,3.8155979125743147,1433.0140020104138
42,1.7350814487404496,2.352210461197173,2237.8761083973977
43,4.861644843150158,3.2116095258115656,1698.0072122408028
44,1.950164481652398,4.349112898737675,152.7241163373753
45,2.3311677210824926,5.378136629787739,388.3356186811211
46,1.012869287391549,10.916206270994378,921.9011420498573
47,1.5294633152245962,2.6595008405128095,195.28049588050112
48,1.6552718655008094,7.5822210438325115,674.308185274028
49,1.0807518396618712,6.9457905492570795,1963.8156353755182
50,2.0457004229772693,4.621115022644411,2647.537122330158
51,0.9216585994029539,3.4753397962571286,2418.9720723219625
52,3.1789205991742686,2.5771206835899223,1509.0064166743525
53,1.6218432455213798,11.063595954579684,814.0667344149917
54,1.2358287726417474,4.6246457991553775,118.14352925527157
55,2.5514026959317953,7.2795367866700085,237.59441729572728
56,1.3291404860522547,6.338166272873114,433.0372385997436
57,2.020931085493246,2.88480560470034,17.137152497229504
58,1.617014824175814,4.517238722458506,1063.3073338167608
59,2.1250721599059452,3.493092027844683,154.08818425068884
60,0.7985172700557176,4.647807463450194,95.21693710561608
61,1.8621482394349933,4.655915948988748,263.7950199204418
62,0.7306409215569946,2.7636001413362496,7.1720978363855075
63,0.9758200991108704,5.670954703804463,292.40284045442706
64,2.0565098903965806,6.7320855014017615,1460.9001450168196
65,2.360490895469623,4.671229765895571,1034.7230898940027
66,0.7471754340966298,2.385044427130019,515.1766273594724
67,1.2296796485620123,2.3960289567614974,7.171798649519778
68,1.4648388427799823,3.043139332968477,2.2479216816191903
69,0.8717068893406018,4.2940697043473905,540.4706231001345
70,2.6622001278998435,5.914690713218024,284.5876993193916
71,1.62936346369559,4.188176477442171,108.89540286695288
72,6.978538289840466,4.499944166093069,3364.537252853623
73,1.429465847387644,7.991962345941947,797.3277291087055
74,4.5397332773001,3.86484922250001,177.20982153963965
75,1.5870677102444903,5.561887761886047,256.71963632119474
76,1.445716161997721,3.8555648958093616,78.85302334991549
77,6.930455256403717,5.5363175059579754,4340.499418487904
78,0.8468643577304088,8.11343197769998,4518.094714077306
79,0.8862000369192117,3.0758577358839507,3390.450418887564
80,1.8373648797556996,8.614533717452742,199.673724596056
81,0.7835352708654699,6.198840325581343,806.4998661034647
82,3.2979332184553205,4.0134127661798695,151.54908283814504
83,0.5039507651674949,1.7148662380382045,76.71518494425942
84,1.2414391627244128,8.204179122383264,101.36097998729322
85,2.1020008074981433,3.6880575968672398,71.07548709587383
86,0.8061896313068734,3.6642901389539975,366.8244744185218
