dataset,subject,true_ce,rec_ce,true_cd,rec_cd,true_eps,rec_eps,true_gamma,rec_gamma
1,1,0.3515953998798806,0.6977050137051695,500.0,45.10701041511884,0.11490886219158375,0.45757640894482715,0.21,0.31520818569890924
1,2,0.7486659624542161,0.894665454371526,84.59665761287945,79.27020038417697,0.1138202514204246,0.45766115040848415,0.21,0.31520818569890924
1,3,0.5932648795736266,0.7444282980785667,1.5270434665542203,1.1110985807912592,0.12916680453945925,0.45573942537537154,0.21,0.31520818569890924
1,4,0.9302777171436188,0.8949863677003533,8.070260434596632,4.627880106872816,0.10675406295086813,0.45594945742310283,0.21,0.31520818569890924
1,5,0.4931139254926488,0.6013263532366891,85.64616895682386,39.824141923142086,0.11389049882844737,0.45564911363812854,0.21,0.31520818569890924
1,6,0.7839352202006477,1.2111628862124277,24.863386931107623,14.263083748333129,0.12305316284588398,0.45427888078826595,0.21,0.31520818569890924
1,7,0.5614936062291835,0.8214863907859471,6.241426110708079,6.445857728924393,0.12253828030339896,0.45622158183272615,0.21,0.31520818569890924
1,8,0.43720344920133997,0.5898450286139988,1.929134198915079,1.7485205744443,0.11579740511354539,0.4542754599493259,0.21,0.31520818569890924
1,9,0.899987723050934,1.2373614210328103,91.8467341182905,58.34004135838097,0.11978640226403289,0.45681890362840105,0.21,0.31520818569890924
1,10,0.44172369774654224,0.5307299415704776,81.79231259672284,37.13785652963709,0.11150111371861376,0.4626328916086647,0.21,0.31520818569890924
1,11,0.944732108990552,1.1630527608582435,1.0674079245708545,0.956135796318262,0.11891756575135808,0.45784666105154204,0.21,0.31520818569890924
1,12,0.3512042752707308,0.5237126884548242,2.7435563448332485,2.8870085352087744,0.11742070605298371,0.45753279899664295,0.21,0.31520818569890924
1,13,0.2702844109774928,0.3396176333829413,24.906442352795676,6.384041659032529,0.12172473560874411,0.4562734672551062,0.21,0.31520818569890924
1,14,0.45948782011083067,0.39276913218691606,131.18421894936935,44.5338501383634,0.12091080230118947,0.45688829853070073,0.21,0.31520818569890924
1,15,0.5339331571174213,0.881773498798571,29.078094075458708,17.010732043438303,0.1178027294551519,0.4575813805320996,0.21,0.31520818569890924
1,16,0.6468145524606861,0.6178659834892914,17.463202280591513,8.848986870241028,0.10840694302437025,0.4577775172792499,0.21,0.31520818569890924
1,17,0.5499300407215237,0.6300349995892112,47.08745228010872,9.634936702580907,0.10132797876747475,0.4582695933991644,0.21,0.31520818569890924
1,18,0.969420313595592,1.1624174251691872,30.575272450009216,14.179643055590613,0.12168593480960559,0.4596092317107184,0.21,0.31520818569890924
1,19,1.4178444249019437,1.4506801128664195,63.00295614217681,16.02097356859245,0.1098018268092072,0.4573018356163411,0.21,0.31520818569890924
1,20,0.311081760448724,0.44761132224220535,5.432434394945878,6.1988066770515,0.1122135951443105,0.45858217045001376,0.21,0.31520818569890924
1,21,0.48196899613252847,0.7576566191488929,24.979272343479767,22.058343750971492,0.11041605679256909,0.4577379905607956,0.21,0.31520818569890924
1,22,0.5645016861691294,0.7329109757351789,2.795638301560783,1.9049769307709445,0.11157695738588069,0.45566391336474527,0.21,0.31520818569890924
1,23,0.7933190658170776,1.236206846466829,11.820309057130467,10.621620313646225,0.10621923538701206,0.45466522807357657,0.21,0.31520818569890924
1,24,1.1190282461544034,1.9341669258377283,2.439012546767715,1.6904203535184268,0.11440316209378659,0.4565806801782735,0.21,0.31520818569890924
1,25,0.7442475697648643,1.0088078799270548,8.208160268924486,4.625931685690973,0.12368859579982595,0.45600996323985743,0.21,0.31520818569890924
1,26,1.6899027307247099,2.0107795805443445,75.24099034359344,60.853576586519786,0.12381761468226571,0.4556928052346309,0.21,0.31520818569890924
1,27,0.4170718508818433,0.4813703840314052,4.876464165121215,3.7054409304185962,0.12128635885625236,0.45473280183547615,0.21,0.31520818569890924
1,28,0.46658185812577263,0.8747671096940766,319.3058731706053,92.24569435981418,0.11907150761996535,0.455992894386943,0.21,0.31520818569890924
1,29,0.34725803764639246,0.3908453244088712,27.48245983300059,34.77915427637383,0.11370780202382251,0.45622408699576456,0.21,0.31520818569890924
1,30,1.767588149545712,2.330963841957219,47.53459601584413,10.800845603395699,0.11618338020474177,0.4566750943630379,0.21,0.31520818569890924
1,31,0.5760681436368362,0.9490269746410758,3.46587473890755,2.5459866044338506,0.10928147154082198,0.4531358597307235,0.21,0.31520818569890924
1,32,0.6381917417848771,0.7621626862716759,127.60272399283986,46.052775063403445,0.1159307308089811,0.4560660843694955,0.21,0.31520818569890924
1,33,0.48453645311775434,0.6124742289044516,8.491720029806965,7.858855110379106,0.12494578809444122,0.45540557358381334,0.21,0.31520818569890924
1,34,0.5852258771625201,0.6536701040155104,20.370936456593476,24.859758682841495,0.12065522472258756,0.4564517771837013,0.21,0.31520818569890924
1,35,0.49190219276975883,0.7239927150541593,59.834779554318004,13.63521112311676,0.11389097961424173,0.4565965364034622,0.21,0.31520818569890924
1,36,2.195683974266644,2.7015753663420545,142.3660695326655,50.988779485526976,0.11691693425112278,0.4559525843120459,0.21,0.31520818569890924
1,37,0.5724514293295876,0.6951143439680757,8.801434411309238,15.693665645336994,0.122889381855632,0.45540774251826105,0.21,0.31520818569890924
1,38,0.4082337551807894,0.4062256230221283,34.445609702623464,21.06595502167,0.11527107258850051,0.4580990907579554,0.21,0.31520818569890924
1,39,0.20359208510811289,0.32179474908322403,48.575719491447714,15.657137768442242,0.11452239190255396,0.4551157233889045,0.21,0.31520818569890924
1,40,1.080530760024244,1.3268978324966192,64.04952957362892,19.891939852228674,0.11924993442380856,0.4571947246941104,0.21,0.31520818569890924
1,41,0.3000645843185168,0.7637995787432424,3.778956058676963,3.864221235222615,0.11508641918645086,0.4539030155053522,0.21,0.31520818569890924
1,42,0.934095151186583,1.7386532736256408,500.0,157.50811541502867,0.11419760983427525,0.4557519609317317,0.21,0.31520818569890924
1,43,3.6990726646575744,4.3777738725576185,0.5013659703221266,0.38881499114726004,0.11150835776536511,0.45605494303173344,0.21,0.31520818569890924
1,44,1.034211875373037,1.217726295097553,3.9579922921052564,2.9335136806415,0.11014409039840331,0.4529446494001342,0.21,0.31520818569890924
1,45,0.2888949023445486,0.3844359901863476,8.795572807306229,4.338433965069389,0.11335571588472905,0.45565991057781713,0.21,0.31520818569890924
1,46,0.5354855540116716,0.7189813718668704,59.71990827307113,52.063324098396095,0.12169408651349993,0.4567467211337659,0.21,0.31520818569890924
1,47,0.4542989521351197,0.5234010569183499,171.45471348752397,63.90219831599447,0.11002024263919868,0.4587806617607216,0.21,0.31520818569890924
1,48,0.48340667241893776,0.7292580657604278,13.726522800579032,5.828841883619609,0.11333590069301963,0.45838274719811506,0.21,0.31520818569890924
1,49,0.2861449089352125,0.5349124314239351,35.96881314324605,27.12198145931751,0.11946701698162863,0.4555121517185075,0.21,0.31520818569890924
1,50,0.3666560506141073,0.6177358226097683,275.77730774588235,66.73026531739744,0.12409777926551803,0.45632205903008854,0.21,0.31520818569890924
2,1,0.5891207616126488,0.6688462102632848,50.521868865692916,22.87825966951315,0.12105327062384753,0.41605751125083246,0.21,0.23761595839096486
2,2,0.2521291618216066,0.4439436531905825,17.598697730193262,12.114872512713982,0.10660930159546607,0.41803642141766906,0.21,0.23761595839096486
2,3,1.0964987916436975,1.0822276534507946,40.29016883225945,24.566088043592906,0.11776146149721155,0.4161639752826281,0.21,0.23761595839096486
2,4,0.4071580261056278,0.7530387751130103,4.75720646797292,2.7838877333292964,0.1178037753991312,0.41643842353282856,0.21,0.23761595839096486
2,5,0.8236168007560479,1.1933555856108566,77.05554848065528,25.787604844398857,0.12027565965911495,0.4156528603894896,0.21,0.23761595839096486
2,6,0.36024714739960334,0.3120907252792717,0.9669950527041217,1.046866924421327,0.11484708634473158,0.4139189143130792,0.21,0.23761595839096486
2,7,0.28923118644434787,0.35688932501391707,309.451630650374,43.58839319068289,0.11363599291018503,0.4183888515606205,0.21,0.23761595839096486
2,8,0.2252152975493522,0.2387693091807238,115.42972244646151,53.11352706229686,0.11946115125080319,0.4196155502895324,0.21,0.23761595839096486
2,9,2.2283245779189604,2.1883676198538904,9.421688936623013,4.891666513342664,0.11866806529524393,0.41237255331241474,0.21,0.23761595839096486
2,10,0.48645505627163843,0.555951688181437,8.783690074254922,5.9178290943386616,0.1103947645528349,0.415318352837111,0.21,0.23761595839096486
2,11,0.4568250648801034,0.7446720867388035,12.557186858248794,12.992420005481357,0.11187205392291337,0.41548486310224264,0.21,0.23761595839096486
2,12,0.5893148623429276,0.769001224509103,165.66690231122251,39.41141476817665,0.12552960993933987,0.41859725435527034,0.21,0.23761595839096486
2,13,5.431193653031653,5.0519937843706115,15.499629428159778,11.720419492645545,0.114329286621158,0.41458051666608037,0.21,0.23761595839096486
2,14,0.5043054243958035,0.6206153431969885,11.634187631179964,7.287475698422407,0.11077242836346653,0.4141072984016789,0.21,0.23761595839096486
2,15,0.9881958706822791,0.8688226508755037,4.604377531490786,4.838648342673972,0.11542537840218886,0.41334424780497014,0.21,0.23761595839096486
2,16,0.4941991039439991,0.5889377394415988,2.33248711854033,1.7142424265959202,0.11118266903142494,0.4148313387282601,0.21,0.23761595839096486
2,17,0.521831613517406,0.6053658916784073,6.08115844478841,5.487038082876231,0.11121595924619164,0.4181737818321959,0.21,0.23761595839096486
2,18,2.1124704439542086,2.429145580152769,4.855941093649774,5.749828058471246,0.11260949602236942,0.41585510643096,0.21,0.23761595839096486
2,19,0.9776152308946796,1.112306907891207,29.34287539536363,11.026829651020966,0.12322639778287783,0.414935117592738,0.21,0.23761595839096486
2,20,0.7028781403353734,0.8894515760640878,47.08081845623911,16.973336777092996,0.1269411058069631,0.41526701679499756,0.21,0.23761595839096486
