subj,k,beta
1,2.720074636650463,42.40053546879556
2,5.9732262599897386,0.49903215742410584
3,2.6295015852031196,9.424455425436935
4,1.88434832780956,24.289444127194294
5,0.8698435129119058,21.27110397865271
6,2.77633263801074,51.141943623890896
7,2.3645742228613704,15.351101404966732
8,4.721081985822869,18.93275021688684
9,1.9902473330049983,30.48276114002485
10,2.3953166104773884,61.47763299012139
11,2.335310348619652,33.3484666585053
12,4.141964166946476,18.352642652866983
13,1.36460207756857,23.11689958069314
14,1.3448042821843307,399.37055691270774
15,4.174367145392199,50.04834690921861
16,7.066154705857274,2.632216674469042
17,2.6899946446456573,6.012630403706946
18,1.6601224546357225,29.370305060837325
19,2.4372344256026457,6.2108135611382265
20,2.1710434201437585,19.16987370274956
21,1.9157369795801653,23.02154101774164
22,1.499652945273253,23.406363346869234
23,1.532010720756635,109.95834125836082
24,0.6856342475544412,28.366845417952764
25,2.411482322355024,41.23157333363864
26,3.275986213236521,136.9140081365153
27,2.9592636327527355,20.962484107870413
28,2.284653091112784,35.14296512495618
29,1.5610194791127199,51.77222430795571
30,1.9367145140918658,17.635716449118533
31,1.1555789632936346,24.172545965351983
32,5.45211851938019,0.7388714333288854
33,1.32545615548159,14.121119776361885
34,3.387714752298313,1.2743974113055485
35,10.411782816006333,47.6268297367548
36,2.178852644772537,22.348667929532205
37,6.630573107901631,10.481985811035178
38,2.301380746560174,25.02455889440752
39,0.5429397669574573,18.21811249680333
40,1.3471980055602801,11.836681397756228
41,4.586031572666668,1.7419722357417093
42,1.6970731150449385,59.43039785444298
43,6.435025193261725,9.462658753604227
44,2.9266495733982083,4.2895743290564905
45,3.822539575642626,9.581650319765302
46,2.935257256140785,19.713764730675642
47,1.5204820570366109,5.788770652031849
48,3.3361199491262283,23.271157255985134
49,2.2697878055190412,32.125517714727486
50,3.064216860279564,16.407885080792138
51,0.8897508227999458,57.94914621024079
52,3.9991645851530775,38.49910292759698
53,3.79568557372664,17.45469240527166
54,1.7931388407729563,7.4176394855388965
55,4.822492755052977,1.3215613616209887
56,2.4918278405009495,23.358656882807
57,2.4711297301115724,0.7648313290863272
58,2.4961942907906236,13.425833789987669
59,2.830930609316281,5.8784532680646775
60,1.2351984695224587,0.9953737990160135
61,2.902897544226848,18.17718414696712
62,0.5736341261523482,1.950191266601877
63,1.6952487484686365,47.69161388018417
64,3.8313337705465518,25.321043683606405
65,3.678368591797156,23.526398264479372
66,0.5406603059413313,14.109725180495628
67,0.9820446421467972,1.3909627293951976
68,1.543767843668833,0.5274241990272281
69,1.1082513908151905,64.22067424247807
70,4.622146646231258,2.273905504333676
71,2.2939958331318513,7.5353170683504
72,10.374201821788724,51.26436694725206
73,3.104827505892713,23.382087707047273
74,6.444736741812346,0.6860137241441586
75,2.7335350435488115,7.9988708756258475
76,1.8891350871452148,5.0185103833028215
77,8.276418042578952,393.6667902186643
78,2.18356130843122,43.48347915249962
79,0.5543110271634115,356.2774693140575
80,3.795309787849075,2.3559211965729783
81,1.6814022936865196,31.802411864124096
82,4.849501261706182,0.8692071279957122
83,0.3294890404821464,12.413970409935596
84,2.7752561017701893,0.8029748675309704
85,2.851056925903956,1.9201292455392962
86,0.820394512772084,22.257999904113674
87,1.4656988198723455,23.430325424574537
88,3.3056800186539856,28.328641020086735
89,4.062789807637908,19.967079091304818
90,0.9619983107265834,22.633599801135897
91,0.4174540057096044,54.10275928940451
92,1.1053010547289461,16.893868027358202
93,1.1021520777043867,25.230548681194694
94,2.945761505095194,3.3752499524895345
95,2.748517248931238,6.493199659206249
96,0.6449626162205466,19.063209020213215
97,0.6905397583053154,1.197624431370973
98,14.10384760316881,2.4393758850453
99,3.267196051784813,1.5346335127129545
100,1.5477848157926797,22.51428637626872
101,0.5155172010343095,135.17947015025277
102,2.480121027188913,27.262005855920357
103,1.048547827499456,21.93440818024025
104,4.031451059293687,40.91866246108236
105,2.445716957947235,15.526180307066737
106,1.1871340645063906,20.928997591361433
107,1.2073756885385876,49.73327121730122
108,2.9030531364504957,24.61482344503033
109,2.842158132203047,27.830840961231512
110,8.724964578867388,25.43725351321778
111,2.976303721110911,0.6149355114296988
