subj,z,kappa,beta_param,anx_threat_slope,conf_threat_slope
1,0.4182297493840085,1.3418040164475928,2.2173812026765427,6.208817525521159e-08,-5.833333568492291
2,1.2744270741712531,3.879060808761052,0.895139982286964,-1.0416667248743303,-0.41666669150193564
3,0.3983702635039089,2.3275049205839204,0.3523958350362968,-3.104408645627397e-08,0.6250000294918816
4,0.3785853277354705,0.5774029174051979,2.205441705675994,3.5416667691121524,-6.250000197906049
5,0.2544944633975183,0.9179119069373678,0.460740200696025,-2.083333414824063,-1.8750000923561572
6,0.4072860675527447,1.581462210174567,1.7712965718685134,4.166666790843013,-1.4583333853321772
7,0.2582745980042664,1.9517219177217875,1.1849322245074545,0.6249999790452405,1.2500000357007002
8,0.4389235639291188,4.184427799987145,1.5535276093390031,4.37500017151858,-5.416666857587799
9,0.1657389997499217,4.120519708010268,0.360010329960115,3.8805148320075935e-09,-0.6250000062088167
10,0.2873929699762642,0.5744530389325879,6.170478939993395,3.33333344276374,-2.5000000714013972
11,0.3485208382183225,1.9657074640501488,0.6998468921155834,1.458333393093204,-1.2500000201786545
12,1.214212420483568,1.7543299103260608,1.0490879715886952,2.7083334210328793,-2.708333421032877
13,0.1871786626094775,1.354943400023363,0.9287202872404616,5.20833350407581,-5.416666849826777
14,0.2210634395801867,0.5589590809904431,2.200972210578477,3.7500001265046543,-4.166666818006586
15,0.4869392502800209,4.1201569188898555,0.7394484733137351,1.0416667171133087,-1.2500000667447868
16,0.4085587005340864,4.680902005784559,1.8507414682986187,1.2500000473422352,-1.458333327124512
17,0.455405949866281,1.3687721830017758,1.3106225921195656,2.083333414824061,-3.1250001086543024
18,0.2205720699057946,1.180794381975226,1.3477042348286072,1.0416666783081987,-1.0416667171133067
19,0.4611254449530632,0.8543699534867591,2.7710381748294477,3.9583334644945998,-4.3750001327134695
20,0.4864218296128363,0.6044684505488823,2.7637464553331816,-2.328306446343195e-08,-5.833333552970246
21,0.4257790799120752,1.286945365387818,0.6695842599868582,-0.8333333247962078,-4.166666798604032
22,0.403549194209585,0.6585592705125387,1.35466435358935,5.416666849826779,-3.541666788514706
23,0.3513330713312936,1.0150504053758935,1.0097969366139234,3.750000114863121,-2.916666774544868
24,0.1715794040434243,0.5870376898997139,0.9709117761565226,2.0833333915409953,-0.83333333643774
25,0.2855688163134447,0.5742935756758285,6.159661625585048,4.5833334978669935,0.41666665269682857
26,0.3422358355217793,3.249760063582248,1.0231753118711997,2.708333405510834,-1.6666667039195702
27,0.2641200886954921,3.095738354891073,1.1109549191144124,-0.6250000644164803,-1.8750000845951358
28,0.364114893661275,0.6520427944838711,3.646645101278735,3.750000142026697,1.0416667132327977
29,0.3499624711122029,1.4220130016995132,0.2980811651328074,2.70833338998879,0.20833335351198987
30,0.3865912123035048,1.027162692138499,1.2522098988015469,2.083333407063041,-2.291666714008898
31,0.2161144650608523,1.4107163503294204,0.4210454982099362,0.4166666798604045,0.20833334963148
32,0.5244423555962837,3.962290791790163,2.1024234003350384,3.958333468375111,-2.7083334016303224
33,0.4546907197304857,0.5422557095388907,0.9844394543679116,2.5000000908039546,-2.7083334287938987
34,0.5181095718280299,2.241784285086499,0.6840868182339338,2.708333417152369,-3.7500001148631195
35,0.8449281776724121,4.569057106367232,2.4898450498067404,1.4583333504075822,-0.6250000333723935
36,0.3997823991543442,1.4900825184992974,0.7492027810319414,3.125000112534814,-3.750000107102097
37,0.5100563769463137,4.340607286783255,1.6377754145345849,0.20833332634841262,-2.5000000791624206
38,0.2446194016384747,1.3486494820817712,1.53412652382672,3.5416667729926625,-3.958333495538687
39,0.1436406909248488,1.1889862552495656,0.2113789189291342,1.0416667209938202,-2.2916667334114527
40,0.3061187018720704,1.0918620107854726,0.6448127746681589,1.4583334163762667,-2.291666760575028
