subj,k_unified,beta_unified,alpha
163,5.6852846,0.3032302,0.45111045
164,1.9115973,0.50663745,0.6934055
165,1.1831689,0.52931577,0.9184222
166,3.6822133,0.30773172,0.7366141
167,5.1228185,0.39195713,0.49916744
168,1.1738526,0.26695475,0.40879032
169,1.0428052,1.2734125,0.12957259
170,5.472066,0.4818463,0.20402232
171,0.57408005,0.649927,0.5668162
172,2.8365445,0.35639524,0.7445201
173,1.5165929,0.35156953,0.7418462
174,1.0057487,0.41351497,0.4025532
175,6.4817533,0.47997946,0.4523996
176,1.4409648,1.0116391,0.77558315
177,0.9274891,0.58463764,0.6724196
178,1.7143975,4.683941,0.2132496
179,1.2887001,0.47384027,0.059674226
180,0.6135346,0.43876046,0.4287133
181,1.1861073,0.5333383,0.42116755
182,2.0465808,0.27198622,0.6923729
183,1.4467587,0.32948315,0.73171926
184,7.3425517,0.2971306,0.40566194
185,0.89290184,0.33439013,0.25536403
186,5.5370603,0.28657886,0.14303815
187,2.5855243,0.36746687,0.44194832
188,6.7979937,0.2788265,0.4763373
189,7.0417323,0.33218858,0.8257734
190,0.8310121,0.42399,0.3043162
191,2.231373,0.28400064,0.5620064
192,1.8079975,0.65272087,0.4718392
193,1.985208,1.1427356,0.19841933
194,2.5474753,1.1810982,0.294799
195,2.126371,0.40492558,0.5518812
196,1.0457042,0.44133857,0.6863782
197,0.32578135,1.1277612,0.44728112
198,1.3324631,0.45639524,0.7450918
199,3.5294676,0.27631995,0.7577814
200,1.4166117,2.2248442,0.5816806
201,1.0888282,0.5688036,0.28017542
202,1.7829777,0.40845427,0.6480043
203,6.1307125,0.400926,0.47706753
204,1.0117091,0.3886354,0.5843634
205,1.4425619,0.3700569,0.628067
206,6.9944177,0.26588634,0.08893131
207,4.655303,0.27594504,0.7944848
208,0.88594717,0.75530565,0.41306743
209,4.5828853,0.8000867,0.40564167
210,3.982665,1.8050392,0.043955028
211,0.6946712,0.4512958,0.31926543
212,0.39645284,2.7717867,0.15485995
213,4.9088626,0.46521497,0.40137583
214,0.70351815,0.5009752,0.7053908
215,2.9162993,0.2989938,0.77980286
216,2.7065413,0.29343784,0.66823786
217,0.9831054,0.4574836,0.1042504
218,0.7913432,0.49021855,0.66155714
219,5.549497,0.4696368,0.5936671
220,1.9907277,0.29933822,0.5710562
221,2.6240764,0.5245739,0.20328234
222,3.7957063,0.31009308,0.5341006
223,1.4092797,2.5259073,0.38283244
224,1.5867231,6.379105,0.5729971
225,1.0259813,0.57749236,0.7229873
226,7.016507,0.3013489,0.24457103
227,3.9630415,2.488801,0.46349543
228,1.9431288,0.35114992,0.32475895
229,0.66061646,0.5687578,0.53751
230,4.469274,0.42665568,0.7052756
231,0.91934574,0.54996914,0.40887472
232,1.5507662,0.4297029,0.09356552
233,1.0596377,0.2916355,0.5374395
234,5.5580425,0.32572362,0.57582337
235,1.2932625,1.6359576,0.3230711
236,2.584488,0.37453607,0.7097352
237,1.6869937,0.39531007,0.62178326
238,0.65490776,5.3833804,0.33845317
239,1.8552287,0.83485407,0.2225447
240,6.3472505,0.35830194,0.5762512
241,0.8351021,0.34941944,0.31850907
242,1.348986,0.3992753,0.47785428
243,4.4771633,0.35093302,0.66233295
244,0.78966874,0.45560256,0.4313767
245,6.2463484,0.36056197,0.63145685
246,4.5498877,0.44600505,0.17087911
247,4.010086,0.76780117,0.31288618
248,1.1871067,0.43794572,0.41677818
249,0.98326814,0.38919678,0.60937893
250,1.9611502,1.0456421,0.25736818
251,0.35337996,0.73925114,0.20434943
252,1.2051858,0.41694906,0.5929671
253,5.4577856,0.36831325,0.33582518
254,2.089788,3.14244,0.27823976
255,1.8895801,4.399224,0.49782366
256,2.6544685,0.4232357,0.73384976
257,1.8488852,0.6079163,0.44726396
258,1.0288309,0.75527006,0.46892366
259,6.5308614,0.28851685,0.6205663
260,2.2182813,0.35641643,0.72864693
261,0.93329215,0.5461707,0.65441084
262,6.437374,0.5046971,0.69994783
263,7.598061,0.3603946,0.4855192
264,1.6302685,2.4409752,0.19456147
265,1.1111623,0.45047674,0.7920231
266,1.4407934,0.5150104,0.58617735
267,2.0249503,4.6615815,0.06473746
268,8.028901,0.43080315,0.5171456
269,2.4141443,0.4334777,0.6795485
270,7.0951014,0.28242582,0.6382738
271,0.7411555,0.49734846,0.38864556
272,1.9926354,0.3231194,0.51806796
273,4.4956555,0.29249525,0.48420557
274,6.150928,0.3880801,0.59197634
275,6.9756384,0.32296938,0.4448594
276,3.6490664,1.2772758,0.31247595
277,1.9520534,0.384145,0.4398624
278,0.7239134,4.420027,0.34777543
279,1.4028162,0.43012375,0.27003253
280,2.7071,0.5668927,0.11874363
281,7.932282,0.68204665,0.61379874
282,3.185819,0.3444783,0.6320223
283,0.7277738,0.44799453,0.11404391
284,6.841089,0.26948777,0.10861674
285,1.8713108,0.32911387,0.5855939
286,5.531305,0.6685012,0.4721353
287,5.7766547,0.45252213,0.39138037
288,5.858329,0.26167366,0.4293097
289,1.3836907,0.3877678,0.59349245
290,3.282729,0.46940914,0.51721185
291,1.6868179,1.8115885,0.22749153
292,7.4717226,0.2926126,0.5443335
293,1.366752,1.2480537,0.5009765
