subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
81,80,0.054096304,0.02992574,0.09771968,0.029155778,0.70417714,0.023251804,0.05061171226753501,0.117883146
82,81,0.11130636,0.030127417,0.043010145,0.030250948,0.5188873,0.024475366,0.10875297312515947,0.02904135
83,82,0.0070147384,0.030077709,0.0624171,0.029110886,0.68524766,0.0233419,0.0028830718491734105,0.05942601
84,83,0.53080654,0.03110497,0.05389763,0.029830143,0.4515744,0.024850853,0.5328059862887835,0.050985187
85,84,0.56777954,0.029900951,0.0704508,0.03018742,0.49502724,0.024846042,0.5710880403165464,0.077260345
86,85,0.45766088,0.03125746,0.1381159,0.030504925,0.5888023,0.024617193,0.4593933592850781,0.18805587
87,86,0.514219,0.029964054,0.058217272,0.029993681,0.66009176,0.024272095,0.516738389332406,0.05273986
88,87,0.7377016,0.03079564,0.050478354,0.028941188,0.7425461,0.02346393,0.7422090096422184,0.038502812
89,88,0.15329224,0.031014837,0.049852278,0.029478362,0.6799502,0.02401941,0.15138389137927769,0.037645996
90,89,0.74100834,0.030026922,0.035513975,0.030218445,0.7369227,0.02373883,0.7454545039945515,0.012409806
91,90,1.0383743,0.031090926,0.09135706,0.029517261,0.79241127,0.024084713,1.0469571935173907,0.10309845
92,91,0.62108845,0.030491693,0.09736739,0.030266067,0.62192076,0.02449289,0.6250607634348057,0.119437754
93,92,0.70328087,0.03021642,0.05987679,0.03044946,0.7079242,0.024349688,0.7073904959051132,0.054542065
94,93,0.09685518,0.030460972,0.083644144,0.030512411,0.6236073,0.023623938,0.09475886685050058,0.09598386
95,94,0.63111854,0.029821595,0.012863324,0.028943283,0.6256682,0.023898834,0.6349011056544116,-0.022849083
96,95,0.04771966,0.030523233,0.054303057,0.029405551,0.58855784,0.024278564,0.04485900655581229,0.04762447
97,96,0.28140974,0.031054359,0.06548809,0.029522058,0.4904764,0.024158537,0.2809367726528264,0.06832039
