,Comp1,Comp2,Comp3
k,-0.593419051438108,0.6601606600773591,-0.13415576085311076
z,-0.01510223431044943,0.4863186544553046,-0.2581696909911178
β,0.16628071505227682,0.2795705271270725,0.39930547689149015
α,0.7804691462891528,0.473158096157173,-0.07651615249506245
ρ,-0.10413638846009297,0.16013683404455292,0.8660548810642874
