,Comp1,Comp2,Comp3
Distress,-0.062209418384839975,-0.05464885159134487,0.06852447153747845
Fatigue,-0.04312783105751211,0.08495705035243385,-0.100375090259086
Apathy,-0.2733199392043746,-0.18393263664390366,-0.03436475203467455
Mean Anxiety,-0.18712283527723206,0.0653223940814322,0.12979377000936243
Mean Confidence,0.06785422840543946,-0.18987195198787707,-0.07775272604881132
Anx Threat Sens,0.32955325984188794,-0.042967231127933464,0.09990217025467354
Conf Threat Sens,-0.23988027913380003,0.013991882847959923,-0.13210790289602473
