subj,c_effort,c_death
1,0.0010270526064011859,3.844932646923764
2,0.26653607238746096,2.7159453742629247
3,0.0019487587972925853,0.7662835502145713
4,0.0009473637412850196,1.8145958741435837
5,0.0009727323907357811,0.6311494227870625
6,0.0009181021103938538,3.5498429801431293
7,0.0016235293107931543,1.2031166900002188
8,0.002733083211981315,2.8706525592436494
9,0.0011872413356151695,1.6145730433224885
10,0.0010872891162056913,6.846155100862988
11,0.0011671377138274854,2.1188410117596708
12,0.0028422350184761675,1.8390652567998167
13,0.0012863969511673554,1.1713845140450765
14,0.0006745895234776485,6.609324898162168
15,0.001319169787464229,3.9881749215803413
16,0.09879818574310271,3.4689057523861653
17,0.0054100530603721575,1.1561815180823465
18,0.0011318212765310863,1.8154428111270067
19,0.004547011196661777,1.3798640884010607
20,0.0017548613785996676,2.0004998760605197
21,0.0009015684869463097,0.8312717040754066
22,0.0010211180753382475,1.3877591297123537
23,0.0006263431602145297,3.7975520953566564
24,0.0010870275465721564,0.9028978939431395
25,0.0009958718461910623,4.510331145317362
26,0.0007469328309252292,8.227196896195737
27,0.002129418543709545,2.1794271795097178
28,0.0010516487941678806,3.378765351089898
29,0.0006410835953262128,1.6368647990340033
30,0.0013653333537623955,1.3832301246827503
31,0.0008141621558116047,0.8176556049346017
32,0.2141938043740867,3.5619369976466646
33,0.0014797647997004191,0.8619745858845909
34,0.060610426431862104,1.5108332427507145
35,0.0027800513889434724,6.073002435802859
36,0.0015956160989312443,1.4057151951798963
37,0.03876359959630952,2.592259694805865
38,0.0016116332371819636,1.8882025042330703
39,0.0010046706115322806,0.35616175921700904
40,0.0011197321662500203,0.6004387425366633
41,0.1391434519224689,1.9037092726461655
42,0.0007780702324381707,1.8655983687963287
43,0.007403773561099149,1.7601646296712408
44,0.0021222316786909967,0.9276145142585586
45,0.0038274457648036684,1.7551964454085585
46,0.001695146543305061,2.3766409012392664
47,0.0025015146353148613,0.3581121209030017
48,0.0019421823713958862,2.707575849360006
49,0.00148376421144345,2.563254850778253
50,0.0013189572253125548,1.421938075495064
51,0.0007821086792459465,1.796731294282103
52,0.0013637166056314639,2.962813188587788
53,0.002172998246239431,2.4533932066316715
54,0.0018114313830017495,0.8321879100858451
55,0.13749233892019133,2.969184094237714
56,0.0021279254641371277,2.2270711975471387
57,0.05606139161501117,0.5906514389251553
58,0.0017545254114762327,1.2468707150190685
59,0.002714109139358593,0.7950128849817575
60,0.03745819731908804,0.44993544384904427
61,0.0019123142653095818,1.8358672051187988
62,0.00307661967699169,0.2088027367754971
63,0.0012414911396157774,3.2442908756334856
64,0.002357084540735667,3.0052256904147554
65,0.002068117682676857,2.062700620451357
66,0.0009513172514663096,0.2826153915255138
67,0.005757669521193374,0.19400573402743237
68,0.10892787846564549,0.4523779747894427
69,0.0007066983807742364,2.736403833717732
70,0.04854847517376775,2.182827117706147
71,0.0019271364376571554,0.7109826944662404
72,0.002332783985712959,6.322782818591619
73,0.002175526817984049,2.7012878936234967
74,0.24017745301676607,2.8553112037712487
75,0.0030114631656900878,1.3816126974834118
76,0.0023856681427590963,0.3806511117099737
