subj,k,beta,alpha
172,2.9617102,169.78484,0.7445201
173,2.344368,109.58699,0.7418462
174,2.1329885,69.93533,0.4025532
175,7.6210785,33.120293,0.4523996
176,2.3583848,21.705324,0.77558315
177,1.9540486,29.28822,0.6724196
178,1.6331638,14.95464,0.2132496
179,5.669996,21.224947,0.059674226
180,1.4640878,57.7906,0.4287133
181,3.1941955,31.409882,0.42116755
182,4.1089497,202.47675,0.6923729
183,3.3755107,61.821686,0.73171926
184,23.456078,24.947504,0.40566194
185,2.343223,111.90165,0.25536403
186,11.703241,23.040857,0.14303815
187,6.1295986,52.658184,0.44194832
188,22.577183,46.021656,0.4763373
189,12.177421,33.371082,0.8257734
190,2.2478657,60.860706,0.3043162
191,6.132146,154.43341,0.5620064
192,4.478294,22.13936,0.4718392
193,4.116634,31.701498,0.19841933
194,4.996793,16.109165,0.294799
195,5.0567675,38.692116,0.5518812
196,1.8928881,53.849567,0.6863782
197,0.9474213,16.536205,0.44728112
198,2.794168,41.328472,0.7450918
199,9.969258,82.71772,0.7577814
200,2.3661244,17.078205,0.5816806
201,3.056918,28.51576,0.28017542
202,4.952346,29.87399,0.6480043
203,7.7836924,27.77033,0.47706753
204,2.0682943,52.29826,0.5843634
205,2.1711395,108.37567,0.628067
206,23.292377,40.313034,0.08893131
207,10.887013,64.2239,0.7944848
208,1.9649861,31.893116,0.41306743
209,6.2333193,18.055098,0.40564167
210,4.028088,16.477982,0.043955028
211,1.83112,66.269035,0.31926543
212,1.2212111,42.725147,0.15485995
213,6.575505,32.125957,0.40137583
214,1.5406415,31.249414,0.7053908
215,7.5255013,88.959915,0.77980286
216,5.9790397,132.27611,0.66823786
217,3.639975,18.286015,0.1042504
218,1.5297219,44.567142,0.66155714
219,5.609987,41.879215,0.5936671
220,3.9458907,171.20796,0.5710562
221,6.110496,23.014252,0.20328234
222,6.5597115,69.21898,0.5341006
223,2.428352,16.763786,0.38283244
224,1.0087341,13.661124,0.5729971
225,1.8592371,34.757683,0.7229873
226,23.425932,27.68451,0.24457103
227,3.9027348,17.657099,0.46349543
228,4.9109955,72.503624,0.32475895
229,1.5471225,42.04987,0.53751
230,6.423343,40.250454,0.7052756
231,2.2804387,38.84361,0.40887472
232,4.7774167,18.555649,0.09356552
233,1.6329981,153.59334,0.5374395
234,8.430469,58.1388,0.57582337
235,2.5269544,24.348751,0.3230711
236,4.5759773,65.39705,0.7097352
237,2.2636206,89.314995,0.62178326
238,0.835756,13.081642,0.33845317
239,3.6648633,23.385765,0.2225447
240,9.273963,24.564201,0.5762512
241,2.3810847,65.050674,0.31850907
242,2.8702233,80.247734,0.47785428
243,7.5034556,40.375374,0.66233295
244,1.6433091,67.03309,0.4313767
245,8.832476,21.267988,0.63145685
246,8.236897,30.145529,0.17087911
247,5.8141046,15.277174,0.31288618
248,2.9577777,36.323563,0.41677818
249,2.1117542,52.361214,0.60937893
250,3.7236538,26.7379,0.25736818
251,1.3833761,38.65542,0.20434943
252,2.9949596,39.322872,0.5929671
253,6.6127386,68.778275,0.33582518
254,3.2988312,19.164724,0.27823976
255,1.8019513,15.799673,0.49782366
256,6.041684,25.73979,0.73384976
257,4.2721667,31.285368,0.44726396
258,1.9666532,36.458843,0.46892366
259,12.248072,40.67531,0.6205663
260,4.4356523,92.82615,0.72864693
261,1.776232,44.902218,0.65441084
262,7.751988,20.855907,0.69994783
263,12.791933,24.63408,0.4855192
264,2.9436526,25.990974,0.19456147
265,2.156049,44.467094,0.7920231
266,2.8511674,53.93523,0.58617735
267,2.433593,22.346079,0.06473746
268,11.234535,20.197252,0.5171456
269,3.573347,85.44367,0.6795485
270,37.00072,40.510654,0.6382738
271,1.9721324,29.747398,0.38864556
272,6.3411536,52.935226,0.51806796
273,9.2868,55.167976,0.48420557
274,3.8747032,135.82501,0.59197634
275,10.918947,25.675985,0.4448594
276,5.0116706,20.41067,0.31247595
277,5.0061917,56.117554,0.4398624
278,1.0660754,16.156345,0.34777543
279,2.6095185,95.3479,0.27003253
280,5.5295515,57.852882,0.11874363
281,5.750207,24.181414,0.61379874
282,8.637133,44.53023,0.6320223
283,2.6164205,79.23204,0.11404391
284,39.570583,42.830147,0.10861674
285,2.324152,189.98051,0.5855939
286,5.4410405,23.552145,0.4721353
287,7.9472647,22.294693,0.39138037
288,14.626742,43.041687,0.4293097
289,1.916627,108.19294,0.59349245
290,6.8767056,30.91046,0.51721185
291,3.0915577,21.9822,0.22749153
292,23.26983,30.824915,0.5443335
293,2.6111858,20.556343,0.5009765
