outcome,predictor,model,beta,se,t,p,n_subj,n_obs,llf,aic,bic,p_fdr,sig_fdr
anxiety,S_probe_z,L3_add (lambda=2.0),-0.6048250008331526,0.023595871226184402,-25.632662385526867,6.59936207500612e-145,293,5274,inf,-inf,-inf,1.979808622501836e-144,True
anxiety,p_threat_z,threat+dist,0.575099921996614,0.023517389167794056,24.454241833280793,4.5357939143319164e-132,293,5274,inf,-inf,-inf,9.071587828663833e-132,True
anxiety,dist_safety_z,threat+dist,0.22573450556079933,0.02325870984673967,9.705375192701931,2.8602203916671365e-22,293,5274,inf,-inf,-inf,2.8602203916671365e-22,True
confidence,S_probe_z,L3_add (lambda=2.0),0.6123304762229479,0.02386995606051722,25.652769308435825,3.937693426127878e-145,293,5272,inf,-inf,-inf,1.979808622501836e-144,True
confidence,p_threat_z,threat+dist,-0.5856012211364509,0.024414107087530383,-23.986182211658658,3.876134388812726e-127,293,5272,-10839.116369264451,21688.232738528903,21721.083563909815,5.814201583219089e-127,True
confidence,dist_safety_z,threat+dist,-0.28341216286259535,0.02472933490332906,-11.460565517451197,2.081512052456543e-30,293,5272,-10839.116369264451,21688.232738528903,21721.083563909815,2.4978144629478516e-30,True
