subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,rel_rate,subj_cookie_mean,rel_rate_cc
1,0.1,1,0,1.0165627152176158,5,0.1105779919407156,0.049451981358972795,0.9558794263126317,1.0631765138969642,0.9561561057171115
1,0.1,1,1,1.02141180577608,7,0.1091927714590525,0.041270988320937764,0.9604390524249965,1.0637919870133938,0.9601612140769206
1,0.1,2,0,1.0105584413709783,2,0.055075811242371236,0.03894447960883099,0.9502335750985046,1.0631765138969642,0.950508620310733
1,0.1,2,1,1.0795451632746917,5,0.1128240880193824,0.05045646606215173,1.0151021633020314,1.0637919870133938,1.014808511864735
1,0.1,3,0,1.0524392119850827,2,0.03206378315808234,0.022672518501575034,0.9896142905121829,1.0631765138969642,0.9899007344767944
1,0.1,3,1,1.084220598845079,6,0.08653250210195967,0.035326746052685674,1.0194985006886792,1.0637919870133938,1.0192035774672816
1,0.5,1,0,1.0789655787620325,14,0.11770137927674894,0.03145701680030921,1.014557176846039,1.0631765138969642,1.0148508405318277
1,0.5,1,1,1.1556280703139934,5,0.10262880045138141,0.045896994851709984,1.0866433328179295,1.0637919870133938,1.086328985761991
1,0.5,2,0,1.0510639736195089,2,0.0034615800894369,0.0024477067548611675,0.988321146429433,1.0631765138969642,0.9886072160933483
1,0.5,2,1,0.9768244493065363,2,0.0028983788245958136,0.0020494633213191944,0.918513319673938,1.0637919870133938,0.9182476097126661
1,0.5,3,0,1.0209664945162387,2,0.06243311899211659,0.04414688180995227,0.9600203238357855,1.0631765138969642,0.9602982018235062
1,0.5,3,1,1.088938788313596,2,0.055770738427387466,0.039435867333786845,1.0239350397972722,1.0637919870133938,1.023638833162113
1,0.9,1,0,1.0957324066227454,17,0.11595343563951928,0.028122838987941014,1.0303231158841928,1.0631765138969642,1.03062134302276
1,0.9,1,1,1.0542851738930608,2,0.06180799458710924,0.04370485210408637,0.991350058491058,1.0637919870133938,0.9910632781254317
