subj,baseline,cruising_rate,post_encounter_rate,encounter_spike,spike_peak,spike_peak_time,threat_gain_pre,threat_gain_post,ramp_speed,c_effort,c_death,log_ce,log_cd
1,1.1194956140800802,1.093595172682506,1.0960049201587272,0.059714165831562874,0.27698740602293415,2.5,0.05050253583559594,0.051057159104407335,-0.03495445963742355,0.7435812899840922,66.18894106077803,-0.29627718484987875,4.1925133955254115
2,0.5474937761481009,0.5655671817798673,0.5977045005768733,0.0881199544032094,0.17676407901196112,1.7,-0.04777474599199916,-0.008116515432593618,0.013229097471567785,1.7370225522142502,0.7674545169690125,0.5521724706025769,-0.2646760625549634
3,0.8420358187237411,0.88342558874897,0.9097223313991355,0.07020561819419943,0.1255820148601856,1.1,0.03410142009571382,0.06046430261109015,0.0357046899578153,0.7296963447638212,14.524339122366252,-0.31512679745454486,2.6758258023821093
4,1.0050765506695019,1.0089249418142774,0.9675195460239545,0.02935193430005657,0.05654998898922259,1.9,0.03286423975898489,0.04081866945284385,0.001481135924283921,0.5171860267244779,37.7644466350427,-0.6593526496101203,3.631368094806017
5,1.0386729571501963,1.1122116817209418,1.0044724210233202,0.06175316973054432,0.18566672401349538,0.7,0.19038167638209513,0.018746516367359134,-0.010297042291211323,0.2454753370771848,32.53429909548282,-1.4045587967647366,3.482294889622309
6,1.0664297908798024,1.1284278814189173,1.1404918670689508,0.02943074988760287,0.49873936474646663,2.5,-0.05830014049308385,0.09084440084948886,0.052149699059156326,0.7601977484201143,79.78760250677395,-0.2741766842570598,4.379368135328635
7,0.9340501005532463,0.9223034755449323,0.9144121731205634,-0.006864370349908011,0.05521724836207309,0.3,-0.07101990135458636,-0.07426617732139196,-0.017837701556791173,0.6408977364122737,24.36980021120388,-0.4448853723672964,3.1933446694584084
8,1.0551730021269319,1.0729430658622863,0.9485490676888568,0.022994062668671177,0.0794210924917953,2.1,0.07856486635936255,0.0006807867020569569,0.008755929044820815,1.2988370456260017,29.80658339915412,0.2614692838040578,3.394729288546956
9,1.0690776168000002,1.0561192719613592,1.0458735845476603,0.01160405516662888,0.07308354183688603,0.5,-0.02073629611899719,0.011587248050275889,-0.007853265414203186,0.536018400423864,46.903430774117815,-0.6235867893515669,3.8480908236109106
10,1.008363165136601,1.042929867567889,1.028424266312251,0.006468658555857565,0.16057849005488012,2.1,0.0769713939028136,0.05541274912015992,0.021072394562369392,0.6486815426015384,95.77023143124651,-0.43281337207135895,4.5619519000623665
11,1.0015191697446044,0.9917608609546844,1.0149754731593643,0.06190775612896883,0.2061937484989651,1.3,0.06941445136662427,0.04606305401148225,-0.007640841335101593,0.6421161119819826,51.770813004988696,-0.44298613186031544,3.946826534962583
12,0.9507354664086991,0.9442210034992087,0.9083047759010301,0.031116084988437365,0.11345812215239637,2.5,0.03515477614302431,0.03325899640717056,-0.010231772626317774,1.1700121378824335,28.955833520143184,0.1570141230143427,3.3657716870064096
13,1.0015442291386092,1.0288306334079682,1.0163736024360683,0.06000597222131465,0.12562747517402806,1.1,0.005454108349462361,0.009408704643458776,0.024998054171878517,0.3710450026224698,35.37203250965033,-0.9914319228618667,3.5659214657917255
