subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
9,0.5,3,1,1.060425620048672,1,,,5.0,0.9,1.0472599761675996,1.0125715144096803,1.0125715144096803
9,0.9,1,0,1.0259609348116554,4,0.05050630225284009,0.025253151126420046,1.0,0.4,1.0324060905855246,0.9937571505702627,0.9937571505702627
9,0.9,1,1,1.0768192317457566,1,,,5.0,0.9,1.0472599761675996,1.0282253272834199,1.0282253272834199
9,0.9,2,0,1.038204360264836,4,0.022964640756744342,0.011482320378372171,1.0,0.4,1.0324060905855246,1.0056162683775172,1.0056162683775172
9,0.9,2,1,1.073656618610747,1,,,5.0,0.9,1.0472599761675996,1.025205434222498,1.025205434222498
9,0.9,3,0,1.0514273428459837,3,0.027274520188925382,0.015746951573093953,1.0,0.4,1.0324060905855246,1.018424196092907,1.018424196092907
9,0.9,3,1,1.1079017586455506,2,0.12614645382643266,0.08919901292330623,5.0,0.9,1.0472599761675996,1.057905184823225,1.057905184823225
10,0.1,1,1,1.234983969315294,5,0.009220896139081157,0.0041237101160901644,5.0,0.9,1.1945029259128475,1.0338894468353945,1.0338894468353945
10,0.1,2,1,1.1292485449685348,5,0.13574308186532136,0.0607061517052355,5.0,0.9,1.1945029259128475,0.9453710999540291,0.9453710999540291
10,0.1,3,1,1.2192762634547134,5,0.003915843075924134,0.0017512182613976465,5.0,0.9,1.1945029259128475,1.0207394532105762,1.0207394532105762
10,0.5,1,0,1.1736409915549866,5,0.12015328147771258,0.05373418102076634,1.0,0.4,1.1541304923807325,1.0169049334568814,1.0169049334568814
10,0.5,2,0,1.0418154906804895,5,0.2598556009311682,0.11621095760322996,1.0,0.4,1.1541304923807325,0.9026843130463,0.9026843130463
10,0.5,3,0,1.1215728923732078,5,0.14846876420130858,0.06639724985790264,1.0,0.4,1.1541304923807325,0.9717903649349345,0.9717903649349345
10,0.9,1,0,1.2216611398130937,5,0.014563332223089658,0.006512920165948321,1.0,0.4,1.1541304923807325,1.0585121421521924,1.0585121421521924
10,0.9,2,0,1.2063609374449382,5,0.03762554155911285,0.01682665372328395,1.0,0.4,1.1541304923807325,1.045255233623076,1.045255233623076
10,0.9,3,0,1.1597315024176793,5,0.11475690086207153,0.05132084624295923,1.0,0.4,1.1541304923807325,1.0048530127866158,1.0048530127866158
11,0.1,1,1,0.9678712297820736,5,0.1674974875507072,0.0749071536447612,5.0,0.9,1.0244198187829692,0.9447993996562108,0.9447993996562108
11,0.1,2,0,1.0464883193462342,3,0.11438701951750672,0.06604137651023148,1.0,0.4,1.0688376599560883,0.9790900513266231,0.9790900513266231
11,0.1,2,1,0.9387717679394906,2,0.004380177764003549,0.0030972533997294383,5.0,0.9,1.0244198187829692,0.9163936022389433,0.9163936022389433
11,0.1,3,0,1.1610037021801727,1,,,1.0,0.4,1.0688376599560883,1.0862301598054385,1.0862301598054385
11,0.1,3,1,1.0722094997982852,4,0.06462008968403202,0.03231004484201601,5.0,0.9,1.0244198187829692,1.046650484634406,1.046650484634406
11,0.5,1,0,1.105237899406629,2,0.0810932313551372,0.05734157379954707,1.0,0.4,1.0688376599560883,1.034055910279243,1.034055910279243
11,0.5,1,1,1.0835288481056307,3,0.07520790374458568,0.04342130347212401,5.0,0.9,1.0244198187829692,1.0577000056411288,1.0577000056411288
11,0.5,2,0,1.0257454670665291,4,0.12886453746192505,0.06443226873096253,1.0,0.4,1.0688376599560883,0.9596831263493003,0.9596831263493003
11,0.5,2,1,0.9425625920471281,1,,,5.0,0.9,1.0244198187829692,0.9200940617948128,0.9200940617948128
11,0.5,3,0,1.0192416493483363,4,0.05439117940721068,0.02719558970360534,1.0,0.4,1.0688376599560883,0.9535981819635831,0.9535981819635831
11,0.5,3,1,1.0398050365556457,1,,,5.0,0.9,1.0244198187829692,1.0150184694698259,1.0150184694698259
11,0.9,1,0,1.0500438437989792,2,0.002436400730085097,0.0017227954779310273,1.0,0.4,1.0688376599560883,0.9824165849864598,0.9824165849864598
11,0.9,1,1,1.1261897572525303,3,0.07037121325997331,0.04062883891884615,5.0,0.9,1.0244198187829692,1.0993439765646724,1.0993439765646724
11,0.9,2,0,1.0496873023619138,5,0.0718484468615883,0.03213160225205857,1.0,0.4,1.0688376599560883,0.982083006323934,0.982083006323934
11,0.9,3,0,1.093253096139912,5,0.06105016145390664,0.027302462209654526,1.0,0.4,1.0688376599560883,1.0228429789654183,1.0228429789654183
