subj,trial,T_round,distance,cookie,is_attack,type,epoch,norm_rate,n_presses,median_ipi,press_sd,press_cv,frac_full,relative_vigor,pause_freq
246,0,0.5,1,0,0,5,full,0.7982210481487937,58,0.15679931640625,0.47942138596018274,0.48795303658321604,0.9821428571428571,1.9955526203719842,0.0
246,0,0.5,1,0,0,5,onset,1.0401218892839004,6,0.12017822265625,0.5645977281322501,0.5351239051825708,1.0,2.6003047232097507,0.0
246,0,0.5,1,0,0,5,anticipatory,1.0401218892839004,6,0.12017822265625,0.5645977281322501,0.5351239051825708,1.0,2.6003047232097507,0.0
246,0,0.5,1,0,0,5,reactive,0.946833102172908,13,0.13201904296875,0.4010027560237687,0.405879962874733,1.0,2.3670827554322695,0.0
246,1,0.5,3,1,1,1,full,,0,,,,,,
246,2,0.9,2,0,1,1,full,1.0722513089005237,2,0.1165771484375,0.0,0.0,1.0,2.680628272251309,0.0
246,2,0.9,2,0,1,1,onset,,0,,,,,,
246,2,0.9,2,0,1,1,anticipatory,,0,,,,,,
246,2,0.9,2,0,1,1,reactive,,0,,,,,,
246,2,0.9,2,0,1,1,terminal,,0,,,,,,
246,3,0.5,2,0,0,1,full,0.9883450315799334,29,0.127044677734375,0.4203649258380634,0.43673711742594074,1.0,2.4708625789498333,0.0
246,3,0.5,2,0,0,1,onset,1.0784623486045286,2,0.11590576171875,0.0,0.0,1.0,2.6961558715113214,0.0
246,3,0.5,2,0,0,1,anticipatory,1.0784623486045286,2,0.11590576171875,0.0,0.0,1.0,2.6961558715113214,0.0
246,3,0.5,2,0,0,1,reactive,1.054582904222451,14,0.1185302734375,0.5026244300394969,0.5015039355479154,1.0,2.6364572605561274,0.0
246,4,0.1,1,1,0,1,full,0.8284790999778588,41,0.15087890625,0.22560156865445496,0.25288482645008864,0.475,0.9205323333087321,0.0
246,4,0.1,1,1,0,1,onset,,0,,,,,,
246,4,0.1,1,1,0,1,anticipatory,,0,,,,,,
246,4,0.1,1,1,0,1,reactive,,0,,,,,,
246,5,0.1,1,0,0,5,full,0.9420423183072677,44,0.1326904296875,0.42456513064712537,0.42785523152979604,0.9534883720930233,2.355105795768169,0.0
246,5,0.1,1,0,0,5,onset,,0,,,,,,
246,5,0.1,1,0,0,5,anticipatory,,0,,,,,,
246,5,0.1,1,0,0,5,reactive,0.9141249161704538,13,0.140960693359375,0.5741156893147678,0.5137398548874018,1.0,2.2853122904261345,0.0
246,6,0.9,2,0,1,1,full,0.9743101807802094,36,0.1282958984375,0.47129899218749494,0.39471355379455225,1.0,2.4357754519505233,0.0
246,6,0.9,2,0,1,1,onset,,0,,,,,,
246,6,0.9,2,0,1,1,anticipatory,,0,,,,,,
246,6,0.9,2,0,1,1,reactive,1.0427698574338085,14,0.119873046875,0.42915462822884964,0.3592153024640456,1.0,2.606924643584521,0.0
246,6,0.9,2,0,1,1,terminal,,0,,,,,,
246,7,0.9,1,1,0,5,full,1.0556701030927835,62,0.118408203125,0.48194915239150815,0.4424584460201007,0.6557377049180327,1.172966781214204,0.0
246,7,0.9,1,1,0,5,onset,1.0567595459236325,18,0.1182861328125,0.6407413206161389,0.5098424257222622,0.7647058823529411,1.1741772732484805,0.0
246,7,0.9,1,1,0,5,anticipatory,1.071130879110659,9,0.11669921875,0.6376522686442291,0.5008166179958666,0.875,1.1901454212340656,0.0
