subj,trial,T_round,distance,cookie_type,is_attack,predator_probability,antic_vigor_resid,react_vigor_resid,term_vigor_resid,log_k_z,log_beta_z,log_cd_z
1,0,0.1,1.0,0.0,0,0.1,-0.12128674410213691,-0.1125320718091044,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,1,0.9,1.0,1.0,1,0.9,-0.27611231249331125,-0.010584291133717949,0.008900001440740768,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,2,0.9,1.0,0.0,1,0.9,-0.01777556615078768,-0.13311342057786124,-0.1333424135745107,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,3,0.5,1.0,0.0,0,0.5,-0.12288322959444786,-0.14218195230704234,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,4,0.9,1.0,0.0,1,0.9,-0.03913283398611345,-0.016236326522365285,-0.03065456410655565,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,5,0.9,1.0,0.0,1,0.9,-0.10756001164419327,-0.21234385561382152,-0.12103942642727661,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,6,0.1,1.0,0.0,0,0.1,-0.039059434863082165,0.007601888897994291,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,7,0.5,2.0,0.0,0,0.5,0.012513868777426218,-0.04864847431371366,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,8,0.1,1.0,0.0,0,0.1,-0.22508344528627433,-0.12626772968750055,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,9,0.9,3.0,0.0,1,0.9,0.11382796644937532,0.1521574059165487,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,10,0.9,1.0,0.0,1,0.9,-0.3267677822341498,0.18279158116503624,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,11,0.1,1.0,1.0,0,0.1,-0.06765895989051796,0.05133202216166444,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,12,0.5,1.0,0.0,1,0.5,-0.16418833566145463,-0.2296348530621235,-0.09951984980520079,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,13,0.5,1.0,0.0,0,0.5,-0.03751388806540157,0.1593362394940132,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,14,0.9,1.0,0.0,1,0.9,-0.177832418289251,0.012650883248228828,-0.011755404148675597,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,15,0.5,2.0,0.0,1,0.5,0.12137043543249093,-0.022938615409708207,-0.028467179096208328,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,16,0.5,1.0,0.0,0,0.5,-0.12342813927898388,-0.07595481118661296,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,17,0.1,1.0,0.0,0,0.1,-0.07010298396018833,-0.014869267473611059,,-0.30517677296271434,1.114828965995147,0.6315851458597619
