subj,calibration_at,discrepancy,calibration_ca
1,0.24503430283505787,-1.5143678160919383,0.8442132325276818
2,-0.24053303641086704,-0.01436781609193817,0.26418485057871616
3,-0.15371802045410946,-0.34770114942527147,-0.2711980519073757
4,0.643813496646706,-2.9588122605363827,0.6794769692697765
5,-0.35288027875460476,-0.29214559386971595,0.4506712457351064
6,0.5593359650622162,-0.5143678160919382,0.32437919838519697
7,-0.12051195659564007,-0.7365900383141604,-0.08637506353510976
8,0.8671572671910428,0.6522988505747285,0.7244729240104583
9,0.10784667080481634,2.485632183908062,-0.015915517919022827
10,0.7716302215632891,0.9856321839080618,0.1998033375407003
11,0.34545100000701884,1.8745210727969506,0.13158898423805723
12,0.3439602315304349,0.37452107279695074,0.4053528949408422
13,0.7833033814480584,-0.903256704980827,0.7055446923646791
14,0.7036126607270851,1.207854406130284,0.43319443673506813
15,0.29591146310416555,-0.7365900383141604,0.19522387471910246
16,0.32110093525657857,1.874521072796951,-0.04827662928924728
17,0.5264102400355005,-1.0143678160919383,0.49219564354498835
18,0.059116033841084714,-0.4588122605363826,0.10168379210559046
19,0.7881482903213815,0.09674329501917299,0.5537120145783561
20,-0.12382663077367499,0.9300766283525063,0.817499693165708
21,0.01857731072103609,-1.0699233716474934,0.5173554588364147
22,0.7629274384153817,0.596743295019173,0.767757733624559
23,0.7391471874588083,-0.4588122605363826,0.5150874761185481
24,0.3218123417809255,1.6522988505747287,-0.07826596513255547
25,0.7660128464322477,0.20785440613028408,0.05925716485590025
26,0.32456346187447876,-3.1810344827586046,0.07323253592002629
27,-0.2273053505923541,-0.1254789272030493,0.5795575312852309
28,0.7768167091926298,-0.0699233716474937,-0.21994296954715878
29,0.2828496536010991,-0.40325670498082705,-0.10303214050543084
30,0.5970453544446376,0.5411877394636174,0.20870556624632852
31,0.23584951030340964,1.2634099616858396,-0.07674757495667128
32,0.7621211313361295,-0.6810344827586048,0.1618742275594787
33,0.6235001258348714,-0.7365900383141604,0.37919741584292416
34,0.5907827102018147,0.6522988505747285,0.4213702846306518
35,0.19159431684916986,1.2634099616858396,0.1648464052875223
36,0.5867655098609244,-0.1254789272030492,0.46141748586103093
37,-0.07366922037192677,2.1522988505747285,0.16639273414912265
38,0.5663591045421316,1.096743295019173,0.5091249527295375
39,0.2907884554062141,-1.514367816091938,0.46109572746137234
40,0.4425706132071326,-0.1254789272030493,0.41168320696572025
41,0.13026263631384966,-0.06992337164749372,-0.018632707879476004
42,0.4515633255664215,1.652298850574728,
43,0.24352022994976127,0.04118773946361741,-0.07977966460020985
45,0.5250804170119775,0.7634099616858397,0.2804721750083969
46,0.7923555212542037,0.3189655172413952,-0.7698997177461512
47,-0.012691145398309858,0.8745210727969508,0.09052183363133348
48,-0.7608127836743837,-1.6810344827586046,0.767186556647
49,0.06663312342542453,0.8189655172413952,0.31881494100285235
50,0.41753502915092544,-0.9588122605363826,0.39822495343050285
51,0.5474387534288192,-0.5143678160919382,0.43964609536950044
52,-0.015584306618637156,1.096743295019173,0.0046030318081091565
53,0.7811461315528985,0.8745210727969508,0.5231039413046271
54,-0.7450777638379991,-1.1254789272030494,0.7374657684287714
55,-0.4040171811568505,-2.9588122605363827,0.22019739680699527
56,0.4172402768488389,-1.1254789272030492,0.15799963279479345
57,0.05610465164173267,-1.2365900383141604,0.3653317161377302
58,0.9054199356927475,-0.4588122605363826,0.7772368183107035
59,0.09698700320790431,0.48563218390806184,0.1273431447595446
60,0.4366408863756494,0.5411877394636173,0.12356827278327749
61,0.6625383188236366,-0.7365900383141603,0.7582775846624266
62,-0.08874548141259071,-0.6254789272030492,0.18653856690623113
63,0.4430815860333103,-3.1254789272030497,0.6658094492516338
64,0.9056232611278273,-0.014367816091938145,0.44657326484409837
65,0.2832189059257198,1.207854406130284,0.16805322524558117
66,0.08163649575368585,-0.01436781609193817,0.03752225561636873
67,0.3430323088661502,-0.34770114942527147,0.35879761730474524
68,0.2939336171558733,-0.18103448275860481,0.2489417334045481
69,0.5504802278438972,0.7634099616858396,0.4186755545128176
70,0.04247956641378392,1.3189655172413952,-0.18713302522896533
71,0.17965583405853483,1.096743295019173,-0.092808746553635
72,-0.05707346245419932,1.485632183908062,0.11551190189760942
73,0.6199603002211527,-0.6254789272030492,0.4873159090100122
74,-0.33345688329798,-0.7365900383141604,0.4156282321154529
75,0.5367141764624458,-1.4032567049808273,0.7306449668943809
76,-0.0207561202597439,0.3745210727969508,0.04517692468020068
77,0.09304577545716317,0.5411877394636173,0.1551963602179284
78,-0.01764338084229646,1.5411877394636173,0.5718249726715271
79,0.23329439559966128,2.5411877394636173,-0.3781487474524746
80,0.6947214122960089,1.1522988505747285,0.1840209767574694
81,-0.4007205817879319,-1.2365900383141604,0.6192178553179886
83,0.4540718494167233,2.2634099616858396,-0.3186209793720932
84,0.4145943176682145,-1.0143678160919383,0.548594713025103
85,0.5308010927231965,-2.4588122605363827,0.7399069947821763
86,-0.5884274659867548,-0.7365900383141605,0.6597364714003876
87,0.6624024302069599,-2.2365900383141604,0.5663813640693783
88,0.7270482789010067,1.485632183908062,0.6000504249550278
89,0.3027726848680168,1.818965517241395,0.1906381574850753
90,0.6207979051742165,-0.29214559386971595,0.30036726247500056
91,-0.5059574366228194,0.9300766283525063,0.3790947807731332
92,0.7259727875404817,-0.23659003831416037,-0.48646808113334666
93,0.22435186491970624,-2.7921455938697157,-0.063054476859191
94,0.8689912362839955,-0.06992337164749365,0.7927061154283952
95,0.5005310594865988,-0.5143678160919383,0.5396219488838002
96,0.10882998918183599,-1.7921455938697162,-0.037631139326508606
97,-0.33139989696411876,-0.8477011494252715,-0.1098507505021705
98,0.1078158688826865,0.2634099616858396,0.08650663186491918
99,0.6146138259898524,0.8189655172413952,0.25582098251213076
100,0.7818021089937426,0.09674329501917299,0.5837632788215305
101,0.582598523498602,-2.792145593869716,0.5802665949269822
102,0.2874082769569613,1.4300766283525064,0.5474874594054445
103,0.026707230478745667,-0.12547892720304926,-0.1767759600136995
104,0.5530902451418139,-0.06992337164749368,0.642880934181824
105,0.45739367875399145,-1.1810344827586048,0.5756632049712145
106,0.47438853853811264,0.6522988505747285,-0.29160120650811905
107,0.5636326594338049,-0.23659003831416037,0.3650712407127053
108,0.6815310126275034,1.2634099616858396,0.6366872869164633
109,0.38941056353316883,-0.40325670498082705,0.12053308025341894
110,0.44188332505269273,2.5411877394636178,0.2316314751051808
111,-0.10382351962000047,0.8189655172413952,0.18076322234725836
112,0.2038748095993414,0.09674329501917292,0.6060037359784145
113,-0.3717143777064156,-2.292145593869716,0.12511202471926794
114,0.3989386334968789,0.48563218390806184,0.4758670172080139
115,0.9052064455425926,-0.29214559386971595,0.5550924884360087
116,0.5602364819342052,-0.8477011494252715,-0.5327045582557347
117,-0.13303561832392571,0.707854406130284,-0.18837979285018466
118,0.35459888652621846,0.4300766283525063,0.10110840002895974
119,0.23849195076758634,1.596743295019173,0.11638148298875273
120,0.16846006141937464,-1.292145593869716,0.5119880644047576
121,0.9615249966097349,0.5411877394636174,0.633116302699799
122,0.3819518593779294,-0.6810344827586048,-0.517598616040315
123,0.3229714150919219,-0.5143678160919382,0.3841056804978058
124,0.18299065853932364,-1.1810344827586048,-0.2841174985399274
125,-0.1625618199750652,-1.8477011494252717,0.6714877537146094
126,0.17329448148343005,-1.3477011494252715,0.6407306794189955
127,0.4781069995183341,1.6522988505747285,-0.17424934027917668
128,-0.019546827733564223,-0.5143678160919382,-0.569134569841313
129,-0.1952055267833318,-0.34770114942527147,0.2999374427067235
130,0.5972009414798778,-0.0699233716474937,0.3829026744736974
131,0.34438636698188796,-1.1254789272030492,0.7276299285042117
132,0.6520073896739298,-0.5699233716474937,0.16351958626251137
133,-0.024982632514923126,0.5411877394636173,-0.2414729123025008
134,-0.322974584704105,0.7634099616858396,-0.10929578663801788
135,0.22252282628695166,-0.6810344827586048,0.18748794545565173
136,0.7381913331527384,-0.29214559386971595,0.6523804862874785
137,0.4971938946515032,-1.7365900383141604,0.5936888502196944
138,0.19162371915220316,2.2078544061302843,0.022444364421527356
139,-0.0586082248224776,1.596743295019173,
140,0.04811270782162032,-1.0699233716474938,0.7022852302623709
142,0.4160774225582357,-0.6810344827586048,0.6760813911654681
143,0.19205476314816852,-1.0699233716474936,0.4949428221298691
144,0.2955687834914442,-0.792145593869716,0.293048953197752
145,-0.12661232515428816,0.9300766283525063,0.2933234421403989
146,0.3470614506074233,0.8745210727969508,-0.04693363787615212
147,-0.2838722230831105,-0.0699233716474937,0.20033847568323182
148,0.23082902102550612,1.8745210727969506,0.28087684627475756
149,0.8771641070046183,-0.903256704980827,0.8264248776076462
150,0.14840628814004428,-0.6254789272030492,-0.21499635207307524
151,0.31758771359430954,-3.569923371647494,0.7621580312120307
152,0.22866869807042542,-3.2365900383141604,-0.18146250880419115
