time,r_threat,r_cd
0.25,,
0.75,0.0674628020345206,0.57435051871596
1.25,0.059109684952504925,0.44252582045351996
1.75,0.059017851190861025,0.44997168502092744
2.25,0.04852117195776843,0.4941347975050225
2.75,0.0275029298436894,0.4793916188730386
3.25,0.044753993980422985,0.4626651366802601
3.75,0.044511247954585574,0.5077739199595251
4.25,0.042407203123672146,0.47087706098462667
4.75,0.05010919807775231,0.4907872201523143
5.25,0.04208629452668382,0.477198953926833
5.75,0.05472661887405367,0.4382407044567183
6.25,0.03543072914530275,0.47937407847942204
6.75,0.0393723592204282,0.47882494789547325
7.25,0.026421790835426878,0.46582649059554077
7.75,0.017781726667972106,0.46746722397098533
8.25,0.01895208039995926,0.5026006684318558
8.75,0.017852124362872986,0.4497736194096125
9.25,0.016335078307535545,0.47801021626719997
9.75,0.008328082658430441,0.4386931693003841
10.25,-0.001129365684231993,0.3984843258746513
10.75,-9.44046612504734e-05,0.4652141026188792
11.25,0.0007889617510621204,0.4511535264115639
11.75,-0.037989884404119365,0.42620810768328443
