subj,optimality_rate,overcautious_rate,overrisky_rate,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z,calibration_at,discrepancy,calibration_ca,disc_z,cal_z,k_group,b_group,profile
1,0.6888888888888889,0.15555555555555556,0.15555555555555556,0.408797213874203,8.565952671767278,-0.8945360554920829,2.1477953540515182,75.784584372332,4.327894899568681,-0.30517677296271434,1.114828965995147,0.6315851458597619,0.24503430283505787,-1.5143678160919383,0.8442132325276818,-1.224454615701384,-0.11892961385364162,Low k,High β,Low k / High β
2,0.8,0.2,0.0,2.1935384600745262,4.773273183464794,0.78551597512646,1.5630322715555511,0.5025848399666077,-0.6879908175456149,2.095326973969738,-0.20474987119716132,-2.019554667121159,-0.24053303641086704,-0.01436781609193817,0.26418485057871616,-0.021651086577088474,-1.5470172247919975,High k,Low β,High k / Low β
3,0.8222222222222222,0.044444444444444446,0.13333333333333333,0.7897068400140578,3.285259322266902,-0.23609349098127944,1.1894455901502172,12.7433784032689,2.5450117957801437,0.635623758474441,-1.047787151415315,-0.3107553788091499,-0.15371802045410946,-0.34770114942527147,-0.2711980519073757,-0.2889407597158208,-1.2916881721341347,High k,Low β,High k / Low β
4,0.6222222222222222,0.1111111111111111,0.26666666666666666,0.2777722564005046,7.251195945450484,-1.280953722617797,1.9811664132556799,38.21402846828243,3.643202685586976,-0.8573007791904628,0.7388133957244728,0.26969197474316287,0.643813496646706,-2.9588122605363827,0.6794769692697765,-2.382709865969224,1.0539079725186373,Low k,High β,Low k / High β
5,0.5777777777777777,0.022222222222222223,0.4,0.2991992161405724,3.3060149185520276,-1.2066456527362748,1.195743511957322,35.50576042701735,3.5696949488675243,-0.7511274006717988,-1.0335752345147557,0.23083955697093836,-0.35288027875460476,-0.29214559386971595,0.4506712457351064,-0.2443924808593654,-1.877438346532482,Low k,Low β,Low k / Low β
6,0.6888888888888889,0.15555555555555556,0.15555555555555556,0.43045248719097884,7.985487743130774,-0.8429183277766675,2.0776258622224066,91.4462320340092,4.515751171516834,-0.23142396856690375,0.9564841949145054,0.7308763318572066,0.5593359650622162,-0.5143678160919382,0.32437919838519697,-0.42258559628518694,0.8054536253917964,Low k,High β,Low k / High β
7,0.6444444444444445,0.15555555555555556,0.2,0.3834340153752898,6.811663514236661,-0.9585877319740062,1.9186363655493932,16.885777216169327,2.826471682755639,-0.39669553939970004,0.5977078264576058,-0.1619901249334818,-0.12051195659564007,-0.7365900383141604,-0.08637506353510976,-0.6007787117110085,-1.194026808670208,Low k,High β,Low k / High β
8,0.7111111111111111,0.24444444444444444,0.044444444444444446,0.895976327508697,9.108189388650349,-0.1098412865474123,2.2091739416447664,29.4421443315682,3.382427128557628,0.8160163202990884,1.25333614551663,0.1318593963146165,0.8671572671910428,0.6522988505747285,0.7244729240104583,0.5129282597003761,1.7107776709418374,High k,High β,High k / High β
9,0.5333333333333333,0.2,0.26666666666666666,0.4278775873463522,4.811892001387344,-0.8489181351822593,1.5710903542586059,45.08076883975542,3.808455744034025,-0.2399966555405885,-0.18656596779835233,0.35703626190883697,0.10784667080481634,2.485632183908062,-0.015915517919022827,1.9830214619634041,-0.5224080644030771,Low k,Low β,Low k / Low β
10,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2069087684463003,13.308918921940688,-1.575477315011202,2.588434406113565,129.78689919782883,4.865893868496861,-1.278124047884158,2.109176908515213,0.915943794822115,0.7716302215632891,0.9856321839080618,0.1998033375407003,0.7802179328391086,1.4298259278068957,Low k,High β,Low k / High β
