subj,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z
1,0.408797213874203,8.565952671767278,-0.8945360554920829,2.1477953540515182,75.784584372332,4.327894899568681,-0.30517677296271434,1.114828965995147,0.6315851458597619
2,2.1935384600745262,4.773273183464794,0.78551597512646,1.5630322715555511,0.5025848399666077,-0.6879908175456149,2.095326973969738,-0.20474987119716132,-2.019554667121159
3,0.7897068400140578,3.285259322266902,-0.23609349098127944,1.1894455901502172,12.7433784032689,2.5450117957801437,0.635623758474441,-1.047787151415315,-0.3107553788091499
4,0.2777722564005046,7.251195945450484,-1.280953722617797,1.9811664132556799,38.21402846828243,3.643202685586976,-0.8573007791904628,0.7388133957244728,0.26969197474316287
5,0.2991992161405724,3.3060149185520276,-1.2066456527362748,1.195743511957322,35.50576042701735,3.5696949488675243,-0.7511274006717988,-1.0335752345147557,0.23083955697093836
6,0.43045248719097884,7.985487743130774,-0.8429183277766675,2.0776258622224066,91.4462320340092,4.515751171516834,-0.23142396856690375,0.9564841949145054,0.7308763318572066
7,0.3834340153752898,6.811663514236661,-0.9585877319740062,1.9186363655493932,16.885777216169327,2.826471682755639,-0.39669553939970004,0.5977078264576058,-0.1619901249334818
8,0.895976327508697,9.108189388650349,-0.1098412865474123,2.2091739416447664,29.4421443315682,3.382427128557628,0.8160163202990884,1.25333614551663,0.1318593963146165
9,0.4278775873463522,4.811892001387344,-0.8489181351822593,1.5710903542586059,45.08076883975542,3.808455744034025,-0.2399966555405885,-0.18656596779835233,0.35703626190883697
10,0.2069087684463003,13.308918921940688,-1.575477315011202,2.588434406113565,129.78689919782883,4.865893868496861,-1.278124047884158,2.109176908515213,0.915943794822115
11,0.49846815601782946,5.100468449899131,-0.6962155712237833,1.629332388433457,54.198830711636575,3.9926593346268464,-0.021811105171915035,-0.055136747943840214,0.45439682796966435
12,1.185906642715499,4.771217610091637,0.17050758138577474,1.5626015364960493,29.253933758614394,3.376014052109232,1.216586359593715,-0.20572186974831702,0.1284697731742763
13,0.23753176493958464,5.550875201556806,-1.4374539173367484,1.7139556093001547,34.289059973458755,3.5348263520850236,-1.0809124870255993,0.13582436901674522,0.21240980590275638
14,0.21475015400156114,6.7441785726266215,-1.538280000997838,1.908679699089601,2135.873585918748,7.666631015706416,-1.2249755203162178,0.5752395709493333,2.3962697383194165
15,1.0432869909352993,5.538550024355854,0.042376297263561416,1.7117327380467007,91.80212414835177,4.519635436229679,1.0335089179257932,0.13080822837506706,0.7329293548735092
16,1.5339366725227053,7.982457413781692,0.42783741951319254,2.077246310645083,2.4925652409937458,0.9133123974335642,1.5842661869827286,0.9556276972250116,-1.173187954378746
17,0.6146681872469407,5.85338158274609,-0.48667268970768823,1.7670195425708477,11.084039672935711,2.405506206292027,0.2775894271063723,0.25556866454120536,-0.38449087504730933
18,0.28229104543605765,6.355340408398458,-1.2648166642539185,1.8492954686511294,46.96785145664119,3.849463356106594,-0.8342437140752257,0.44123286619108837,0.3787107814518004
