subj,k,beta
1,0.408797213874203,8.565952671767278
2,2.1935384600745262,4.773273183464794
3,0.7897068400140578,3.285259322266902
4,0.2777722564005046,7.251195945450484
5,0.2991992161405724,3.3060149185520276
6,0.43045248719097884,7.985487743130774
7,0.3834340153752898,6.811663514236661
8,0.895976327508697,9.108189388650349
9,0.4278775873463522,4.811892001387344
10,0.2069087684463003,13.308918921940688
11,0.49846815601782946,5.100468449899131
12,1.185906642715499,4.771217610091637
13,0.23753176493958464,5.550875201556806
14,0.21475015400156114,6.7441785726266215
15,1.0432869909352993,5.538550024355854
16,1.5339366725227053,7.982457413781692
17,0.6146681872469407,5.85338158274609
18,0.28229104543605765,6.355340408398458
19,0.3203969267626084,8.870365982357635
20,0.2718174609669589,8.512177099860631
21,0.4875958349052249,4.4404376708064675
22,0.3001893184350667,5.6501365478607335
23,0.32373536626043825,5.331442490137974
24,0.16247936058368487,4.269311950456349
25,0.20014721707797553,13.39327523678591
26,0.6569222223654382,6.864720864639836
27,0.5333593235928964,7.210743221418311
28,0.2364954653562874,10.179626404894833
29,0.5843983908853109,2.5932610691500693
30,0.35410218223223583,5.793026150930655
31,0.3865100692924603,3.533806392971256
32,1.188449078794873,9.534969557099451
33,0.33298379837839315,4.563459608898478
34,0.9274770684111381,4.38288019461832
35,4.517913424228371,5.454208341878247
36,0.5212207085487836,4.768056058705952
37,1.7041039540216574,7.2722585641663935
38,0.4486792188734657,6.46725755947765
39,0.24516580342908212,2.2552000963923837
40,0.38607147171779804,4.129854213420694
41,1.189538603524958,5.2702371835312
42,0.6087119581374832,2.6712751230393965
43,2.0733936370923116,4.611551897492536
44,0.6850168788623454,5.420100792207066
45,0.8239050905343126,6.822494692307836
46,0.3132824497808048,13.446395077092323
47,0.49232713667887934,3.2341860099914714
48,0.524709229879056,9.14535680805905
49,0.29019417462099767,8.065240739416506
50,0.7301687558338827,5.619642465988529
51,0.28495063198446796,3.8153225609344177
52,1.2947675358535522,3.3219655637356946
53,0.4776722190755185,13.624978287445792
54,0.40835500428442056,5.255240570926582
55,0.7139828688998622,10.435100005016562
56,0.4149976021070358,7.441139252115002
57,0.6932341814224301,3.7867378246401397
58,0.5186993707459175,5.7043653111537465
59,0.7642880931064256,4.384275359206666
60,0.2312048240804915,5.296548890973961
61,0.6199657123827228,5.809785773046909
62,0.20895712681990228,2.9388117136449914
63,0.2913029535676941,6.516010297023726
64,0.5834053561572246,8.907863426354409
65,0.7925464776749918,6.013735525704485
66,0.21237465009403064,2.7139586960585635
67,0.38750061946486386,2.8202830220618695
68,0.48659351523925987,3.4572332643414865
69,0.23942560602553709,4.803276600320109
70,0.8446871521881593,8.155579172168425
71,0.4924860473011635,4.898958747394088
72,4.30976713717286,5.547808037334198
73,0.41972956522144267,9.795432871069544
74,2.356814932913149,5.149619257133572
75,0.4866457349843795,6.698207551361653
76,0.4078162836440755,4.682721285226937
77,5.79625712225541,7.566632533148101
78,0.24600091112096711,9.076356799330089
79,0.2169470972022981,3.149952619823829
80,0.5663339598641071,11.376520795487744
81,0.23839230923703672,7.05023942729325
82,1.3391343252457524,5.2895023575493845
83,0.12731718830984798,1.7493753031464185
84,0.37247274624853094,9.490487056454679
85,0.7664245968513838,4.368557724133277
86,0.23450355737440765,3.9174258332107708
87,0.3905709534857658,4.414044393871039
88,0.4970506869872283,10.368534304832167
89,1.0391548914694815,5.647914473080434
90,0.3196387523756292,3.6209589500919668
91,0.16518221380835024,2.1668428129660593
92,0.2515244042485576,4.645000534137433
93,0.38048899983785817,3.2536808331327522
94,0.3040835961885773,13.129583430415941
95,0.2463381667957186,13.196595807436093
96,0.22729582229871903,3.0792248948918464
97,0.2866332611656761,2.9627042539050295
98,5.50247811014128,7.156507754398843
99,0.7728284140912249,5.723262883738042
100,0.19762304956930088,6.9291938061451175
101,0.23437697838251087,2.530912644059009
102,0.20055159006003018,13.212523065641415
103,0.4122786023160108,2.9545377865119753
104,0.8426900707036858,6.654195148896336
105,0.3462715187715613,8.083424445803212
106,0.3897111473052457,3.621641949568305
107,0.24856803785186712,5.232557052127292
108,0.40757107155235367,9.457758589495652
109,0.78407005930836,4.082556309379807
110,1.552471566265168,15.110573238934313
111,0.7091785105078237,5.02268845411223
112,0.3326459455212264,8.916079840535035
113,0.6226432106476116,3.085340244889421
114,0.5013501299683767,6.035702666576539
115,0.47438410782591783,5.359069162772209
116,0.4295068304366551,6.4598055838471256
117,1.6826778550560726,2.516639805590494
118,0.8520064388147666,5.629792403023862
119,0.72469013294739,15.00053871567034
120,0.4123841039933099,5.9211666500115
121,0.42990882133190184,11.219246203801925
122,0.3497345539595336,4.321386015846704
123,0.7664681965750485,2.3791069313791398
124,5.806042745490681,7.81982352839206
125,0.3572831678407042,7.902452672084569
126,0.4573930002499181,7.114167301629025
127,0.5987303454472274,6.9957236711342645
128,0.4136400676128915,9.157108437077072
129,0.3929922754877167,7.600990456114039
130,0.19919798051939458,2.821622569002943
131,0.3155925124769413,4.367749008195556
132,0.46085669118246986,3.5144008493958427
133,0.2961577377874701,4.706549311198839
134,2.3588132540555513,5.567654910434468
135,0.4219795468435817,4.462783480217026
136,0.3559981083915613,4.465504166748129
137,0.20590866421727663,6.472161057723082
138,0.6037486091667019,3.479860463303438
139,1.2249386195027,5.264376081686295
140,0.45584678702778175,4.6074680775531345
141,1.433948256543425,3.8349166891190887
142,0.24542967588380515,7.379557852437582
143,0.7631740375345476,3.755529380341205
144,0.4600103097336775,5.2138193117001155
145,0.1902955532204168,2.9623230597036136
146,1.8511271591946408,6.993010715418427
147,0.6003078614820236,5.841580853326403
148,0.660364796413327,3.9389345914034037
149,0.2723456927734672,7.182328767040764
150,0.1915889401658349,4.0610724653344805
151,0.31433064081779377,6.157781651270555
152,0.9956024736110304,3.360367851678337
153,1.6041978285534204,15.381611022446199
155,0.32798169595795784,4.9618559303765055
156,0.6734794946582368,4.742886367315623
157,0.265519340880955,6.447151059216261
158,0.19591861094873836,3.714040844493955
159,0.5451407766061872,5.68169039822277
160,0.7300651218744602,2.153430762603549
161,0.5884574012075108,3.446135662754793
162,0.22334174996754788,3.9506561689902204
163,0.9288059773487667,5.458910681730904
164,0.39578701266006927,5.158150800509431
165,0.18284358517489438,5.887880517993932
166,1.1431106208421582,3.991994028141478
167,0.2641066414344933,13.342596374316393
168,0.6145982205993005,3.5856774922752677
169,0.41830542327726516,3.6738508588972034
170,0.632268686856289,4.855482476111493
171,0.2524957436443383,3.4243512142913564
172,0.23697974587792486,10.093454872404415
173,0.29344284508082863,6.793618720723728
174,0.2537002194815909,5.952730627371633
175,0.5398892207994307,7.381915409282427
176,0.38371091594732115,3.29990966109302
177,0.4317328798943966,2.9062604469229987
178,0.37657186531520837,2.3327843464501954
179,0.6677611410209293,3.5669071336441145
180,0.2426508264679256,4.7692242395680156
181,0.43467236919031704,4.379200577456006
182,0.8169727065393861,3.857289080288023
183,0.5343754579279809,4.062889798126325
184,2.5820779429905736,6.932558241304379
185,0.4471589104711047,5.020654740660934
186,0.996147040903122,6.804573058525139
187,0.41375883972157174,8.54097004818757
188,3.424668764171208,6.486124155887003
189,0.8450300559212729,10.814882723198796
190,0.3095188753660964,5.189687238968813
191,0.9859305160034573,3.5762669328072016
192,0.4999289247408788,4.380089807249396
193,0.5035122054705998,4.141601102368648
194,0.6122938961234838,3.1299748649702837
195,0.6111905692161721,4.3183843421162225
196,0.19799343070248554,6.241550062900703
198,0.4258304186397118,4.135412229177215
199,1.4891528708439337,3.4779003529827066
200,0.4920330105532897,2.1178521647479647
201,0.5598378453188274,2.5753703885735537
202,0.7370012141229711,2.9226165101127424
203,0.6192164431515509,6.421009919202971
204,0.31797622404891285,4.48206110423881
205,0.267120891623686,6.899861480229744
206,1.5793693917299434,14.82716798109927
207,1.2249862048869178,5.375536327771762
209,0.691391941629121,3.4927189590199608
210,0.49773685420727803,3.202462128871465
211,0.2198380556871798,5.826946844845595
212,0.21146640575456985,4.14355738288322
213,0.550083709790356,5.922807488276687
214,0.24590264897587966,4.344277836304257
215,0.8323556636967573,5.944417717335767
216,0.8326635253259606,4.667742480527437
217,0.5578880064836476,2.822866573234515
218,0.18175460394111828,5.35776519428574
