subj_idx,T_round,actual_dist,actual_R,actual_req,is_heavy,mean_rate,n_trials
5,0.1,3,5.0,0.9,1,1.1247837526260878,6
5,0.5,1,1.0,0.4,0,1.0945345871245722,15
5,0.5,1,5.0,0.9,1,1.1513320346961733,4
5,0.5,2,1.0,0.4,0,0.9786410734947736,2
5,0.5,2,5.0,0.9,1,1.3199469194569702,2
5,0.5,3,1.0,0.4,0,1.0255303800699251,2
5,0.5,3,5.0,0.9,1,1.1188080576966757,2
5,0.9,1,1.0,0.4,0,1.013801942619069,16
5,0.9,1,5.0,0.9,1,1.428760034848249,3
5,0.9,2,1.0,0.4,0,0.999796623957698,2
5,0.9,2,5.0,0.9,1,1.6159732527684834,2
5,0.9,3,1.0,0.4,0,1.0330176013006944,2
5,0.9,3,5.0,0.9,1,1.4046399084015029,2
6,0.1,1,1.0,0.4,0,0.7527364766355238,5
6,0.1,1,5.0,0.9,1,1.0281210828637384,7
6,0.1,2,1.0,0.4,0,0.9978082625013444,2
6,0.1,2,5.0,0.9,1,1.0612885680573343,4
6,0.1,3,1.0,0.4,0,0.893704591403746,2
6,0.1,3,5.0,0.9,1,1.0201204299254223,6
6,0.5,1,1.0,0.4,0,0.8667749650566517,14
6,0.5,1,5.0,0.9,1,0.9827191316097338,3
6,0.5,2,1.0,0.4,0,0.9775616458141112,2
6,0.5,2,5.0,0.9,1,1.0081433571021203,3
6,0.5,3,1.0,0.4,0,0.8488594401584986,2
6,0.5,3,5.0,0.9,1,0.9130487306712518,3
6,0.9,1,1.0,0.4,0,0.8087952165719575,15
6,0.9,1,5.0,0.9,1,1.0064990208285374,4
6,0.9,2,1.0,0.4,0,0.8278179232505999,2
6,0.9,2,5.0,0.9,1,0.9679963163169288,2
6,0.9,3,1.0,0.4,0,0.6736253716847916,2
7,0.1,1,1.0,0.4,0,0.8807637343237996,12
7,0.1,1,5.0,0.9,1,0.8608084366598661,5
7,0.1,2,1.0,0.4,0,0.8330566908838855,2
7,0.1,2,5.0,0.9,1,0.855001897337138,2
7,0.1,3,1.0,0.4,0,0.9761501530206196,2
7,0.1,3,5.0,0.9,1,1.0028433702027575,4
7,0.5,1,1.0,0.4,0,0.9218912398645468,17
7,0.5,1,5.0,0.9,1,0.8643350515264427,2
7,0.5,2,1.0,0.4,0,0.9961387085565973,2
7,0.5,2,5.0,0.9,1,1.0608247437191305,2
7,0.5,3,1.0,0.4,0,0.818112462315038,2
7,0.5,3,5.0,0.9,1,1.09705306093815,2
7,0.9,1,1.0,0.4,0,1.0059800270605868,16
7,0.9,1,5.0,0.9,1,0.8534188517782301,3
7,0.9,2,1.0,0.4,0,0.92813233083821,2
7,0.9,2,5.0,0.9,1,0.9273906075269897,2
7,0.9,3,1.0,0.4,0,0.8164272796871789,2
7,0.9,3,5.0,0.9,1,0.9329403497804624,2
8,0.1,1,1.0,0.4,0,1.0177308504795697,10
8,0.1,1,5.0,0.9,1,1.0470038236260282,4
8,0.1,2,1.0,0.4,0,1.077053809916376,2
8,0.1,2,5.0,0.9,1,1.017965742469786,4
8,0.1,3,1.0,0.4,0,1.103021268700553,2
8,0.1,3,5.0,0.9,1,1.0016380106841158,5
8,0.5,1,1.0,0.4,0,1.0473410079147014,10
8,0.5,1,5.0,0.9,1,0.9960951588669568,5
8,0.5,2,1.0,0.4,0,1.039874529811264,2
