subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
1,0.1,1,1,0.8148134637527388,5,0.109282493684018,0.048872616925631135,5.0,0.9,0.8505099621517044,0.9580293000817333,0.9580293000817333
1,0.1,2,1,0.7939846797058279,5,0.11271924454413279,0.05040957863462064,5.0,0.9,0.8505099621517044,0.9335395410268056,0.9335395410268056
1,0.1,3,1,0.7978777374523603,5,0.05811327303620091,0.025989045780790164,5.0,0.9,0.8505099621517044,0.9381168627746701,0.9381168627746701
1,0.5,1,0,1.036159101389713,1,,,1.0,0.4,0.8595367761022318,1.2054854779901518,1.2054854779901518
1,0.5,1,1,0.8806832673712013,4,0.13364815000938948,0.06682407500469474,5.0,0.9,0.8505099621517044,1.0354767216872587,1.0354767216872587
1,0.5,2,0,0.7632777122609875,3,0.03962667533367728,0.02287847167098848,1.0,0.4,0.8595367761022318,0.8880105348397619,0.8880105348397619
1,0.5,2,1,0.8760549552649466,2,0.10706496226137258,0.07570636084249834,5.0,0.9,0.8505099621517044,1.0300349134637012,1.0300349134637012
1,0.5,3,0,0.7870412900132097,4,0.0603582276104057,0.03017911380520285,1.0,0.4,0.8595367761022318,0.9156574935423129,0.9156574935423129
1,0.5,3,1,0.9559484217282223,1,,,5.0,0.9,0.8505099621517044,1.1239708695589752,1.1239708695589752
1,0.9,1,0,0.9519862465928206,3,0.14901995531707046,0.08603671131693665,1.0,0.4,0.8595367761022318,1.1075573181520195,1.1075573181520195
1,0.9,1,1,0.8342072097866332,2,0.010277160512880912,0.007267049890000709,5.0,0.9,0.8505099621517044,0.9808317914068556,0.9808317914068556
1,0.9,2,0,0.812148985935365,5,0.1001967863822854,0.044809365095563075,1.0,0.4,0.8595367761022318,0.9448682226469033,0.9448682226469033
1,0.9,3,0,0.8066073204212956,5,0.027911581081674984,0.012482438531624474,1.0,0.4,0.8595367761022318,0.9384209528288515,0.9384209528288515
