subj,trial,T_round,distance,cookie,is_attack,type,epoch,norm_rate,n_presses,median_ipi,press_sd,press_cv,frac_full,relative_vigor,pause_freq
158,0,0.5,1,0,1,1,full,0.5358836650988755,10,0.3162841796875,0.2680023148162175,0.5771091353996538,0.5555555555555556,1.3397091627471887,0.3333333333333333
158,0,0.5,1,0,1,1,onset,0.23120049559090608,2,0.73309326171875,0.0,0.0,0.0,0.5780012389772652,0.0
158,0,0.5,1,0,1,1,anticipatory,,1,,,,,,
158,0,0.5,1,0,1,1,reactive,0.5653398111853365,4,0.2998046875,0.04179816949862611,0.07220051475313374,1.0,1.4133495279633412,0.0
158,0,0.5,1,0,1,1,terminal,0.10593786108199645,2,1.59991455078125,0.0,0.0,0.0,0.2648446527049911,0.0
158,1,0.9,1,0,1,5,full,1.0216884299272895,32,0.1658935546875,0.2091826093869753,0.20915242503264533,0.967741935483871,2.5542210748182237,0.03225806451612903
158,1,0.9,1,0,1,5,onset,1.0173838258077936,8,0.166595458984375,0.08713723649467309,0.08384971109561394,1.0,2.543459564519484,0.0
158,1,0.9,1,0,1,5,anticipatory,1.016266844480283,6,0.166778564453125,0.09256785220357948,0.09032628847931727,1.0,2.5406671112007073,0.0
158,1,0.9,1,0,1,5,reactive,1.0740056736013193,13,0.1581878662109375,0.06935708926800087,0.06505586678518689,1.0,2.685014184003298,0.0
158,1,0.9,1,0,1,5,terminal,1.0173838258077936,8,0.166595458984375,0.08713723649467309,0.08384971109561394,1.0,2.543459564519484,0.0
158,2,0.9,1,0,0,1,full,1.016266844480283,33,0.166778564453125,0.3003802907638659,0.3365985191410894,0.9375,2.5406671112007073,0.0625
158,2,0.9,1,0,0,1,onset,1.0168250283933988,4,0.16668701171875,0.2708155851514177,0.3057093092926132,1.0,2.542062570983497,0.0
158,2,0.9,1,0,0,1,anticipatory,1.0744437315922095,3,0.158203125,0.057618703198810683,0.0536265432098766,1.0,2.686109328980524,0.0
158,2,0.9,1,0,0,1,reactive,1.1288422847707245,5,0.150146484375,0.15068640626634391,0.14454910676747107,1.0,2.822105711926811,0.0
158,3,0.5,1,0,1,6,full,1.018503265190674,49,0.166412353515625,0.2179572281219017,0.2144925514901685,0.9583333333333334,2.546258162976685,0.020833333333333332
158,3,0.5,1,0,1,6,onset,1.0190639091898614,14,0.16632080078125,0.10952348353496454,0.10326504465644253,1.0,2.5476597729746535,0.0
158,3,0.5,1,0,1,6,anticipatory,1.0252719780477655,2,0.165313720703125,0.0,0.0,1.0,2.5631799451194137,0.0
158,3,0.5,1,0,1,6,reactive,1.0739117166002223,11,0.158203125,0.2699877352140083,0.26232019911606363,1.0,2.6847792915005555,0.0
158,3,0.5,1,0,1,6,terminal,1.0252719780477655,8,0.165313720703125,0.08885422324040497,0.08182608688631904,1.0,2.5631799451194137,0.0
158,4,0.1,1,1,0,1,full,1.0183166578520313,41,0.16644287109375,0.25496835661774586,0.254129070639446,0.825,1.1314629531689235,0.05
158,4,0.1,1,1,0,1,onset,1.1283824268762181,4,0.15020751953125,0.14306828142610764,0.12902032443380854,1.0,1.2537582520846868,0.0
158,4,0.1,1,1,0,1,anticipatory,1.200960108769999,3,0.1416473388671875,0.072577681893781,0.06043304966067,1.0,1.3344001208555545,0.0
158,4,0.1,1,1,0,1,reactive,1.1299894822145973,10,0.149993896484375,0.1258530160517533,0.1150255691739258,0.8888888888888888,1.2555438691273302,0.0
158,5,0.9,1,1,1,6,full,1.0222528986731056,35,0.165802001953125,0.24423218029096494,0.2436128926954763,0.8235294117647058,1.1358365540812285,0.029411764705882353
158,5,0.9,1,1,1,6,onset,1.0712077630395203,7,0.15869140625,0.37878165083348764,0.41105259569733954,0.6666666666666666,1.1902308478216892,0.16666666666666666
158,5,0.9,1,1,1,6,anticipatory,1.129300184035125,6,0.15008544921875,0.14384430275699184,0.13314187327144775,0.8,1.2547779822612501,0.0
158,5,0.9,1,1,1,6,reactive,1.1283824268762181,12,0.15020751953125,0.11659159505893928,0.10604865845920237,0.9090909090909091,1.2537582520846868,0.0
158,5,0.9,1,1,1,6,terminal,1.129300184035125,6,0.15008544921875,0.14384430275699184,0.13314187327144775,0.8,1.2547779822612501,0.0
158,6,0.5,2,0,0,1,full,0.9276609148876405,27,0.182708740234375,0.1530759133685877,0.16149868247667135,1.0,2.319152287219101,0.0
158,6,0.5,2,0,0,1,onset,1.017197491773763,2,0.1666259765625,0.0,0.0,1.0,2.542993729434407,0.0
158,6,0.5,2,0,0,1,anticipatory,1.017197491773763,2,0.1666259765625,0.0,0.0,1.0,2.542993729434407,0.0
158,6,0.5,2,0,0,1,reactive,1.0168250283933988,12,0.16668701171875,0.07912257408592746,0.0751993964960787,1.0,2.542062570983497,0.0
158,7,0.1,1,1,0,1,full,1.0147813795908414,55,0.167022705078125,0.2568167521862517,0.2705826807616077,0.7592592592592593,1.127534866212046,0.05555555555555555
158,7,0.1,1,1,0,1,onset,1.015524400671017,5,0.166900634765625,0.09925947187611925,0.10350015403978584,0.75,1.1283604451900187,0.0
158,7,0.1,1,1,0,1,anticipatory,1.015524400671017,5,0.166900634765625,0.09925947187611925,0.10350015403978584,0.75,1.1283604451900187,0.0
158,7,0.1,1,1,0,1,reactive,1.1240437871935516,9,0.150787353515625,0.23620584689344445,0.20435447561231593,0.875,1.2489375413261683,0.0
158,8,0.9,1,0,1,5,full,1.0216884299272895,50,0.1658935546875,0.19109914800434274,0.1832208708077041,1.0,2.5542210748182237,0.0
158,8,0.9,1,0,1,5,onset,1.1297613056055984,21,0.1500244140625,0.2492845626036999,0.23316442227736506,1.0,2.8244032640139958,0.0
158,8,0.9,1,0,1,5,anticipatory,1.2685925776803895,6,0.13360595703125,0.344855953164374,0.31451099832555673,1.0,3.1714814442009733,0.0
158,8,0.9,1,0,1,5,reactive,1.129300184035125,12,0.15008544921875,0.1496083186399657,0.1346081582205542,1.0,2.8232504600878126,0.0
158,8,0.9,1,0,1,5,terminal,1.2651343516621785,11,0.13397216796875,0.34148831374979155,0.31210938181307246,1.0,3.162835879155446,0.0
158,9,0.9,3,0,1,1,full,1.0186913117363237,27,0.1663818359375,0.21945055381075318,0.21368318879416653,0.9615384615384616,2.546728279340809,0.038461538461538464
158,9,0.9,3,0,1,1,onset,1.0205619818237313,10,0.16607666015625,0.07154074902612102,0.06769198389666552,1.0,2.551404954559328,0.0
158,9,0.9,3,0,1,1,anticipatory,1.1290710247770783,7,0.150115966796875,0.05335540678374423,0.04884185100709271,1.0,2.8226775619426956,0.0
158,9,0.9,3,0,1,1,reactive,1.017011532900642,9,0.166656494140625,0.07031243631269457,0.06709327968890609,1.0,2.542528832251605,0.0
158,9,0.9,3,0,1,1,terminal,1.0205619818237313,10,0.16607666015625,0.07154074902612102,0.06769198389666552,1.0,2.551404954559328,0.0
158,10,0.1,1,0,0,6,full,1.0179432377354738,42,0.16650390625,0.2261354558286321,0.2349427519660093,0.9512195121951219,2.5448580943386845,0.04878048780487805
158,10,0.1,1,0,0,6,onset,1.0209371884346958,12,0.166015625,0.04947628634704759,0.04720776241414801,1.0,2.5523429710867394,0.0
158,10,0.1,1,0,0,6,anticipatory,1.0224413322337944,7,0.165771484375,0.05187877651732603,0.04918626373559279,1.0,2.556103330584486,0.0
158,10,0.1,1,0,0,6,reactive,1.0730362469127823,7,0.158355712890625,0.3486457750962584,0.37462043782195403,0.8333333333333334,2.6825906172819556,0.16666666666666666
158,11,0.9,2,0,1,1,full,1.017759467109165,27,0.166534423828125,0.12897610274079574,0.12449964069946076,1.0,2.5443986677729122,0.0
158,11,0.9,2,0,1,1,onset,1.129300184035125,6,0.15008544921875,0.046507176064798386,0.042004084030513006,1.0,2.8232504600878126,0.0
158,11,0.9,2,0,1,1,anticipatory,1.129300184035125,6,0.15008544921875,0.046507176064798386,0.042004084030513006,1.0,2.8232504600878126,0.0
158,11,0.9,2,0,1,1,reactive,1.0752105254636697,13,0.157989501953125,0.14018581612730208,0.1300557493327281,1.0,2.688026313659174,0.0
158,11,0.9,2,0,1,1,terminal,1.129300184035125,6,0.15008544921875,0.046507176064798386,0.042004084030513006,1.0,2.8232504600878126,0.0
158,12,0.1,1,1,0,6,full,1.013855112282721,60,0.16717529296875,0.20133192074321601,0.21067017993170664,0.8305084745762712,1.1265056803141344,0.03389830508474576
158,12,0.1,1,1,0,6,onset,1.0201958631570314,13,0.1661376953125,0.0665391907072626,0.06297858432816038,1.0,1.1335509590633681,0.0
158,12,0.1,1,1,0,6,anticipatory,1.0707342018671189,7,0.15869140625,0.05610443375774045,0.05231183561793173,1.0,1.1897046687412431,0.0
158,12,0.1,1,1,0,6,reactive,1.0183165209176284,12,0.16644287109375,0.05512216571212757,0.05355863016904071,1.0,1.131462801019587,0.0
158,13,0.5,1,0,0,1,full,1.013485092168749,26,0.167236328125,0.10000975958847443,0.1023432912504987,1.0,2.5337127304218723,0.0
