quad,escape_rate,earnings,pct_opt,mean_vigor,choice_shift,mean_anxiety,mean_confidence,anx_calibration,AMI_Total,PHQ9_Total,DASS21_Anxiety,DASS21_Depression,STAI_Trait,n
HH,0.407,-8.626,0.449,0.873,0.393,4.436,3.105,0.293,25.848,7.465,8.727,10.747,51.061,99
HL,0.411,14.404,0.546,1.224,0.549,4.288,3.46,0.314,24.846,7.038,8.231,10.077,52.922,52
LH,0.395,13.143,0.681,0.757,0.501,4.468,3.422,0.382,24.629,8.4,9.486,12.114,49.971,35
LL,0.279,-11.726,0.694,1.013,0.428,4.403,3.644,0.271,22.884,7.221,8.505,9.642,52.726,95
