sample,n,r_omega_kappa,beta_omega_choice,beta_kappa_choice,beta_omega_vigor,beta_kappa_vigor,sd_choice,sd_vigor,cov_omega_pathway,cov_kappa_pathway,cov_cross_term,cov_param_total,r_predicted,r_observed,p_observed
exploratory,290,0.3686288858993976,-0.154,-0.075,0.134,-0.245,0.20235198608607188,0.27414782613280697,-0.020636,0.018375,0.010203647561695325,0.007942647561695323,0.14317691951794875,0.14949575779253263,0.010798065339025099
confirmatory,281,0.30210454807982207,-0.167,-0.058,0.122,-0.233,0.20493953595537312,0.2612025122980008,-0.020374,0.013514000000000002,0.009617498288121137,0.0027574982881211386,0.051512443743945195,0.07648100729305206,0.20117418102603535
