subj_idx,mean_dev_subj,mean_dev_pop,mean_abs_dev_subj,mean_abs_dev_pop,mean_observed,mean_ustar_subj,mean_ustar_pop,subj,omega,kappa,log_omega,log_kappa,omega_z,kappa_z,escape_rate,earnings,mean_vigor,p_heavy,oc_ratio,pct_opt
1,-1.7204918249054109,-1.083033630925478,1.7204918249054109,1.083033630925478,0.5581034928203414,2.2785953177257525,1.6411371237458194,1,2.0652947783679045,0.1355515784228703,0.7252729660401767,-1.9984030585248818,0.7409302664860807,-0.3306127702781832,0.8333333333333334,151.0,1.0739625740520253,0.3333333333333333,1.0,0.6666666666666666
2,0.018580623854676154,-0.8558340918643874,0.2306110980466558,0.8558340918643874,0.8931625636540071,0.8745819397993311,1.7489966555183947,2,1.1184079866502683,5.501210145643055,0.11190623361127817,1.7049680945167047,0.035740109439911405,2.4005977838348387,0.5641025641025641,-1.0,0.5581034928203414,0.13333333333333333,0.9615384615384616,0.4222222222222222
3,-0.7302342255153704,-0.7808027873882801,0.7302342255153704,0.7808027873882801,0.9751169450531914,1.7053511705685618,1.7559197324414715,3,1.012396617088502,0.3440909312867524,0.01232040820606816,-1.0668493214032073,-0.07875410771297787,0.3564016534477593,0.10256410256410256,-87.0,0.8931625636540071,0.4222222222222222,0.7619047619047619,0.5333333333333333
4,-1.149431323271379,-0.8743811560472989,1.149431323271379,0.8743811560472989,0.9524415864276174,2.1018729096989963,1.8268227424749164,4,1.124954253533513,0.1944476464150223,0.11774237130383373,-1.6375923222591233,0.04244994001656956,-0.06451735337216305,0.6829268292682927,126.0,0.9751169450531914,0.4888888888888889,1.0,0.8222222222222222
5,-0.9102926568004611,-0.540444444811781,0.9102926568004611,0.5529370863818132,1.1297124885558547,2.0400051453563157,1.6701569333676358,5,0.3486304275899195,0.0656435249710563,-1.053742864593695,-2.7235163126321016,-1.3044112668318324,-0.8653787687977589,0.07317073170731707,-92.0,0.9524415864276174,0.7111111111111111,0.4166666666666667,0.7333333333333333
6,-1.450427189873382,-0.8179188286693687,1.450427189873382,0.8179188286693687,0.9040209706617348,2.354448160535117,1.7219397993311036,6,2.061644676449375,0.1285196135460045,0.7235040508863324,-2.051673751695081,0.738896537740798,-0.3698995372261491,0.8536585365853658,157.0,1.1297124885558547,0.3333333333333333,0.9411764705882353,0.6222222222222222
7,-0.6629087654135838,-0.6568886985239516,0.6629087654135838,0.6568886985239516,0.9307367195362489,1.5936454849498327,1.5876254180602007,7,1.2129803767030205,0.3500068210499841,0.19308045233972917,-1.04980263597434,0.1290664296114282,0.3689734657862901,0.6097560975609756,60.0,0.9040209706617348,0.37777777777777777,0.8823529411764706,0.6222222222222222
8,-0.9214824627215427,-0.7047600546947869,0.9214824627215427,0.7047600546947869,1.039833033376562,1.9613154960981047,1.7445930880713487,8,3.54658955354959,0.5912450851132407,1.2659864525887905,-0.5255246519154234,1.362590699529537,0.7556248448074768,0.3170731707317073,-58.0,0.9307367195362489,0.13333333333333333,0.9615384615384616,0.4222222222222222
9,-1.1888222861854854,-0.4815759093738914,1.1888222861854854,0.4815759093738914,1.1675879702247707,2.356410256410256,1.649163879598662,9,0.7088194599381766,0.0667939857207517,-0.3441544253020905,-2.7061422366133354,-0.4885946330201859,-0.8525655081686039,0.0,-127.0,1.039833033376562,0.4,0.8,0.5555555555555556
10,-1.4080110672624933,-0.6738304652558043,1.4080110672624933,0.6815183613324471,1.0481093340752994,2.4561204013377926,1.7219397993311036,10,2.1116021033263506,0.061679493815299,0.7474469500486383,-2.7858037563868887,0.766423783559211,-0.9113153267989941,0.24390243902439024,-32.0,1.1675879702247707,0.3333333333333333,1.0,0.6666666666666666
11,-1.2904107587495266,-0.7526181166090584,1.2904107587495266,0.7526181166090584,0.9273149937588344,2.217725752508361,1.679933110367893,11,1.2211588447198778,0.1162816924431821,0.1998002806227567,-2.1517396485024567,0.1367922427533739,-0.44369744247867193,0.15384615384615385,-51.0,1.0481093340752994,0.4222222222222222,0.8235294117647058,0.6222222222222222
12,-1.0421746791497193,-0.8827097962065756,1.0421746791497193,0.8827097962065756,0.9901330131579729,2.032307692307692,1.8728428093645484,12,2.72195343918142,0.5312039685523766,1.001349798712447,-0.6326092099284365,1.05833689240141,0.6766507255681824,0.7692307692307693,127.0,0.9273149937588344,0.26666666666666666,0.95,0.5555555555555556
13,-0.6143357036292764,-0.30931898122124957,0.6143357036292764,0.30931898122124957,1.4535572729593522,2.0678929765886287,1.762876254180602,13,0.6173735839791283,0.1248815608744677,-0.48228095373948227,-2.080389503858296,-0.6473992488089916,-0.39107720539290913,0.34146341463414637,17.0,0.9901330131579729,0.5333333333333333,0.6875,0.6444444444444445
14,-1.3777874970185569,-0.5392590689249114,1.3777874970185569,0.5403355020742874,1.1222125029814431,2.5,1.6614715719063544,14,1.3704689254748887,0.0108956435110627,0.31515296264366127,-4.5193922475236885,0.2694136772871552,-2.189824822017425,0.5365853658536586,46.0,1.4535572729593522,0.5333333333333333,1.0,0.8666666666666667
15,-1.4752328602406464,-0.7462574877870128,1.4752328602406464,0.7462574877870128,0.8292061789810017,2.304439039221648,1.5754636667680146,15,2.632667209912775,0.1341347649695639,0.9679974805445571,-2.0089102756893404,1.0199916003547886,-0.33836177010239954,0.8717948717948718,139.0,1.1222125029814431,0.2,0.9565217391304348,0.4888888888888889
16,-0.543926824857962,-0.8467544320333953,0.543926824857962,0.8467544320333953,0.8498402776047925,1.3937671024627545,1.6965947096381877,16,3.2987499422028574,1.696731542136605,1.1935435913144743,0.5287037781789864,1.279302855540002,1.5331110042368559,0.2564102564102564,-107.0,0.8292061789810017,0.044444444444444446,0.9666666666666667,0.3333333333333333
17,-0.624123634341026,-0.7830534002273136,0.624123634341026,0.7830534002273136,1.0089867335519505,1.6331103678929764,1.7920401337792642,17,1.354491059860525,0.5392665164108084,0.3034257821967751,-0.6175453656964092,0.2559308915672644,0.6877602062688238,0.5952380952380952,57.0,0.8498402776047925,0.4,1.0,0.7333333333333333
