Model,Desc,nps,ELBO,BIC,ch_acc,ch_r2,vig_r2,dBIC
V6,ExpS + grid choice,2,-7405.1031107804,20982.04063907055,0.7071264367816092,0.8462698263962161,0.4260095930120671,17049.14165732432
V7,ExpS + ref-u choice,2,-7657.394794125401,21486.624005760554,0.6445977011494253,0.2504484376313466,0.4327980051675696,17553.725024014322
V8,V7 + per-subj baseline,3,2651.9300052226154,3932.8989817462316,0.7546360153256705,0.7961739469681709,0.7371105648958008,0.0
V9,V7 + 2x choice weight,2,-15504.094533551708,37180.023484613164,0.6862835249042145,0.7480842321089441,0.39974688046652274,33247.12450286694
V10,ω only + ref-u,1,-8078.217886772373,19273.841933409363,0.6344061302681993,0.01217612427579442,0.4426324006434172,15340.942951663132
