Model,Desc,ELBO,BIC,acc,ch_r2,vig_r2,dBIC
V8b,V8 + κ in choice,2655.160441750128,3926.4381086912063,0.7534099616858237,0.7708550008246537,0.7378300140662654,585.7883744655255
V8c,V8 + grid-search choice,2948.054628982891,3340.6497342256807,0.7424521072796935,0.8846768408006407,0.7353812718015832,0.0
V8d,V8b + 2x choice,-3742.0100845917277,16720.779161374918,0.762375478927203,0.8792333229107416,0.7326819044618884,13380.129427149237
V8b_50k,V8b 50k steps,2653.500289057414,3929.758414076634,0.7530268199233716,0.7713207771229821,0.7378787787649814,589.1086798509532
