sample,mediator_x,outcome,a,b,c,cp,indirect,lo,hi,p
exploratory,log_kap,AMI_Total,-0.16123083806555408,-0.26853215894763643,-0.03220580804135022,-0.07550147307603028,0.04329566503468,0.006721433718342122,0.08832620061925466,0.022
exploratory,log_kap,AMI_Social,-0.16123083806555408,-0.28111702324724425,-0.04495375086222642,-0.09027848411487353,0.04532473325264704,0.007108121246837286,0.09433825913865557,0.022
exploratory,log_kap,AMI_Behavioural,-0.16123083806555408,-0.25198592088893657,-0.002808506244679042,-0.04343640745032271,0.04062790120564365,0.0063230175075597575,0.08534608705823542,0.022
confirmatory,log_kap,AMI_Total,-0.1429179604607476,-0.14106322894127396,0.09876019626364076,0.07859972728734636,0.020160468976294376,0.0016130386448947997,0.04667264587906145,0.028666666666666667
confirmatory,log_kap,AMI_Social,-0.1429179604607476,-0.17007482626012918,0.026330875166674886,0.0020241278718612214,0.02430674729481366,0.004219487738382162,0.05156422767865028,0.013333333333333334
confirmatory,log_kap,AMI_Behavioural,-0.1429179604607476,-0.09238372765248214,0.12846246279059778,0.11525916885474378,0.013203293935853917,-0.005017110302471001,0.037802554607574056,0.16933333333333334
