sample,outcome,b_conf,p_conf,b_anx,p_anx,R2
exploratory,AMI_Total,-0.25976337556147305,1.270921742072814e-05,-0.006421529080040104,0.9106367786986166,0.07427090817235882
exploratory,AMI_Social,-0.27226539172598985,4.033452914654334e-06,0.09231435897448838,0.10415047477876854,0.09163362149259568
exploratory,DASS21_Anxiety,-0.1315557937097133,0.02443974081910357,0.254426799576648,1.1075895689077049e-05,0.0840821376592179
exploratory,DASS21_Depression,-0.2048452905028659,0.0004675992465671697,0.21601364044240462,0.00016529541508972676,0.0930126231370818
exploratory,OASIS_Total,-0.18157988496966238,0.0019462056708706317,0.22466095448807546,9.57059988088911e-05,0.08701431911790691
exploratory,PHQ9_Total,-0.18144485729715293,0.002011375964080108,0.2143607788003714,0.00020097530052777453,0.08249494831354642
exploratory,STAI_Trait,0.17908143177133307,0.0024162636287883526,-0.20892309958709568,0.0003077042405718535,0.07597675788476543
confirmatory,AMI_Total,-0.12781664408639612,0.03371423144323878,-0.040855787389263536,0.48959922538735573,0.042588920230333005
confirmatory,AMI_Social,-0.15539287819605357,0.009767870606724608,-0.005545750694576084,0.9250305793238127,0.048079528140937744
confirmatory,DASS21_Anxiety,0.08393485697178084,0.16140308368277725,0.19168495732373245,0.0012868585688084885,0.04626203798493911
confirmatory,DASS21_Depression,-0.07376525354567862,0.22273156229155824,0.11848379887624347,0.047484300824274295,0.02750402948351549
confirmatory,OASIS_Total,-0.04266842737593388,0.47730695902681375,0.17696388617627493,0.003009006222902521,0.040400120126146355
confirmatory,PHQ9_Total,-0.049280607192244995,0.4163916137525215,0.09152932950862573,0.12636461060285872,0.02152694002358302
confirmatory,STAI_Trait,0.11286426335253255,0.0584742636909213,-0.08492004184140697,0.1481486633566324,0.058551295811680615
