sample,coupling,clinical,n,b_coupling,p_coupling,b_omega,p_omega,b_kappa,p_kappa,r2
exp,anxiety_coupling,DASS21_Anxiety,286,0.006141555683637227,0.9181984974462845,-0.04826647755690788,0.44879893780271385,-0.021930296510577256,0.7326170965612603,0.0036789269640084
exp,anxiety_coupling,DASS21_Depression,286,0.04547121541454486,0.4460564125314434,0.01225185118116123,0.8470710804317921,-0.08186167624819628,0.2016293778448719,0.008877194749750794
exp,anxiety_coupling,AMI_Total,286,-0.010580146038795608,0.8591376813470635,0.0950028948477843,0.13537520187126711,-0.07824912538473458,0.22197311435719952,0.009810076540819002
exp,anxiety_coupling,AMI_Social,286,0.006567157191730452,0.9121362313604507,0.10771580232208867,0.09008973189117984,-0.09304505216466111,0.14598493697739964,0.013121486261197912
exp,anxiety_coupling,PHQ9_Total,286,5.3107869332343435e-05,0.9992910046130555,-0.0074214088989092,0.9071921375540405,-0.06598559983663972,0.30410503340204226,0.004755132408738372
exp,anxiety_coupling,STAI_Trait,285,-0.07172682627431089,0.2304272184090674,-0.06518066313125578,0.30549890554508274,-0.007860558507212083,0.9023648347737778,0.009333340687872949
exp,anxiety_coupling,OASIS_Total,286,0.01726979133370356,0.7725349301951191,-0.07406011128278292,0.2450256890735022,0.005715800107857076,0.9289701784391355,0.005623948661609313
exp,confidence_coupling,DASS21_Anxiety,286,0.0030501187666118123,0.9591426132093878,-0.042545370398968635,0.5120338436126312,-0.03638667992737492,0.5803063334508072,0.004310233403730934
exp,confidence_coupling,DASS21_Depression,286,0.07440275848709835,0.2094273448343206,0.021039453041264797,0.7442630061558686,-0.10927411645441505,0.09561513437945025,0.015738193497877306
exp,confidence_coupling,AMI_Total,286,0.050567627619548264,0.3929311554278734,0.1266581577209982,0.05014406248102239,-0.09137563682965574,0.16284368008697628,0.0171644415642348
exp,confidence_coupling,AMI_Social,286,0.08549391158091674,0.14705689526594662,0.14600659905195068,0.02339690203477506,-0.11291480874829367,0.08331755872956771,0.0271587670266612
exp,confidence_coupling,PHQ9_Total,286,0.055722010697097944,0.34747644319374105,0.005579491788167372,0.9311353020847719,-0.10519359997678769,0.10900020052923608,0.013455094746097851
exp,confidence_coupling,STAI_Trait,285,-0.003443227655377753,0.9539141993454918,-0.08682793980029975,0.18115119530520182,0.04758937039948346,0.46965693224201527,0.006517589066439733
exp,confidence_coupling,OASIS_Total,286,0.020304068655648266,0.7328055335416828,-0.07137727589429255,0.27109255685187894,-0.014906849059960798,0.8205427811294858,0.006671154741831664
conf,anxiety_coupling,DASS21_Anxiety,276,-0.05353612713896335,0.38162023628714126,-0.034489533876581165,0.592451933883112,0.022572183952694957,0.7211638811423635,0.004580558002842627
conf,anxiety_coupling,DASS21_Depression,276,0.03849382523490057,0.5277574463592882,-0.06148848509118013,0.3385676753935737,0.1016129667002217,0.10773215481316373,0.01129951188028222
conf,anxiety_coupling,AMI_Total,276,-0.018259760172423017,0.7631180795230423,0.1270826586995885,0.04724282224657531,0.05549192085087863,0.3761071816436022,0.022944022181207946
conf,anxiety_coupling,AMI_Social,276,0.004687911612380768,0.9382050645655216,0.16969945816652351,0.008124047544973109,-0.03080855442859899,0.6223320513596456,0.026547790388678827
conf,anxiety_coupling,PHQ9_Total,276,0.007051935482186373,0.9078300694671334,-0.09196456825107488,0.1525565793853579,0.09606066839568553,0.12807616682809997,0.01230052418038352
conf,anxiety_coupling,STAI_Trait,275,0.0257697438275678,0.6678789868013906,0.11112752379633442,0.08047968179267595,-0.21063010396352408,0.0008341408084867647,0.04394255922322088
conf,anxiety_coupling,OASIS_Total,276,-0.06392288894372668,0.29408817958129824,-0.08619926774370175,0.17953679024858918,0.06447264016166804,0.3061688682236125,0.013776087608899923
conf,confidence_coupling,DASS21_Anxiety,275,0.07514907785781771,0.21891288161200176,-0.035371340962429734,0.5806284030964459,0.022629403105228523,0.7214778160798939,0.007572073945924407
conf,confidence_coupling,DASS21_Depression,275,0.06794115144009089,0.26443244699898666,-0.04944352130467359,0.4383596574235706,0.0963445745275671,0.12841338514055126,0.01502567316200265
conf,confidence_coupling,AMI_Total,275,0.06811571011707303,0.2601317842801568,0.132554628003931,0.037170747888714654,0.050163408055648215,0.424877861777412,0.0276852685230099
conf,confidence_coupling,AMI_Social,275,0.06637485632276904,0.2716448383894674,0.17777504276025813,0.005258543617853902,-0.037986999068001695,0.5448485176841618,0.031082147935495574
conf,confidence_coupling,PHQ9_Total,275,-0.010075942285800684,0.8685528000532656,-0.09247742693090126,0.14823680911613163,0.09875974933851234,0.11958319015610283,0.012726188008947203
conf,confidence_coupling,STAI_Trait,274,-0.01946874961277101,0.7457465735299359,0.1136184128334301,0.07264205828453903,-0.2060743843584287,0.0011436502490689933,0.04249772336641944
conf,confidence_coupling,OASIS_Total,275,0.03859366261765748,0.526502401651806,-0.09236011231300209,0.1489587436342384,0.06690586438263856,0.2913253005867353,0.01170777908843379
