subj,track_T,track_S,n,omega_z,kappa_z,track_T_z,track_S_z
1,-3.107285155203911e-17,-0.13409745720879715,18,0.744346609628603,-0.3264732449369507,-0.9112276378470764,0.42575943541002265
2,-0.19591529930963136,0.015324667309890867,18,0.039060295410439184,2.40325252184412,-1.4782728533947012,0.9361398729372039
3,1.1299817281637217e-17,-0.1157568868743205,18,-0.07544953375861502,0.3601676922733953,-0.9112276378470762,0.4884052339620135
4,0.7532651438659239,-0.7707916895028815,18,0.045771040915257306,-0.06052248736651981,1.268976753403175,-1.7489940148974366
5,-0.3360830362111656,0.34980118375998076,18,-1.301273819042062,-0.8609485248303244,-1.8839657465185713,2.07860971372048
6,0.7118684968143745,-0.2735942282950438,18,0.7423126035714451,-0.3657386541416295,1.1491608394188566,-0.050719019771647535
7,0.1336306209562122,0.17593304788321837,18,0.13239934122046734,0.37273267010856936,-0.5244553718173492,1.4847291518782546
8,0.7522421574686268,-0.6615916651467939,18,1.3660918100338622,0.7591738511028819,1.2660158843735396,-1.3760000129157
9,-1.3763104610005937e-17,0.005985153987417313,18,-0.4853459434333067,-0.8481422299647698,-0.9112276378470762,0.904238941859097
10,0.839396900139203,-0.7223050298092109,18,0.7698436029052529,-0.9068601100152781,1.5182712213369307,-1.5833783628084306
11,0.34855071841237856,-0.23775018663279074,18,0.1401262078262705,-0.4394964401163916,0.09759616482625802,0.07171330225061914
12,0.3660398896919104,-0.33710292234542766,18,1.0617965159601652,0.6802426651232083,0.1482157485591143,-0.267645362912759
13,0.884990406755986,-0.5333387014602952,18,-0.6441722132435156,-0.38690480934269494,1.6502342680116362,-0.9379269770026935
14,0.6926493196131168,-0.5253503707943059,18,0.2727657261378289,-2.184674560064298,1.0935340327471053,-0.9106412740751496
15,0.11785113019775793,-0.5664459272659084,18,1.023445995288604,-0.33421803211752554,-0.5701265612032186,-1.0510111701662483
16,0.2752023353565414,-0.1674567520225268,18,1.282792609216017,1.5362373402263962,-0.1146988924078058,0.311814251338569
17,0.4548588261473421,-0.3078915101946246,18,0.25928110195418125,0.6913461062981954,0.40528782585249334,-0.16786808185523355
18,0.17383200648512998,-0.12212784071257439,18,-0.24846628368623783,-0.40859540295481006,-0.40809894940987423,0.4666439973452312
19,0.8043341376678733,-0.5348654238572731,18,0.40076900912058117,0.6405584137017207,1.4167877140594933,-0.9431417954070102
20,1.3208414014472558e-17,0.24151412720186885,18,0.3392783907391209,0.33099477198535865,-0.9112276378470762,1.7087341314886964
21,-0.13423121104280486,-0.03893352515002901,18,-0.17915540822194131,-0.04653900887000915,-1.2997382149546404,0.750810423926027
22,0.8288497269823398,-0.5694892332552873,18,-0.2765359062307716,-0.31663129240789956,1.487744130817576,-1.0614061759084807
23,0.7929182023070263,-0.5810606015150114,18,0.09968864387504418,-1.9009787480959346,1.3837461315481725,-1.1009304432431182
24,0.3894462117810063,-0.22180797293977306,18,-1.5625655404011618,-1.196333675036816,0.2159615703553604,0.12616704546972693
25,0.7470155840806397,-0.6091225938871356,18,0.6914686913378143,-0.28179066571770156,1.250888411206257,-1.196781656648787
26,0.4116453226477304,-0.5755501489557145,18,1.0168549302328087,-1.5705289808656282,0.28021331409739886,-1.0821084167376995
27,-0.08124941226042831,0.25274958466553116,18,0.5280211430378541,0.2752137489672555,-1.1463909489855213,1.747111029920527
28,0.7071067811865477,-0.49954243057656633,18,0.5465898198148521,-0.18735966744476562,1.1353788220160697,-0.822489215854629
29,0.42491829279939874,-0.28792849012694366,18,-0.4571849245582789,-1.3631913961568682,0.31862978410832443,-0.09968048949348396
30,0.602657552767731,-0.6003232271258614,18,-0.059766791695308304,0.02783038381637144,0.8330673871703106,-1.1667257016016508
31,0.15430334996209194,-0.06975064709709733,18,-1.0053293799888257,-0.5745982739311477,-0.4646214940323873,0.6455485275814459
32,0.7948932690734041,-0.6059811405823601,18,0.8698994433262208,1.9915602342928844,1.389462643552126,-1.1860514095898114
33,0.5940885257860047,-0.5445508029355929,18,-0.5981700628689435,-0.020049914421778222,0.8082657215065838,-0.976224098496545
34,0.6348390880581868,-0.7273554779000159,18,0.1531844158181389,1.2826024425819116,0.9262116473671091,-1.6006291542464215
35,0.4124789556921527,-0.277284951402254,18,2.2935074458488067,0.6283440126682865,0.28262613040642526,-0.06332540507313632
36,0.6147678664953562,-0.5022015379806033,18,0.0015167876652887324,-0.06512312638526506,0.8681187358001977,-0.8315719163226873
37,0.11371470653683553,0.017488790305046954,18,1.4755974706600974,1.1675715919730514,-0.5820987719221838,0.9435318575224068
38,0.6110523814861512,-0.41516261617357614,18,0.11598603359895177,-0.12610030143270962,0.8573648640743408,-0.5342734865429077
39,0.20881726739613923,-0.3770639324133181,18,-2.1157142205914257,-1.0800501246515872,-0.30683975789099177,-0.4041399942678847
40,0.2533616777217724,-0.24526577137458014,18,-0.8018550374413529,0.10869763255032731,-0.17791315111986458,0.04604235531994997
41,0.2314550249431379,-0.13677483738715063,18,0.5362384559914067,1.6633693083463317,-0.24131842212504284,0.41661432071394733
42,0.407178875947241,-0.18701811124187934,18,-0.43962377433092686,-1.5119462871972753,0.2672859049520403,0.2449986100193288
43,0.1396734424299452,-0.14503066884760454,18,1.2180453603012926,1.1360500036103351,-0.5069654002982117,0.38841491659953087
44,,,18,0.4009521042844086,0.871550547049552,,
45,0.511207720338155,-0.4294159543751222,18,0.8085882100012994,0.7970532832790194,0.5683806060738132,-0.5829585458067931
46,0.7611894753596138,-0.6020012150291176,18,0.8225686671260278,0.4835017353105715,1.2919124520226515,-1.1724571968737725
47,-2.291899703689639e-17,-0.035408688602942676,18,-1.0176509659433255,0.22438036874289008,-0.9112276378470762,0.7628501912958768
48,-0.8018567845306034,0.5331907536817395,18,0.9154128950759234,0.36735579897266557,-3.2320726909119473,2.7050125923844264
49,0.1468519499620885,-0.0495953800873076,18,0.41204543565046187,-0.19229570959448591,-0.486188368768677,0.7143927769057625
50,0.36313651960128146,-0.16529024346488158,18,0.5680693767540966,0.5626597008534137,0.13981241239978098,0.31921438427817966
51,0.5041245543167484,-0.4430182397006915,18,-0.736053139976613,-1.6505547851375408,0.5478795251601664,-0.6294198068696776
52,-0.03344500310453259,-0.21363847848531636,18,0.7119020874420754,-0.15020038851306305,-1.0080288017236552,0.1540715486848449
53,0.7238905077764926,-0.5230944839021568,18,1.1374563044180133,0.7432016747474532,1.1839566099449568,-0.9029358519849766
54,-0.7060615377752523,0.8299737436651482,18,-0.31367925474744646,0.3270439512318953,-2.9548088093455753,3.718732834726535
