sample,measure,param,predicted_r,observed_r
exploratory,level,om,0.07200064155587159,0.150584381916051
exploratory,level,kap,-0.8857583632446787,-0.7316778055909975
exploratory,slope,om,-0.05015221261802702,0.001703443702849825
exploratory,slope,kap,-0.6446187082841603,-0.13107508696639664
confirmatory,level,om,0.20978817467100686,0.2080746865463608
confirmatory,level,kap,-0.8528443397436785,-0.7359420854660792
confirmatory,slope,om,0.002658759313010231,-0.03945482385367812
confirmatory,slope,kap,-0.45792439773909155,-0.1569170742684468
