coupling,clinical,exp_b,exp_p,conf_b,conf_p,same_sign,both_p05,both_p10
anxiety_coupling,DASS21_Anxiety,0.006141555683637227,0.9181984974462845,-0.05353612713896335,0.38162023628714126,False,False,False
anxiety_coupling,DASS21_Depression,0.04547121541454486,0.4460564125314434,0.03849382523490057,0.5277574463592882,True,False,False
anxiety_coupling,AMI_Total,-0.010580146038795608,0.8591376813470635,-0.018259760172423017,0.7631180795230423,True,False,False
anxiety_coupling,AMI_Social,0.006567157191730452,0.9121362313604507,0.004687911612380768,0.9382050645655216,True,False,False
anxiety_coupling,PHQ9_Total,5.3107869332343435e-05,0.9992910046130555,0.007051935482186373,0.9078300694671334,True,False,False
anxiety_coupling,STAI_Trait,-0.07172682627431089,0.2304272184090674,0.0257697438275678,0.6678789868013906,False,False,False
anxiety_coupling,OASIS_Total,0.01726979133370356,0.7725349301951191,-0.06392288894372668,0.29408817958129824,False,False,False
confidence_coupling,DASS21_Anxiety,0.0030501187666118123,0.9591426132093878,0.07514907785781771,0.21891288161200176,True,False,False
confidence_coupling,DASS21_Depression,0.07440275848709835,0.2094273448343206,0.06794115144009089,0.26443244699898666,True,False,False
confidence_coupling,AMI_Total,0.050567627619548264,0.3929311554278734,0.06811571011707303,0.2601317842801568,True,False,False
confidence_coupling,AMI_Social,0.08549391158091674,0.14705689526594662,0.06637485632276904,0.2716448383894674,True,False,False
confidence_coupling,PHQ9_Total,0.055722010697097944,0.34747644319374105,-0.010075942285800684,0.8685528000532656,False,False,False
confidence_coupling,STAI_Trait,-0.003443227655377753,0.9539141993454918,-0.01946874961277101,0.7457465735299359,True,False,False
confidence_coupling,OASIS_Total,0.020304068655648266,0.7328055335416828,0.03859366261765748,0.526502401651806,True,False,False
