sample,param,r,p
exploratory,omega_z,0.14139466664064465,0.015970767503892407
exploratory,kappa_z,-0.15750804644590424,0.007199422402816777
confirmatory,omega_z,0.050290541298179524,0.40102231256054455
confirmatory,kappa_z,-0.3894035104697694,1.3103230015864575e-11
