sample,predictor,outcome,a,b,c_total,c_direct,indirect,lo,hi,p
exploratory,log_om_z,AMI_Total_z,-0.2019980441248896,-0.25118528780854693,0.07635158761761669,0.025612650767342718,0.050738936850273954,0.014596863314535418,0.10046175247623955,0.0032
exploratory,log_om_z,AMI_Social_z,-0.2019980441248896,-0.260463623098844,0.08280018964632925,0.03018704721468037,0.052613142431648906,0.013778836351266924,0.10459287067908359,0.0032
confirmatory,log_om_z,AMI_Total_z,-0.14027624834807162,-0.13445905820725743,0.1460210965129706,0.12715968427124155,0.01886141224172906,1.2881391371769104e-05,0.047667525978003625,0.05
confirmatory,log_om_z,AMI_Social_z,-0.14027624834807162,-0.15156966831550273,0.1552432670371158,0.13398164260245551,0.021261624434660304,0.000685720491336271,0.049441290407278994,0.0424
exploratory,log_kap_z,AMI_Total_z,-0.16123083806555408,-0.26853215894763643,-0.03220580804135022,-0.07550147307603028,0.04329566503468,0.00668314521353999,0.08859906109203204,0.024
exploratory,log_kap_z,AMI_Social_z,-0.16123083806555408,-0.28111702324724425,-0.04495375086222642,-0.09027848411487353,0.04532473325264704,0.007083843756199834,0.09431195791224131,0.024
confirmatory,log_kap_z,AMI_Total_z,-0.1429179604607476,-0.14106322894127396,0.09876019626364076,0.07859972728734636,0.020160468976294376,0.0017823754297751396,0.04571143027916806,0.0268
confirmatory,log_kap_z,AMI_Social_z,-0.1429179604607476,-0.17007482626012918,0.026330875166674886,0.0020241278718612214,0.02430674729481366,0.004052392309467328,0.051732177615952946,0.0136
