subj,n_anxiety,anxiety_coupling,n_confidence,confidence_coupling,sample
1,18,-0.01108910202335856,18,-0.017103841213595435,exp
2,18,-0.01416622338154075,18,-0.001039890419620122,exp
3,18,0.005399708940736655,18,-0.010614524010434608,exp
4,18,-0.01791760232780503,18,-0.029935413445377076,exp
5,18,0.001271420833544754,18,-0.005057217132226055,exp
6,18,-0.03983334729498933,18,-0.0246153505869137,exp
7,17,-0.009724096685382237,17,0.01413279178923344,exp
8,18,0.0286979544209677,18,0.011624512877921203,exp
9,18,-0.006756830455626019,18,-0.018957474963692805,exp
10,18,-0.038621155454335435,18,-0.004300043420472764,exp
11,18,0.007274611962156302,18,0.006117013464345036,exp
12,18,0.00013912672125914328,18,-0.0110611832228662,exp
13,18,0.014660653037138769,18,0.0368159626530809,exp
14,18,0.005527903391034591,17,-0.007091000974559476,exp
15,18,-0.0014755106220072825,18,-0.006646327815133518,exp
16,18,0.04477235380918697,18,0.010317578370986881,exp
17,18,0.006258071107267136,18,-0.03183587500214949,exp
18,18,-0.01607524852440433,18,-0.005323484088327329,exp
19,18,-0.009011013322618569,18,-0.01350877005536247,exp
20,18,0.00033780235436745856,18,-0.05701669744177486,exp
21,18,0.03936688247350198,18,-0.0009556856972430207,exp
22,18,0.020880993785763344,18,-0.024432490607067647,exp
23,18,0.014099579788005656,18,0.01152808264487737,exp
24,18,0.012182134975701864,18,0.007605214281372662,exp
25,18,0.0036261316272225143,18,0.00936552582510363,exp
26,18,-0.006111879436209184,18,-0.04484922014381823,exp
27,17,0.0017478740696731615,17,0.0063173729054649954,exp
28,18,0.02132447933865344,18,0.002423182292540791,exp
29,18,0.024234976362502804,18,-0.005712839046676613,exp
30,18,0.003068389146401418,18,0.006497095685397652,exp
31,18,0.004895678501455231,18,0.016164685014946487,exp
32,18,-0.0045310797203745165,18,0.0011157298818765084,exp
33,18,0.04979427721585629,18,-0.02415485596985702,exp
34,18,-0.005566824497322814,18,0.015375668872587647,exp
35,18,-0.012603543357692487,18,0.0010991913466595234,exp
36,18,-0.0054717272019620755,17,-0.03183757983881845,exp
37,18,0.027446667835671616,18,-0.006052345094360272,exp
38,18,7.150004182663767e-05,18,-0.011341282555256267,exp
39,18,-0.001680201542773168,18,-0.027223040758249207,exp
40,18,0.03424791880879937,18,0.002033846538895788,exp
41,18,0.02053425346202275,18,-0.016442846846904863,exp
42,18,-0.017125287035810254,18,,exp
43,18,-0.0054659318695497675,18,-0.010452322948995747,exp
44,18,,17,,exp
45,18,0.046103125852283114,18,0.018774737609146754,exp
46,18,-0.004040241933748756,18,-0.003783166080613779,exp
47,18,-0.016180764756730873,18,0.0015430487932630232,exp
48,18,-0.010230418150613476,18,-0.010589466766837393,exp
49,18,-0.0003468862638829398,18,0.0012095983013196013,exp
50,18,0.029989539287088408,18,0.017378717735459084,exp
51,18,0.003990664951799328,18,-0.014952536822579483,exp
52,18,-0.014603768074326298,18,-0.02670769642998154,exp
53,18,0.02193235019617174,18,-0.018471112870614474,exp
54,18,-0.003035341467317308,18,0.027215293840493638,exp
55,18,-0.014314118497665809,18,0.016094799099762247,exp
56,18,0.008657073353699597,18,-0.011790999179613383,exp
57,18,0.001554608041069512,18,-0.005247137874737065,exp
58,17,0.0872219591389112,18,-0.007297219625422818,exp
59,18,-0.005301810683466493,18,-0.007965624914821607,exp
60,18,-0.004970271296046579,18,0.015975797161660314,exp
61,18,-0.006407637060067468,18,0.0034425292369627512,exp
62,18,0.019616457104011838,18,-0.01642548279423375,exp
63,18,0.010145265923399635,18,-0.06398547231256861,exp
64,18,0.017138585603485513,18,-0.007007154468347341,exp
65,18,0.025712963697012807,18,-0.008864441769301408,exp
66,18,-0.007491004609220158,18,0.007938915322189887,exp
67,18,-0.043177854682974234,18,0.0030795311179631726,exp
68,18,0.0029474363625252523,18,0.02254731740371329,exp
69,18,-0.00606374490310934,18,-0.026128721278702638,exp
70,18,0.0011024681337620927,18,0.03006501804172049,exp
71,18,-0.010066020412816136,18,0.021475106611602287,exp
72,18,0.0012467158734206418,18,-0.007321219907980542,exp
