sample,factor,b,p
exploratory,F1,0.26340147816397236,6.252492979234065e-06
exploratory,F2,-0.11679254879640738,0.04813614927169154
exploratory,F3,0.005478265996844277,0.926107436010825
confirmatory,F1,0.19136425222338288,0.0012612309191841462
confirmatory,F2,-0.054475670452626614,0.3645948626870668
confirmatory,F3,0.08041474425465239,0.1779534696830507
