sample,factor,b_conf,p_conf,b_anx,p_anx,b_om,p_om,b_kap,p_kap,R2
exploratory,F1,-0.0982790853988371,0.09318678520317479,0.26521892399659924,5.095773690974915e-06,-0.09035203652681481,0.14606438298544439,-0.018374705001961547,0.7649512151818577,0.08184765496637081
exploratory,F2,0.14368947661082856,0.016739393152149545,-0.1194497554584242,0.04162333224761175,0.06467676041270673,0.3087948292584296,0.06819052368654509,0.2787092461291075,0.038492890323984175
exploratory,F3,0.2270571772861895,0.00014560771407141443,0.0012793652953147702,0.9823075816948851,-0.06848200572736442,0.27525516017309654,0.11902191784792407,0.05609690109854174,0.06223451082919362
confirmatory,F1,0.05694391091021535,0.3406231663461945,0.18872424654710218,0.0014885243509121092,-0.08281221408513784,0.18396569302740962,0.07712257473065276,0.21683133686541017,0.05055908736948278
confirmatory,F2,0.20302414692683035,0.0007851838241645003,-0.06388817640350944,0.27932102956567156,0.04259589648890637,0.4948030423441498,-0.03677172191603455,0.556427523360931,0.04629707913072678
confirmatory,F3,0.09165291391765425,0.12982625812425236,0.07616557679982469,0.20135237077952547,-0.035384665155415856,0.5740238552754968,-0.08626681869294102,0.1720558711902241,0.02906247132824835
