sample,test,n,b_omega,p_omega,b_kappa,p_kappa,r2
exp,anxiety_coupling~params,286,-0.007425640692983859,0.9067180118776668,-0.09826218591147465,0.12308012727486578,0.010217166679194811
exp,confidence_coupling~params,286,-0.05006427624843772,0.43964419808275634,0.011959431904023788,0.8556458233833628,0.0021749663948175124
conf,anxiety_coupling~params,276,0.14677708552980043,0.02081640988213791,-0.04184871916610851,0.5039658967298961,0.01941462072730482
conf,confidence_coupling~params,275,-0.10564682230540713,0.09604500461835204,0.1028989887613369,0.10214363623334272,0.015307641523350624
