sample,clinical,b,p
exploratory,DASS21_Anxiety,-0.03397917687557128,0.948297744089427
exploratory,DASS21_Depression,0.07057756564657384,0.9215207757927212
exploratory,OASIS_Total,-0.25272414169669744,0.36208057349057315
exploratory,STAI_Trait,0.07057963380605015,0.8353718577439991
exploratory,AMI_Total,0.1813178893338664,0.7670866367568548
exploratory,AMI_Social,0.45860602242368737,0.14884044105051422
confirmatory,DASS21_Anxiety,-0.278959892134202,0.6221232102127154
confirmatory,DASS21_Depression,1.1925529013594736,0.07673901506127694
confirmatory,OASIS_Total,0.8195699869003713,0.005894742357500528
confirmatory,STAI_Trait,-0.6496159010810718,0.07184798063360219
confirmatory,AMI_Total,1.5890306850642377,0.008886633028793986
confirmatory,AMI_Social,0.8682262450019141,0.003817390602316825
