sample,outcome,a,b,c_total,c_direct,indirect,ci_lo,ci_hi,p_boot
exploratory,AMI_Total,-0.16498275349688934,-0.2598635818457187,0.10209730075028803,0.05922429148381722,0.04287300926647094,0.0045937985509060765,0.09318576778103323,0.0268
exploratory,AMI_Social,-0.16498275349688934,-0.27082485026304104,0.11499823533259482,0.0703168058208157,0.044681429511779266,0.004801338099716055,0.0982990086027714,0.0268
exploratory,AMI_Behavioural,-0.16498275349688934,-0.2590190767125657,-0.005317304775772206,-0.048050985260033326,0.0427336804842611,0.005050474915428028,0.09022667052463906,0.0268
exploratory,AMI_Emotional,-0.16498275349688934,0.06303266145426577,0.1243471246884328,0.13474642673539497,-0.010399302046962008,-0.03620449317270915,0.009790952220685383,0.308
confirmatory,AMI_Total,-0.10685217700917753,-0.1297641474777247,0.12785406962181622,0.11398848796608124,0.013865581655734855,-0.0033352719714737594,0.041261935379505295,0.1368
confirmatory,AMI_Social,-0.10685217700917753,-0.15565723164449513,0.16208128845150951,0.1454489743830733,0.016632314068436144,-0.004165229321754798,0.04425668995776569,0.122
confirmatory,AMI_Behavioural,-0.10685217700917753,-0.09011814494458334,0.03248519087677473,0.02285587090141729,0.009629319975357336,-0.0047711049012034365,0.036885973752382444,0.25
confirmatory,AMI_Emotional,-0.10685217700917753,-0.01176793896053684,0.08378362854116597,0.08252619864432147,0.001257429896844479,-0.01492585812923775,0.020172729968362797,0.8632
