subj,omega,kappa,log_om,log_kap,pred_earn,shortfall
1,1.253431853156212,0.3670090332916372,0.22588527188604332,-1.0023688173568124,0.6847838205107463,0.26330471054423044
2,1.8111724815412449,0.4583669230256542,0.593974415415967,-0.7800852736334796,0.5541195059360546,0.39396902511892207
3,8.432086858959739,0.2483505319022612,2.1320442928559764,-1.3929140956865123,-0.09272895877580095,1.0408174898307776
4,3.1708842076803974,0.5883158096621836,1.1540104788631191,-0.5304913840031816,0.29091928724340105,0.6571692438115757
5,0.9141462954342876,0.073671335801391,-0.08976465968612093,-2.608141486221708,0.8309127093871004,0.11717582166787632
6,1.9900915976260227,0.7649947728168066,0.6881806666349014,-0.26788627809815274,0.452800390097571,0.4952881409574057
7,2.9370516873899244,0.2493374468920586,1.0774062507643598,-1.3889480915816823,0.39258997315643107,0.5554985578985456
8,3.789050258363833,0.4458846736308547,1.3321153962303185,-0.8076949397024815,0.22652749101939573,0.721561040035581
9,3.225987519239439,0.1900308290121102,1.1712391108918876,-1.660568962025575,0.3561346831710967,0.59195384788388
10,0.7814614008961952,0.0710046244243985,-0.24658952138811857,-2.645010271323859,0.8528816509345492,0.09520688012042755
11,5.101574612251191,0.6544056036715131,1.6295492395778124,-0.42402793066254696,0.05784858813527137,0.8902399429197053
12,1.1764397906047737,0.0378536650526026,0.16249275116918308,-3.2740274728062424,0.7967262148474148,0.1513623162075619
13,2.869477949767826,0.0746969190278598,1.054130114190293,-2.5943164323009116,0.44436406273304696,0.5037244683219297
14,0.7013823947908043,0.0247602374405701,-0.35470204168972574,-3.698516241527954,0.8838569221089285,0.06423160894604818
15,0.9317014406288052,0.6783666664407113,-0.07074285829017612,-0.38806733126483134,0.6649316580368536,0.2831568730181231
16,3.4936517204665978,0.0953942332481617,1.2509475274266075,-2.349737150487435,0.3323729935527886,0.6157155375021881
17,2.471835256218669,0.6534844089594655,0.9049608934501526,-0.42543660395385285,0.39084833191417834,0.5572401991407984
18,1.6389271923135598,0.0140803412917473,0.49404187675765343,-4.262975689075323,0.7122267919539915,0.23586173910098518
19,4.159710093727098,0.1196850000253655,1.425445382836871,-2.1228919873418475,0.2304579698624223,0.7176305611925544
20,1.7304107752865083,0.1324738368930264,0.5483588226868549,-2.021370110464263,0.6538393088049181,0.29424922225005856
21,1.3484904905116692,0.1574554583972801,0.29898581167190724,-1.8486126645397856,0.7238656334891264,0.22422289756585034
22,3.5950147277157245,0.3477169863090775,1.2795480878866559,-1.0563663878136709,0.2695435636267029,0.6785449674282737
23,1.060367153887813,0.1894760799752139,0.0586152197434604,-1.663492489470686,0.7689813045473597,0.179107226507617
24,2.7871655006617697,0.111948275657139,1.0250251298230957,-2.1897183388506467,0.4502961588747885,0.4977923721801882
25,5.439757585434909,0.7534647153189297,1.6937344983740221,-0.2830730897241424,0.02128144929208828,0.9268070817628884
26,1.314844619195568,1.797495420798792,0.27371849834069595,0.5863942630709001,0.36118791773996023,0.5869006133150165
27,1.9188932963953904,0.3087658168434591,0.6517486117252606,-1.1751721637093098,0.569049593443772,0.37903893761120466
28,0.5827418074285143,0.0253630236693447,-0.5400110596318196,-3.6744629266566773,0.8993711485984683,0.04871738245650836
29,1.1689056618145914,0.1056227900675857,0.15606797933154426,-2.247881115960735,0.7744593063184995,0.17362922473647724
30,2.407337277010699,0.5422666374504715,0.8785212723791261,-0.6119974474950896,0.4245007336054774,0.5235877974494993
31,3.5582016233007976,0.2907571194275989,1.269255255232474,-1.2352670014597669,0.2848986950252133,0.6631898360297634
32,3.665691375242517,0.9059468352507208,1.2990169601788042,-0.09877465539965835,0.17494477652102214,0.7731437545339546
33,2.6046085908366274,0.1074947288566497,0.9572824108784488,-2.230313466508251,0.48558821254622886,0.46250031850874784
34,1.3266818566867689,0.1751492862067402,0.28268098032658473,-1.7421166046724368,0.7231924863753338,0.22489604467964286
35,0.8172505492611211,0.4271948081624073,-0.20180956129346528,-0.850515144587888,0.7456419682587545,0.2024465627962222
36,1.6341462050062707,2.6983644819755863,0.4911204691830294,0.9926458420547449,0.17640432132175715,0.7716842097332195
37,1.0734015751543442,0.0879160062919753,0.07083264820347243,-2.431373394259078,0.7981032827899164,0.14998524826506032
38,0.9164822656504062,0.5176967695006706,-0.08721256197098239,-0.6583655951928998,0.7066936474114869,0.24139488364348982
39,0.4366323379656562,0.0412455418384489,-0.8286637698912233,-3.1882122486858115,0.9077346092458537,0.040353921809123006
40,1.657321734263802,0.094326783223869,0.5052028863217949,-2.36099010820716,0.6802372494942223,0.26785128156075444
41,2.971113410591404,0.2746215868838246,1.088936768283525,-1.2923611766337948,0.3815756719038357,0.566512859151141
42,2.023715481648691,0.1964014248232091,0.7049351692360472,-1.6275946283874294,0.5767236326133262,0.37136489844165055
43,10.40215625690779,3.5413611721210327,2.3420131170519163,1.2645111651385244,-0.27918055916350815,1.2272690902184848
44,3.280453879558547,0.1990001611120355,1.187981790736903,-1.6144496446497538,0.3452981704232887,0.602790360631688
45,6.540295812549385,0.3805967562927985,1.8779823957228683,-0.9660148467712283,-0.017845512123134864,0.9659340431781116
46,4.187463997962411,0.3063105789384632,1.4320952996127123,-1.1831557279061218,0.19674482380916014,0.7513437072458166
47,7.841810957137785,3.302599706911034,2.0594697971192053,1.194709948301829,-0.22806916507903413,1.1761576961340108
48,0.6169268575980569,0.0658387651572793,-0.48300480732573936,-2.720546477994561,0.8774843661307635,0.07060416492421318
49,0.5419729186731955,0.032229232327384,-0.6125392443384201,-3.434881402011712,0.9009027559064928,0.04718577514848388
50,0.8437503745265409,0.1142614418443101,-0.16989859291218826,-2.169266106788456,0.8284723251012542,0.11961620595372247
51,0.683440291928201,0.1017730689079285,-0.38061598299353994,-2.2850097589030147,0.8559694296064344,0.0921191014485423
52,2.299441055921804,0.1739414898261367,0.8326660742367288,-1.7490363016845145,0.5278647719220319,0.42022375913294485
