factor,r_in,r_oos,p_oos
F1,0.08662524543133368,0.04342879547699558,0.4691925708543944
F2,0.08825804519114497,-0.02018814952886874,0.7366179286216434
F3,0.11677927282524256,-0.05434069737492869,0.3649911096948028
