subj,n_anxiety,anxiety_coupling,n_confidence,confidence_coupling,sample
1,18,0.02006507619876599,18,-0.00730943415292427,conf
2,18,0.006781821175570024,18,-0.0056816291627016305,conf
3,18,-0.037121578130008846,18,0.04871779629676296,conf
4,18,4.648140811249712e-05,18,-0.01823608321197527,conf
5,18,-0.001576351364839459,18,-0.008542600031559325,conf
6,18,-0.022407195763943746,18,0.04906015418947823,conf
7,18,0.002661544123350826,18,-0.004362027446067687,conf
8,18,-0.0036958373620174785,18,-0.0034128630782380453,conf
9,18,0.01636607267206481,18,0.0374507201351449,conf
10,18,0.014173447778858818,18,-0.007847709588140064,conf
11,18,0.033999797623444836,18,-0.005325670863271236,conf
12,18,0.041805073111033784,18,-0.019063786844424748,conf
13,18,0.028555804567483994,18,0.029474753801313664,conf
14,18,-0.012605049499340439,18,0.05858606752060266,conf
15,16,,15,,conf
16,18,-0.005562379521587519,18,-0.024415713527442345,conf
17,18,0.004947305403066215,18,-0.039821032619918095,conf
18,18,0.1826066191248896,18,-0.029642796126787333,conf
19,18,0.01747299939535209,18,-0.007455594943553416,conf
20,18,-0.018712596433223747,18,0.016542454999569547,conf
21,18,-0.006831235915026995,18,0.021077839994281068,conf
22,18,-0.033581256507544135,18,0.031322779597813724,conf
23,18,-0.04952150447378104,18,0.038421493866921806,conf
24,18,0.0552908904971914,18,-0.014439660194748734,conf
25,18,0.0065119072990960335,18,-0.006523225609232056,conf
26,18,0.007846442375916021,18,0.08203638072258143,conf
27,18,0.007757177149322273,18,-0.029858034472122232,conf
28,18,0.011373815614422595,18,0.003963601932514628,conf
29,18,-0.008822612179955325,18,-0.0018739563397035996,conf
30,18,-0.01989517370199034,18,0.01911872094378984,conf
31,18,0.007385933892758688,18,0.008356628497508825,conf
32,17,-0.018544630378538252,18,0.020108422609515886,conf
33,18,0.01123326025913251,18,0.0015531516696055808,conf
34,18,-0.0018584451441378419,18,-0.018109094648970175,conf
35,18,-0.004649587053894209,18,0.015858331239485886,conf
36,18,0.020412976365426373,18,-0.006222512784051272,conf
37,18,-0.007271376031484724,18,-0.029383847846643316,conf
38,18,-0.06275253678033192,18,-0.03479919746402897,conf
39,18,0.007421704138213326,18,-0.0036422796855696,conf
40,17,0.011172675853931552,18,0.037586101535838766,conf
41,18,-0.002941159502953263,18,0.012749344125795469,conf
42,18,0.009874354386575187,18,-0.0002727380765223785,conf
43,18,0.04339704937629091,18,-0.0016768565043218044,conf
44,18,0.007889529655275373,18,-0.004494762593168604,conf
45,18,0.022553958131472106,18,-0.004530357493018854,conf
46,17,0.009290584295660003,18,0.032608286474735355,conf
47,18,0.01043259945098924,18,-0.020207033697743196,conf
48,17,-0.0099436538069408,18,-0.0026741383772273114,conf
49,18,0.01129242641262652,18,-0.023489295297649256,conf
50,18,0.014920090444203235,18,0.003604275637302778,conf
