subj,track_T,track_S,n,omega_z,kappa_z,track_T_z,track_S_z
1,0.9539143602205971,-0.673232810071366,18,-0.3632438979138876,0.4602393184295032,1.80768287918103,-1.4458049823092323
2,0.36293309315564887,-0.47960481147665696,18,0.04446357962853394,0.6334171641878265,0.17295942489643534,-0.8129622499742
3,0.42712109808862464,-0.43377634312874525,18,1.7480796765375952,0.15597122534743862,0.3505109700897267,-0.6631790918642629
4,0.12678728936612338,-0.12399175481977968,18,0.6647776931369209,0.8278720995221984,-0.4802475473022293,0.3493032284797011
5,0.6056796398154363,-0.6663563991281135,18,-0.7128680029705559,-0.7907945948939953,0.8444248255547843,-1.423330512079877
6,0.6647459865974021,-0.41163110138687775,18,0.1488094798766814,1.032463882449562,1.0078092639870357,-0.5908008439153313
7,-0.33285951172447303,0.057954736610189184,18,0.5799283647711946,0.1590610809239629,-1.7516844748404183,0.9439667875258583
8,3.988921525472836e-19,0.1867427618579187,18,0.8620524779928864,0.611906878667601,-0.8309560505705601,1.364890240648992
9,0.22402203821487734,-0.3965334903367751,18,0.6838606849323166,-0.052554751802822874,-0.21128483499165202,-0.5414566710786473
10,0.6493786314654117,-0.6424833604635389,18,-0.8865723077682951,-0.8195185241276594,0.9653013584668687,-1.3453052309878992
11,0.7945521577046604,-0.5056084024379459,18,1.191499852734859,0.9108162131200578,1.36686834799789,-0.8979509069551037
12,0.3535533905932739,-0.4836250245760889,18,-0.4334595105469337,-1.3095765917335607,0.14701406820335666,-0.8261016857008425
13,0.753937034925052,-0.5408173294547236,18,0.5541469607380864,-0.7800236983382154,1.2545221578450005,-1.013025760476268
14,0.39254050786443107,-0.15086618977398705,18,-1.0063212428230415,-1.6402895598843952,0.2548570042995027,0.26146835454713846
15,,,18,-0.6917988386070514,0.9388325882037017,,
16,0.11322770341445959,-0.20173149044985703,18,0.7721483131210285,-0.5894755703387171,-0.517754951378942,0.09522310027408154
17,0.7042147167923566,-0.4234563885616562,18,0.38892229224691377,0.9097187364383414,1.1169843978808007,-0.6294499396073098
18,0.45633644398454515,-0.6628025787542928,18,-0.06622494236934275,-2.080051629117259,0.4313240412015895,-1.4117154077978558
19,0.5169842621131976,-0.3580180686926339,18,0.9654277991271054,-0.41274383385378804,0.5990830147448218,-0.41557505867127625
20,0.7306215362152247,-0.606506519175824,18,-0.0060617308162084025,-0.3336496299351905,1.1900287555776352,-1.2277205701612524
21,0.891132788679007,-0.6149610525733725,18,-0.2822753683960886,-0.19905683992124112,1.6340216935979606,-1.2553528860182246
22,0.8241173808798022,-0.6973775973340542,18,0.8038272217941876,0.41817060397918354,1.4486492206735908,-1.5247184310556121
23,0.6659545035424238,-0.5036928725663582,18,-0.5485176345241003,-0.05483242911747736,1.0111521635086043,-0.8916902981247542
24,0.5628960474285191,-0.5353560715780122,18,0.5219093357799981,-0.46480726329320066,0.7260803942993024,-0.9951764960012558
25,0.5587415486847215,-0.3765492133504808,18,1.262593527783938,1.020632060456478,0.7145885638204601,-0.47614119736857524
26,-0.14852213144650114,0.11703082409946049,18,-0.3102622644065238,1.6980213111049605,-1.2417856745986469,1.1370477101904972
27,0.5546755904543197,-0.5250771402703823,18,0.10845615386860491,0.325610768065909,0.7033416467796043,-0.9615814218311178
28,0.5285711089518071,-0.5668213424595369,18,-1.2115755232033387,-1.621549975374536,0.6311335912078432,-1.0980157968402104
29,0.6908817223234606,-0.2647494150386418,18,-0.44057579627758403,-0.5101210291011788,1.0801037724044678,-0.11074109845900038
30,0.8025426314686814,-0.6019954256218719,18,0.35963691014987476,0.7643719219771699,1.3889709350016426,-1.2129767686902806
31,0.5256003308242463,-0.5556047430056521,18,0.7924265464089829,0.27879176217596596,0.6229160706987443,-1.0613561014582327
32,-0.16012815380508716,0.09179797977706644,18,0.8253915763869552,1.164216265109392,-1.2738892927975074,1.054578117665335
33,0.6953794874591481,-0.6624826678004785,18,0.44687530245338924,-0.4964343313085378,1.09254511795792,-1.410669829040728
34,0.4330127018922193,0.05122600038724733,18,-0.300335128583,-0.11608732305708752,0.3668078367720171,0.9219749689490351
35,0.3411441196105066,-0.3894949835524084,18,-0.8369725711404822,0.578546285648558,0.11268857016033064,-0.51845241602615
36,0.8369692135463054,-0.652472874858163,18,-0.06946078818022705,2.0145259524557657,1.4841988962069859,-1.3779543913886447
37,0.3355780276070122,-0.09158231194619877,18,-0.5349852143833754,-0.6530771694286206,0.09729210727072395,0.455228407330016
38,0.1786474002526241,0.015484022912232038,18,-0.710041216741811,0.728247178797328,-0.33679640200789684,0.8051579236430473
39,0.5582905262390826,-0.5856597961283421,18,-1.5312966300446158,-1.242719210401989,0.7133409828709718,-1.1595863268217115
40,0.31195998918538725,-0.01125042280781166,18,-0.05386264607180733,-0.5982425845030088,0.031961844699504485,0.7177805825574314
41,0.8198915917499229,-0.6423609540635312,18,0.5926999400679144,0.23431052844913194,1.4369601926308195,-1.3449051648755683
42,-0.6309291761714247,0.6007393487248661,18,0.1673673105355358,-0.026864932533620458,-2.576180103783292,2.717973126965701
43,0.34004660217214683,-0.13368605400923592,18,1.980647958379669,2.226332234645685,0.10965270828456679,0.3176189326565018
44,0.7794228634059948,-0.5882612054537146,18,0.7024054203229073,-0.016623868673975424,1.3250189466460789,-1.1680886250292994
45,-0.09004503377814965,0.09290267631800309,18,1.4666724765684906,0.48856216323086604,-1.080031168281208,1.0581886449777136
46,-0.6177077638842511,0.6508267710744505,18,0.9727934626958407,0.31939089040012003,-2.539608127700277,2.8816760079817723
47,0.668042657122685,-0.3315471208967078,18,1.6676938104753796,2.171951131300788,1.0169282410664502,-0.32905891920667285
48,0.1344332144844663,-0.08408012094559494,18,-1.1484335486561612,-0.8783676738617002,-0.45909802223735907,0.4797481414892222
49,-0.27730621013099443,0.4707241170929019,18,-1.291910093666037,-1.4348955266171828,-1.598017531167524,2.2930387423296934
50,-0.5610836076867822,0.4613056171066302,18,-0.8016269472519342,-0.44887322953545256,-2.382979074676666,2.2622558529280132
51,0.1832402133485745,-0.3075357227235751,18,-1.035024364954927,-0.5390474097633343,-0.3240921426556788,-0.25058143177017916
52,-0.14159846508095772,0.031096542856994418,18,0.30884620497569476,-0.1214783574169835,-1.2226340019007855,0.8561849954104905
53,0.09231861823449955,-0.14988149210511756,18,2.8055119795815804,1.771113117798376,-0.575591931764242,0.26468668437450843
54,0.7853351316702526,-0.7244653180513755,18,-0.7775488879454641,0.1285822874979123,1.3413729736486686,-1.6132503960394522
55,0.36337618733363203,-0.16320457074949538,18,-0.37661099377920254,-1.958955004809759,0.17418507532830668,0.2211422922741143
56,0.5067670038671923,-0.14031517938485497,18,-0.8842105701829286,-1.419594791893299,0.5708208808599725,0.2959526765047797
57,0.27386127875258304,0.03804730612996453,18,-0.4800412579601133,-0.04590210874855951,-0.07342365395058663,0.8789024745633252
58,-4.09497747938911e-18,-0.38740941766768566,18,-1.9251240202359465,0.12342246081669486,-0.8309560505705601,-0.5116360711662556
59,0.6575593825937022,-0.6422563157412452,18,0.958974131705131,0.7245774006347274,0.9879302749628155,-1.3445631709373826
60,0.5034364665596535,-0.4912495332978313,18,-0.4362459978745323,-0.5562482564864148,0.561608224291274,-0.8510211961394096
61,-0.12009611535381538,0.0673204047007216,18,0.40615564122616404,1.75004576766347,-1.1631559822407707,0.974577004165868
62,0.05631382918337085,-0.04049592302949433,18,0.6435865265402207,1.3467847122310859,-0.6751853984417243,0.6221962538285376
63,0.7177115647040182,-0.5181842405358797,18,0.193169437958525,0.44008157916615614,1.154318261185271,-0.9390530605747245
64,0.315407459146061,-0.3731197118399416,18,-1.2939492567564708,-0.22693481120467504,0.041497950692582615,-0.46493240978502137
65,0.29211869733608864,-0.30470631486589683,18,-0.729197710114449,-2.506699316046515,-0.022921494175921542,-0.2413339561337076
66,0.5055063074943029,-0.3520905720123137,18,-0.13574341467597606,0.0843387613530435,0.5673336469249122,-0.39620196582155665
67,0.18003168836597405,0.3759295322241324,18,0.743729313908417,1.7854156578190448,-0.33296729883239495,1.9832175153671356
68,0.15135309079789064,-0.30083297239521245,18,0.9327526295448124,-2.30530200706699,-0.4122956611565815,-0.22867454401248863
69,0.23434997005935213,-0.09030814259270808,18,0.8402756333972626,0.6506136577970515,-0.1827165649612583,0.45939282993920905
70,0.4463036991443369,-0.3525487455620547,18,0.8512110682014692,0.4292274403881362,0.40357229302419967,-0.3976994341794703
71,0.13107124292909492,-0.3177208782478223,18,0.03268110461254643,0.1667291738017841,-0.46839762962000603,-0.2838700145061574
72,0.5034364665596532,-0.36823537341303053,18,0.6499966064538987,-2.854123986459589,0.5616082242912734,-0.4489687160105207
73,0.16632478596477893,-0.4299041358736718,18,-0.39391160363550226,-0.7836017400592522,-0.37088219747563905,-0.6505233900171481
74,-1.0918996447845171e-17,0.17919103970486994,18,-0.34587420274267305,-0.058984019028662724,-0.8309560505705601,1.340208621689672
75,0.44400208385467044,-0.5112646736088668,18,1.1345145165090083,1.2695028262987922,0.39720575535805014,-0.9164375417838092
76,0.44543540318737407,-0.219854325951086,18,-0.4318578208194902,-0.0485960849637486,0.401170484633289,0.03599145598971274
77,0.5259651549887077,0.016090463617713775,18,-1.177268074814915,-0.9293482420472511,0.6239252170990977,0.8071399799357406
78,0.48708818704705253,-0.5555043832007703,18,-1.779707352967073,-0.3331104657538572,0.5163869669590818,-1.0610280911828647
79,0.7440916048338274,-0.5094696229296117,18,-0.06004060059467604,0.2712349150530957,1.2272885442186732,-0.9105707002898916
80,0.25234746934142005,-0.13991691907529352,18,1.3397601267501522,0.801431400972411,-0.13293337243980521,0.29725432783781347
81,-0.033761185245475785,0.07432533300369787,18,0.5035840737557417,0.039334268124452,-0.9243434461462661,0.9974715132205499
82,-0.3945547259054406,0.6006624686052554,18,0.6188209718788095,0.2347233895472948,-1.9223406686308306,2.717721856357577
83,0.22742941307367107,-0.3526217943951399,18,0.5040529539814069,1.4245383228914135,-0.2018596367499663,-0.397938182828731
84,0.6375767130633384,-0.13365613675381743,18,-0.9240130666644591,-0.32485201478683806,0.9326558688505253,0.31771671251169015
85,0.7785877874818959,-0.6180728080201159,18,0.25092150096836247,0.8832542290460612,1.3227090287598278,-1.2655231704479957
86,0.3881010263307792,-0.2809100090393474,18,0.22061550845446734,2.216709960138727,0.24257687802076824,-0.16355946428310028
87,-0.2178127758200277,0.12689175215409593,18,-1.4290353990081095,-0.32321212602964366,-1.4334517185706435,1.169276606314744
88,-0.2842676218074806,0.19104475000965748,18,0.4532561045522359,1.252954126910445,-1.6172736118196231,1.378950613922373
89,0.268833380424899,-0.14880135413501175,18,-1.3643872270472877,-0.47006426666494516,-0.08733141005061217,0.2682169458514726
90,0.4727813104255337,-0.3093536001455721,18,0.061119755008622635,1.683683836382697,0.47681246929876503,-0.2565228788911339
91,-0.17910527558776823,-0.009413220332637246,18,-0.2922004254503109,0.19304390683242664,-1.3263822359783182,0.7237851905825118
92,0.04362972953723627,-0.009719682815630192,18,0.16233650997352606,0.3540428181867976,-0.710271104780603,0.7227835660421406
93,0.4409585518440985,-0.3425382450610239,18,2.037082411726511,1.267585640844937,0.38878698908097775,-0.3649816839827453
94,0.5794780341579066,-0.3583194183954843,18,-0.20838910373493205,0.2023867734200594,0.7719481131862136,-0.41655997289196894
95,0.653226890216253,-0.5713241217253565,18,0.25893008412850715,-0.8312861419598948,0.9759460932304578,-1.1127324243649692
96,0.6250401916337512,-0.21271705797597248,18,0.26163105820757016,0.16518884144886872,0.8979783811564267,0.0593184964981074
97,0.45485882614734213,-0.18983368734078335,18,0.43100043772992763,0.04754975973972914,0.4272367770706275,0.13410920291923986
98,0.29704426289300234,-0.5594495621843695,18,-0.5732834314764055,0.22300417262075833,-0.009296802514386538,-1.0739222896750855
99,0.17025130615174977,-0.19651111291379536,18,-1.719691624772228,0.5550922931849088,-0.36002098240660413,0.11228508515084905
100,0.2013468165642073,-0.01737775087400869,18,1.4596982070272655,0.8329188262197075,-0.2740071558657897,0.6977543721773835
101,0.6758861642918683,-0.530209789973908,18,-2.312461028697175,1.8578491098870715,1.0386243012427607,-0.9783566820521185
102,0.7921180343813395,-0.44783412740314904,18,0.25207479751072875,0.3333713922946856,1.360135277579236,-0.7091247540379009
103,,,18,-1.3687354493790842,-0.6481438206467762,,
104,0.6471747770652011,-0.3988018152335699,18,0.0888992915532035,-0.21033516968829855,0.9592052388796184,-0.5488703350938183
105,0.5320368891698515,-0.3907178778067094,18,-0.47487613340770674,0.6835643430376077,0.6407203455189744,-0.5224492540189267
106,0.7402192434014985,-0.4281630151518725,18,0.09821247020003285,-0.28743264426911275,1.2165771386129867,-0.6448328101273307
107,-0.6254627916220946,0.5689205723875483,18,1.4788129557053933,1.1296563599367802,-2.5610594433987273,2.613978449011023
108,0.14433756729740643,-0.01267422578659194,18,1.1557440719806422,0.8887067493079368,-0.4317014214563677,0.7131271059221432
109,0.5222329678670936,-0.3664060865162557,18,0.23428492413496327,-0.5261135941019248,0.613601550066838,-0.4429899788114508
110,0.0522708373489317,-0.21499183267285898,18,0.10317039064847155,-0.2989583920919507,-0.6863687877394302,0.05188375232333812
111,0.3583993668480911,-0.23118005940290576,18,0.11677701567560028,0.04995356487351023,0.16041860652654058,-0.0010249267409185483
112,-0.04147509477069985,-0.2460662042028122,18,-1.1751929451777674,-0.5271432930945131,-0.9456810240490987,-0.04967795531880698
113,0.47925723781702056,-0.32618235837554993,18,-0.44400255679569195,-0.8415241008260872,0.4947256435143942,-0.31152503466074805
114,0.09004503377814962,-0.028139926820960847,18,-0.49706039466721547,0.39122453806633334,-0.5818809328599123,0.6625798887267981
115,0.7113780102515032,-0.5648139452713928,18,0.0691193268167604,1.0873749578902792,1.1367989072065312,-1.0914549341000765
116,0.6614378277661478,-0.5313699758681267,18,1.2282322461442703,-3.1071364860316217,0.9986585089067468,-0.9821485676091797
117,0.8533201859828617,-0.5851460805642821,18,0.5145501254260083,-0.09947186652764409,1.5294276024824796,-1.157907328104779
118,0.6335035120929975,-0.2444991689628734,18,0.5716464113062834,-0.09433272861474909,0.9213889175420682,-0.04455634651168458
119,0.4967165954641017,-0.39074756044294956,18,-1.1873206884558842,0.8172909488467502,0.5430202731972839,-0.5225462670581434
120,0.6731399914152574,-0.3601599394514809,18,0.5031848411474614,0.7760083805604222,1.0310280651840251,-0.42257542717776697
121,-0.04119262772858172,0.4700763445838954,18,0.6835725951431353,-0.21192945466381236,-0.9448996871023185,2.2909215995223184
122,0.3785166493051126,-0.1918183714415027,18,-0.18208487083020364,-0.05057369151971576,0.21606536777209948,0.12762257434157165
123,0.3227486121839514,-0.32631260444799653,18,0.20352358908379542,0.08497001295759522,0.061804440460240806,-0.31195072351236675
124,0.7213932098830057,-0.5208787844732028,18,0.25684729377362303,-0.3936173964776676,1.1645021232801471,-0.9478597546482483
125,0.38575837490522996,-0.5519930673000112,18,1.7664006957559288,1.0112756806477403,0.236096829592875,-1.0495519061019092
126,0.4403524229639898,-0.3746100113406055,18,-0.05053545765197899,-0.19201894098729666,0.3871103655535453,-0.46980321986849377
127,0.8303364917060368,-0.5119522688137735,18,-0.19895893141582183,-0.052730653448559074,1.465852010167972,-0.9186848388243803
128,0.3086066999241839,-0.20528362057455438,18,-0.7356944595204804,0.26817841631895223,0.022686253560187743,0.08361352030611262
129,0.3944831338723629,-0.1831716394254912,18,0.3300204916827876,1.682775488808733,0.2602305355348344,0.1558830612261944
130,0.7948932690734042,-0.5278898887131606,18,0.8140679477485174,0.8145253375888218,1.367811902025885,-0.970774448783923
131,0.4374022801917946,-0.48367469291508214,18,-1.614349828237124,-0.9148897279886052,0.3789499248560813,-0.8262640188736643
132,0.04362972953723629,-0.06323167049512939,18,2.6698992208480496,2.16125607618323,-0.7102711047806027,0.5478880305743778
133,0.8734877041096626,-0.6406727697192016,18,1.0955742640998036,0.5385079182251955,1.5852133214788278,-1.3393875992295639
134,-0.6254308859525953,0.5044497321485663,18,-0.23648697471191804,-0.5025130398235875,-2.560971188577193,2.4032656234440313
135,0.3481553119113957,-0.4496076479045254,18,0.2753985881648476,-0.02082131745592658,0.1320823498543719,-0.7149212275235999
136,0.22375601818550564,-0.20872380360192758,18,-0.4328127564706056,-0.1512640920832954,-0.2120206775734028,0.07236982186076314
137,-0.2048366225996757,0.2759279114910732,18,-1.3471220500492298,-0.7340592452725543,-1.3975581578135499,1.656377908688631
138,0.36018013511259866,-0.5636729414783631,18,-0.960561018090761,-0.6435647809876626,0.16534442027203156,-1.0877257422309967
139,0.28641098093474004,-0.2888054032857921,18,-0.3627067958344533,-0.1471338874499549,-0.038709706749948856,-0.1893643215560447
140,0.2348341091569311,-0.28278626562145126,18,0.14535285508300383,-0.09686268600068937,-0.1813773794708635,-0.16969171452892118
141,0.3669650414492984,0.0026156071246278183,18,-0.2589493141897251,0.2010407236615178,0.18411226646589127,0.7630995257514459
142,0.23179316248638268,-0.09690132323649106,18,1.0996901336765428,1.0159400764237325,-0.18978899439440017,0.437844053503609
143,0.29704426289300234,-0.3219748727995872,18,0.24273752090246248,-0.5374349151319238,-0.009296802514386538,-0.2977735282284275
144,0.38575837490522985,-0.5861606272107375,18,0.4311731879783773,0.394473950037345,0.2360968295928747,-1.1612232146319545
145,0.2544227852403173,-0.15063913545213756,18,-1.719220965739257,-0.9395003050394632,-0.1271928054133309,0.2622104459722968
146,0.7509392614826386,-0.3144564553978597,18,-1.5837132347156415,-1.004415431331015,1.246229965130868,-0.2732007606231413
147,-0.43895911265968257,0.25939120557837214,18,0.14286349724803818,-0.11772628921614701,-2.0451684070814746,1.602330280093762
148,-0.19511136748713565,0.02572709355898307,28,0.04954473734553482,1.831605172340604,-1.3706569622641092,0.8386357928697956
149,0.4518259957799241,-0.1264787282503082,18,0.8342732780648139,1.6571191689458404,0.4188476127928705,0.3411749460389234
150,-0.32039605379111064,0.5654662505681293,18,-1.0984018152915143,-0.3816915170083626,-1.7172090893407326,2.6026885401423097
151,0.19364916731037088,-0.14911299355875834,18,-0.1289488424297966,-0.3798330172081045,-0.29529975595207947,0.2671984012925325
