subj,omega,kappa,log_om,log_kap,pred_earn,shortfall
1,2.0652947783679045,0.1355515784228703,0.7252729660401767,-1.9984030585248818,0.5844596874051662,0.3636288436498105
2,1.1184079866502683,5.501210145643055,0.11190623361127817,1.7049680945167047,-0.08300308226632987,1.0310916133213066
3,1.012396617088502,0.3440909312867524,0.01232040820606816,-1.0668493214032073,0.7347125557692213,0.21337597528575536
4,1.124954253533513,0.1944476464150223,0.11774237130383373,-1.6375923222591233,0.7560635843787789,0.19202494667619785
5,0.3486304275899195,0.0656435249710563,-1.053742864593695,-2.7235163126321016,0.9042895012130681,0.04379902984190864
6,2.061644676449375,0.1285196135460045,0.7235040508863324,-2.051673751695081,0.587144700981072,0.36094383007390474
7,1.2129803767030205,0.3500068210499841,0.19308045233972917,-1.04980263597434,0.6968988929774714,0.2511896380775053
8,3.54658955354959,0.5912450851132407,1.2659864525887905,-0.5255246519154234,0.23641129887023865,0.711677232184738
9,0.7088194599381766,0.0667939857207517,-0.3441544253020905,-2.7061422366133354,0.8650761337078869,0.08301239734708976
10,2.1116021033263506,0.061679493815299,0.7474469500486383,-2.7858037563868887,0.5962467335889174,0.35184179746605926
11,1.2211588447198778,0.1162816924431821,0.1998002806227567,-2.1517396485024567,0.7613153516285865,0.18677317942639016
12,2.72195343918142,0.5312039685523766,1.001349798712447,-0.6326092099284365,0.37245445213441164,0.5756340789205651
13,0.6173735839791283,0.1248815608744677,-0.48228095373948227,-2.080389503858296,0.8565552544284941,0.09153327662648258
14,1.3704689254748887,0.0108956435110627,0.31515296264366127,-4.5193922475236885,0.7704843063975886,0.17760422465738812
15,2.632667209912775,0.1341347649695639,0.9679974805445571,-2.0089102756893404,0.47363267351233046,0.47445585754264624
16,3.298749942202857,1.696731542136605,1.193543591314474,0.5287037781789864,0.1154719867596484,0.8326165442953283
17,1.354491059860525,0.5392665164108084,0.3034257821967751,-0.6175453656964092,0.6225005193702605,0.3255880116847162
18,0.8709705078624106,0.1212601850316433,-0.13814716279198086,-2.109816752431393,0.8219586389263176,0.1261298921286591
19,1.5318461582281058,0.5033607651639311,0.42647364736492505,-0.6864481390006745,0.5974027547924589,0.35068577626251785
20,1.4520800820922295,0.3307383460364238,0.3729970678378169,-1.1064277115695194,0.6560868900628419,0.29200164099213477
21,0.9250851089423864,0.1981717536108143,-0.07786953603489695,-1.6186211818195393,0.7896950935116662,0.15839343754331048
22,0.8499663770474899,0.1373736554359851,-0.16255848669486828,-1.9850506538513994,0.8200933135197588,0.12799521753521792
23,1.1789602693546783,0.0160105546811692,0.16463292239088256,-4.134507106654294,0.8056363818810276,0.1424521491739491
24,0.2777647968201427,0.0416469362015978,-1.2809805780014987,-3.178527473660885,0.9204152988701547,0.027673232184821983
25,1.9724700662510295,0.1440228969217736,0.679286598084608,-1.9377829856451088,0.6012058668489969,0.3468826642059798
26,2.6176197838612625,0.0250672844021399,0.962265425413187,-3.686191693295714,0.5059418568101706,0.44214667424480614
27,1.7111079417710588,0.3066326435129096,0.5371410798699299,-1.182104848828619,0.6109876810236368,0.33710085003133994
28,1.7389643086577762,0.163708134606547,0.5532897111004412,-1.8096701036799372,0.6432002766400512,0.3048882544149255
29,0.7263933425689098,0.0332101269022862,-0.31966361670276,-3.4049004223937307,0.8762223016577071,0.07186622939726961
30,1.0262991023524215,0.2192099069707532,0.02595922702471914,-1.5177255288951286,0.7664631420308551,0.18162538902412162
31,0.4509635769678151,0.0968075839728276,-0.7963687033442861,-2.3350299409418267,0.8838236678822966,0.0642648631726801
32,2.303575698412112,3.146945740621344,0.8344625671990552,1.1464323763134674,0.052009914746056596,0.89607861630892
33,0.6425733928583937,0.2054230246397975,-0.4422742386067311,-1.5826838911790029,0.8291256560358066,0.11896287501917013
34,1.2351057815245567,1.2027393579214674,0.21115661946824818,0.18460175343644983,0.4926350964869148,0.4554534345680619
35,7.944918269717202,0.4950882729992215,2.0725325129272343,-0.7030192030208682,-0.09106268761633596,1.0391512186713125
36,1.0824811321022452,0.1932377604836275,0.07925575081396301,-1.643833928663297,0.7638733344359101,0.1842151966190666
37,3.9009507286975937,1.0289526214421596,1.3612203000160428,0.028541412489807103,0.13162823051166356,0.8164603005433131
38,1.1957890760702508,0.1778952127592479,0.17880628217478076,-1.7265605944012128,0.7473404659641187,0.20074806509085796
39,0.1716946464032115,0.0487637720979839,-1.762037691511163,-3.0207676168611552,0.922553372527718,0.02553515852725874
40,0.5382602707306089,0.2446285482683059,-0.619413061209344,-1.4080143484418908,0.8300329106917398,0.11805562036323691
41,1.723379924353356,2.0161333490314544,0.544287434894915,0.7011814933745187,0.26632362699365775,0.681764904061319
42,0.7375722705268194,0.0271408968847671,-0.3043912016345838,-3.606713578519853,0.8774541740033754,0.07063435705160126
43,3.1181342187730907,0.9858772997861964,1.137234816140509,-0.014223374530609153,0.23398940181773933,0.7140991292372374
44,1.5320900972976002,0.6886203635460808,0.4266328798356201,-0.37306515612739793,0.5532696568137718,0.3948188742412049
45,2.1839649158264915,0.62242366198483,0.7811419935716188,-0.4741342895127838,0.4475952433698597,0.500493287685117
46,2.210680496987958,0.4067631578486078,0.7933003853220143,-0.8995241846696095,0.48958809597291486,0.45850043508206184
47,0.4461569764726585,0.2861985135160017,-0.8070844237019559,-1.2510696057376993,0.8273473728607164,0.12074115819426035
48,2.3965837253837763,0.3474629136782003,0.8740442755329562,-1.0570973429008197,0.46824643741826194,0.47984209363671476
49,1.546942532750166,0.1626155024098095,0.43628042335741646,-1.8163667456393335,0.6827046578120199,0.26538387324295676
50,1.771753703592814,0.452878247566027,0.5719698490646234,-0.7921319587939276,0.5628868608548785,0.3852016702000982
51,0.5699611437952752,0.0224882731093729,-0.562187089257357,-3.794761300780143,0.9023927589476165,0.0456957721073602
52,2.007834786462787,0.1721727818797189,0.6970569207865159,-1.759256760574864,0.5864044549793734,0.36168407607560327
53,2.907079264820858,0.5785711068955015,1.0671488880852444,-0.5471938239201039,0.33328823224397924,0.6148002988109975
54,0.8229490706379184,0.328970327941768,-0.1948609627983439,-1.1117877209108489,0.7701298952290485,0.1779586358259282
55,1.8020205720882168,1.5328562578858809,0.5889085753741538,0.42713283025265986,0.33580338770313034,0.6122851433518464
