subject,mean,median,std,hdi_lower,hdi_upper
1,0.4182297493840085,0.38460572052963693,0.21579744675954463,0.1,0.7982820703662876
2,1.2744270741712531,1.1821657142389843,0.6318600040180299,0.19847014723755796,2.5034762611680117
3,0.3983702635039089,0.37675944538015316,0.17350899544778187,0.1,0.6900550784252028
4,0.3785853277354705,0.36354387987538367,0.16203321128552797,0.1,0.648292021372481
5,0.25449446339751836,0.24362738071117618,0.10476866995793876,0.1,0.4327481837225318
6,0.4072860675527447,0.3791197428523255,0.200853363423848,0.1,0.758802409616149
7,0.2582745980042664,0.23755580538614784,0.12221873043069391,0.1,0.4738580961703924
8,0.4389235639291188,0.40001581528484587,0.23558517283244332,0.1,0.8547173007960184
9,0.16573899974992173,0.1497034794720547,0.06624566865481422,0.1,0.28522834002743325
10,0.2873929699762642,0.2509624457523769,0.1603281742304503,0.1,0.5818535784932442
11,0.3485208382183225,0.3329488883806384,0.15171132742585058,0.1,0.6066496723193345
12,1.214212420483568,1.1932350729108965,0.45798432365904196,0.37105376284893465,2.0520128352477633
13,0.18717866260947755,0.17057112864679355,0.08070311735517499,0.1,0.3312801892973505
14,0.2210634395801867,0.20571923826190072,0.09632414131798668,0.1,0.3900200268013632
15,0.4869392502800209,0.4589072908985118,0.22863007808536187,0.1,0.8779819105871447
16,0.4085587005340864,0.3471360583125671,0.25979018513884505,0.1,0.8739959025437458
17,0.455405949866281,0.4254489384137906,0.21729697937999562,0.1,0.8317458441811929
18,0.22057206990579464,0.20246703927106807,0.10134766210447595,0.1,0.4026488652073914
19,0.4611254449530632,0.42502783925109655,0.2364538531769121,0.1,0.873136834690516
20,0.4864218296128363,0.4660450821005697,0.21825228212200032,0.1,0.8543916539754002
21,0.4257790799120752,0.4129648906971872,0.16743769989406337,0.1,0.7028923942960186
22,0.403549194209585,0.3951992545992203,0.15152331199090185,0.1,0.6514354617285896
23,0.35133307133129366,0.33773608906650304,0.1460088381540234,0.1,0.5975153996664383
24,0.1715794040434243,0.15667710793761058,0.06807063913107708,0.1,0.2945184309839583
25,0.2855688163134447,0.25013387419446365,0.16082572347847313,0.1,0.5772105450154597
26,0.34223583552177933,0.3178545912956661,0.17020330873026185,0.1,0.6356488221863064
27,0.2641200886954921,0.24168786020783373,0.13018159654528108,0.1,0.4921412037232208
28,0.364114893661275,0.3303352597461241,0.1919966531003379,0.1,0.703679340585767
29,0.34996247111220297,0.34127853102359335,0.13230973558407333,0.1,0.5690847827524634
30,0.3865912123035048,0.37221047786338807,0.16384186953332286,0.1,0.6613483131503715
31,0.2161144650608523,0.20158810329142918,0.0924783615519046,0.1,0.37464092875319555
32,0.5244423555962837,0.46198338026490327,0.3131690513954551,0.1,1.0830548412118086
33,0.4546907197304857,0.4520712302008533,0.14447344574626791,0.18252161726612448,0.7212290517458286
34,0.5181095718280299,0.49406454097290925,0.22770996719775324,0.1,0.9054311143060109
35,0.8449281776724121,0.6988726850544613,0.5925814776175178,0.1,1.9335763284350713
36,0.39978239915434427,0.38277314606276835,0.17085349672383904,0.1,0.6878736517499673
37,0.5100563769463137,0.44277984872350484,0.31591574704918374,0.1,1.0599623958090822
38,0.2446194016384747,0.22367011628767863,0.11648172289561648,0.1,0.45243829777840366
39,0.1436406909248488,0.1271901915651003,0.05049351299366917,0.1,0.23724622502229115
40,0.30611870187207046,0.29454612760786314,0.12528709243036765,0.1,0.5151709248874673
41,0.6640297651870668,0.6397713502617128,0.2885697138800955,0.14400141743127517,1.1875941897466085
42,0.2614228177706483,0.24726183634647023,0.11195832140596237,0.1,0.45485921847408217
43,0.7279114281685519,0.6366251649919723,0.4507609505022524,0.1,1.502836121369015
44,0.6254638198475659,0.6073207308831426,0.2426390367745451,0.19131435350679218,1.0803332784095971
45,0.3897526989372054,0.3516282547732683,0.2099089014548523,0.1,0.7581951148095081
46,0.34798967877005565,0.29915997993582766,0.20880695069488567,0.1,0.7300879995832905
47,0.19386356740300958,0.1776994053537113,0.08312201998490024,0.1,0.34095233404183856
48,0.4799093467144147,0.4314563976138688,0.26657306647690504,0.1,0.9602246069956107
49,0.41029160857904,0.3879352117980417,0.19167131150286937,0.1,0.7406636131056895
50,0.4996989321353947,0.473330489974376,0.22810881985689585,0.1,0.8910712024171954
51,0.3574033433959903,0.35349905607485643,0.12286057380359335,0.1,0.5513083410087548
52,0.5435040948656156,0.51349021051296,0.23512003423870792,0.1,0.9408167831526544
53,0.314616009033204,0.2758245040877873,0.18084045701718682,0.1,0.6404434700232983
54,0.27856441035023677,0.26302658599253637,0.12432478313464883,0.1,0.4920051614703086
55,0.23588304684246425,0.20695679594568778,0.125510074039632,0.1,0.46041255173713036
56,0.2983790509236732,0.27304497793607985,0.1486390522145185,0.1,0.560359972061084
57,0.32228137438402543,0.3073913056032255,0.13813633106328393,0.1,0.5581016511794604
58,0.2615364781683405,0.24125021373490252,0.12360758728850957,0.1,0.4770406949131931
59,0.3816388360490129,0.3599432903422497,0.17473869177839493,0.1,0.6797884145373343
60,0.15894739977137984,0.14219812728526277,0.06211014206224685,0.1,0.27307822184781033
61,0.27927257344477413,0.2591822763206019,0.1324000881222298,0.1,0.5114983145562491
62,0.2633481113257353,0.2572458086269622,0.09899118778741009,0.1,0.4247136645547923
63,0.3456386726163603,0.3334297148551807,0.14611966855949649,0.1,0.5906373105768251
64,0.2711215419041038,0.2421404525586688,0.14122307165628817,0.1,0.522914030951775
65,0.32866751203650585,0.30095281586241845,0.16402822186703522,0.1,0.6177302398712747
66,0.187531579513457,0.17350202399638606,0.07670833483685964,0.1,0.32474878532028617
